Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.376s)
CreateVariables () DONE !!!
Creating 8 APs 30.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 250.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7
11.00	-1.00	-1.00	-1.00	0.75	-1.00	-1.00	-1.00	0.75
12.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	1.88
13.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
14.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	2.26
15.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	1.88
16.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
17.00	-1.00	-1.00	-1.00	2.26	-1.00	-1.00	-1.00	2.26
18.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
19.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
20.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	1.88
21.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	4.15
22.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
23.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	3.77
24.00	-1.00	-1.00	-1.00	3.77	-1.00	-1.00	-1.00	4.15
25.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	3.77
26.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	4.15
27.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
28.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	3.77
29.00	-1.00	-1.00	-1.00	3.77	-1.00	-1.00	-1.00	4.15
30.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	4.15
31.00	-1.00	-1.00	-1.00	5.28	-1.00	-1.00	-1.00	5.65
32.00	-1.00	-1.00	-1.00	5.28	-1.00	-1.00	-1.00	6.03
33.00	-1.00	-1.00	-1.00	4.90	-1.00	-1.00	-1.00	6.03
34.00	-1.00	-1.00	-1.00	5.65	-1.00	-1.00	-1.00	6.03
35.00	-1.00	-1.00	-1.00	5.28	-1.00	-1.00	-1.00	6.03
36.00	-1.00	-1.00	-1.00	5.65	-1.00	-1.00	-1.00	6.03
37.00	-1.00	-1.00	-1.00	5.28	-1.00	-1.00	-1.00	6.03
38.00	-1.00	-1.00	-1.00	5.28	-1.00	-1.00	-1.00	6.03
39.00	-1.00	-1.00	-1.00	6.03	-1.00	-1.00	-1.00	6.03
40.00	-1.00	-1.00	-1.00	4.90	-1.00	-1.00	-1.00	6.03
41.00	-1.00	-1.00	-1.00	6.03	-1.00	-1.00	-1.00	7.91
42.00	-1.00	-1.00	-1.00	6.41	-1.00	-1.00	-1.00	7.91
43.00	-1.00	-1.00	-1.00	6.78	-1.00	-1.00	-1.00	7.91
44.00	-1.00	-1.00	-1.00	7.16	-1.00	-1.00	-1.00	7.91
45.00	-1.00	-1.00	-1.00	6.78	-1.00	-1.00	-1.00	7.91
46.00	-1.00	-1.00	-1.00	7.54	-1.00	-1.00	-1.00	8.29
47.00	-1.00	-1.00	-1.00	6.41	-1.00	-1.00	-1.00	7.91
