Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.344s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
11.00	-1.00	-1.00	0.39	-1.00	-1.00	0.39
12.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
13.00	-1.00	-1.00	0.51	-1.00	-1.00	0.51
14.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
15.00	-1.00	-1.00	0.51	-1.00	-1.00	0.51
16.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
17.00	-1.00	-1.00	0.49	-1.00	-1.00	0.51
18.00	-1.00	-1.00	0.51	-1.00	-1.00	0.49
19.00	-1.00	-1.00	0.49	-1.00	-1.00	0.51
20.00	-1.00	-1.00	0.51	-1.00	-1.00	0.49
21.00	-1.00	-1.00	0.99	-1.00	-1.00	0.99
22.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
23.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
24.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
25.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
26.00	-1.00	-1.00	0.99	-1.00	-1.00	1.00
27.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
28.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
29.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
30.00	-1.00	-1.00	1.00	-1.00	-1.00	0.99
31.00	-1.00	-1.00	1.50	-1.00	-1.00	1.51
32.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
33.00	-1.00	-1.00	1.51	-1.00	-1.00	1.50
34.00	-1.00	-1.00	1.50	-1.00	-1.00	1.51
35.00	-1.00	-1.00	1.51	-1.00	-1.00	1.50
36.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
37.00	-1.00	-1.00	1.50	-1.00	-1.00	1.51
38.00	-1.00	-1.00	1.51	-1.00	-1.00	1.50
39.00	-1.00	-1.00	1.50	-1.00	-1.00	1.51
40.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
41.00	-1.00	-1.00	1.99	-1.00	-1.00	1.99
42.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
43.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
44.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
45.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
46.00	-1.00	-1.00	1.99	-1.00	-1.00	2.00
47.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
48.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
49.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
50.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
51.00	-1.00	-1.00	2.48	-1.00	-1.00	2.50
52.00	-1.00	-1.00	2.51	-1.00	-1.00	2.51
53.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
54.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
55.00	-1.00	-1.00	2.51	-1.00	-1.00	2.50
56.00	-1.00	-1.00	2.50	-1.00	-1.00	2.51
