Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
[ 762/1889] Compiling install-ns3-header: ns3/obss-wifi-manager.h
[1825/1889] Compiling src/wifi/model/obss-wifi-manager.cc
[1830/1889] Compiling scratch/obss-pd-0917.cc
[1831/1889] Compiling scratch/obss-pd-test.cc
[1832/1889] Compiling scratch/mesh-loc-jw.cc
[1836/1889] Linking build/lib/libns3.30-wifi-debug.so
[1837/1889] Linking build/lib/libns3.30-dsr-debug.so
[1838/1889] Linking build/lib/libns3.30-mesh-debug.so
[1839/1889] Linking build/lib/libns3.30-wave-debug.so
[1840/1889] Linking build/lib/libns3.30-aodv-debug.so
[1841/1889] Linking build/lib/libns3.30-netanim-debug.so
[1842/1889] Linking build/lib/libns3.30-test-debug.so
[1843/1889] Linking build/scratch/subdir/subdir
[1844/1889] Linking build/scratch/obss-pd-0917
[1845/1889] Linking build/scratch/obss-pd-test
[1846/1889] Linking build/scratch/mesh-loc-jw
[1847/1889] Linking build/scratch/scratch-simulator
[1848/1889] Linking build/utils/ns3.30-test-runner-debug
[1849/1889] Linking build/utils/ns3.30-print-introspected-doxygen-debug
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (50.121s)
CreateVariables () DONE !!!
Creating 8 APs 30.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 250.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7
11.00	-1.00	-1.00	-1.00	0.75	-1.00	-1.00	-1.00	0.75
12.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	1.88
13.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
14.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	2.26
15.00	-1.00	-1.00	-1.00	1.88	-1.00	-1.00	-1.00	1.88
16.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
17.00	-1.00	-1.00	-1.00	2.26	-1.00	-1.00	-1.00	2.26
18.00	-1.00	-1.00	-1.00	1.13	-1.00	-1.00	-1.00	1.88
19.00	-1.00	-1.00	-1.00	1.51	-1.00	-1.00	-1.00	1.88
20.00	-1.00	-1.00	-1.00	2.26	-1.00	-1.00	-1.00	2.26
21.00	-1.00	-1.00	-1.00	2.64	-1.00	-1.00	-1.00	3.77
22.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
23.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	3.77
24.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
25.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	3.77
26.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
27.00	-1.00	-1.00	-1.00	3.39	-1.00	-1.00	-1.00	4.15
28.00	-1.00	-1.00	-1.00	3.77	-1.00	-1.00	-1.00	3.77
29.00	-1.00	-1.00	-1.00	3.77	-1.00	-1.00	-1.00	4.15
30.00	-1.00	-1.00	-1.00	3.01	-1.00	-1.00	-1.00	4.15
31.00	-1.00	-1.00	-1.00	4.52	-1.00	-1.00	-1.00	5.65
32.00	-1.00	-1.00	-1.00	4.90	-1.00	-1.00	-1.00	6.03
33.00	-1.00	-1.00	-1.00	4.52	-1.00	-1.00	-1.00	6.03
34.00	-1.00	-1.00	-1.00	4.90	-1.00	-1.00	-1.00	6.03
