Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.641s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
3.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
4.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
5.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
6.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
7.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
8.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
9.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
10.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
11.00	0.99	-1.00	-1.00	-1.00	-1.00	0.98
12.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
13.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
14.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
15.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
16.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
17.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
18.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
19.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
20.00	0.99	-1.00	-1.00	-1.00	-1.00	1.00
21.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
22.00	1.98	-1.00	-1.00	-1.00	-1.00	2.00
23.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
24.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
25.00	2.00	-1.00	-1.00	-1.00	-1.00	1.98
26.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
27.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
28.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
29.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
30.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
31.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
32.00	2.97	-1.00	-1.00	-1.00	-1.00	3.00
33.00	2.98	-1.00	-1.00	-1.00	-1.00	2.99
34.00	2.99	-1.00	-1.00	-1.00	-1.00	3.00
35.00	2.99	-1.00	-1.00	-1.00	-1.00	3.00
36.00	2.98	-1.00	-1.00	-1.00	-1.00	3.00
37.00	2.99	-1.00	-1.00	-1.00	-1.00	2.98
38.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
39.00	3.00	-1.00	-1.00	-1.00	-1.00	3.00
40.00	3.00	-1.00	-1.00	-1.00	-1.00	2.98
41.00	3.98	-1.00	-1.00	-1.00	-1.00	3.94
42.00	3.99	-1.00	-1.00	-1.00	-1.00	3.99
43.00	3.99	-1.00	-1.00	-1.00	-1.00	3.98
44.00	3.97	-1.00	-1.00	-1.00	-1.00	3.98
45.00	3.97	-1.00	-1.00	-1.00	-1.00	4.00
46.00	3.98	-1.00	-1.00	-1.00	-1.00	3.99
47.00	3.98	-1.00	-1.00	-1.00	-1.00	3.96
48.00	3.96	-1.00	-1.00	-1.00	-1.00	3.93
49.00	4.03	-1.00	-1.00	-1.00	-1.00	3.99
50.00	3.99	-1.00	-1.00	-1.00	-1.00	3.97
51.00	4.92	-1.00	-1.00	-1.00	-1.00	5.00
52.00	5.00	-1.00	-1.00	-1.00	-1.00	4.97
53.00	4.99	-1.00	-1.00	-1.00	-1.00	4.78
54.00	5.02	-1.00	-1.00	-1.00	-1.00	5.22
55.00	4.95	-1.00	-1.00	-1.00	-1.00	4.97
56.00	5.05	-1.00	-1.00	-1.00	-1.00	4.99
57.00	5.00	-1.00	-1.00	-1.00	-1.00	4.92
58.00	5.00	-1.00	-1.00	-1.00	-1.00	5.00
59.00	4.92	-1.00	-1.00	-1.00	-1.00	4.89
60.00	5.03	-1.00	-1.00	-1.00	-1.00	5.04
61.00	5.88	-1.00	-1.00	-1.00	-1.00	5.96
62.00	6.03	-1.00	-1.00	-1.00	-1.00	6.01
63.00	5.98	-1.00	-1.00	-1.00	-1.00	6.05
64.00	6.03	-1.00	-1.00	-1.00	-1.00	5.97
65.00	6.05	-1.00	-1.00	-1.00	-1.00	5.98
66.00	5.96	-1.00	-1.00	-1.00	-1.00	5.90
67.00	5.86	-1.00	-1.00	-1.00	-1.00	6.04
68.00	6.10	-1.00	-1.00	-1.00	-1.00	6.08
69.00	6.08	-1.00	-1.00	-1.00	-1.00	5.92
70.00	5.96	-1.00	-1.00	-1.00	-1.00	5.95
71.00	6.81	-1.00	-1.00	-1.00	-1.00	7.10
72.00	7.12	-1.00	-1.00	-1.00	-1.00	6.74
73.00	6.97	-1.00	-1.00	-1.00	-1.00	7.08
74.00	6.84	-1.00	-1.00	-1.00	-1.00	7.20
75.00	7.15	-1.00	-1.00	-1.00	-1.00	6.99
76.00	7.03	-1.00	-1.00	-1.00	-1.00	6.89
77.00	7.12	-1.00	-1.00	-1.00	-1.00	6.87
78.00	6.89	-1.00	-1.00	-1.00	-1.00	7.10
79.00	6.96	-1.00	-1.00	-1.00	-1.00	7.11
80.00	7.08	-1.00	-1.00	-1.00	-1.00	6.87
81.00	7.73	-1.00	-1.00	-1.00	-1.00	8.09
82.00	8.02	-1.00	-1.00	-1.00	-1.00	7.64
83.00	7.89	-1.00	-1.00	-1.00	-1.00	8.38
