Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.325s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
3.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
4.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
5.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
6.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
7.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
8.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
9.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
10.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
11.00	0.99	-1.00	-1.00	-1.00	-1.00	0.99
12.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
13.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
14.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
15.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
16.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
17.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
18.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
19.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
20.00	1.00	-1.00	-1.00	-1.00	-1.00	0.99
21.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
22.00	2.00	-1.00	-1.00	-1.00	-1.00	2.01
23.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
24.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
25.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
26.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
27.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
28.00	2.00	-1.00	-1.00	-1.00	-1.00	1.98
29.00	2.00	-1.00	-1.00	-1.00	-1.00	2.01
30.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
31.00	2.98	-1.00	-1.00	-1.00	-1.00	3.01
32.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
33.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
34.00	2.99	-1.00	-1.00	-1.00	-1.00	2.98
35.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
36.00	2.99	-1.00	-1.00	-1.00	-1.00	2.99
37.00	2.99	-1.00	-1.00	-1.00	-1.00	2.92
38.00	3.00	-1.00	-1.00	-1.00	-1.00	3.07
39.00	2.99	-1.00	-1.00	-1.00	-1.00	2.99
40.00	2.97	-1.00	-1.00	-1.00	-1.00	3.00
41.00	3.93	-1.00	-1.00	-1.00	-1.00	3.98
42.00	4.00	-1.00	-1.00	-1.00	-1.00	4.00
43.00	3.99	-1.00	-1.00	-1.00	-1.00	4.00
44.00	3.92	-1.00	-1.00	-1.00	-1.00	3.98
45.00	3.99	-1.00	-1.00	-1.00	-1.00	3.99
46.00	4.02	-1.00	-1.00	-1.00	-1.00	3.97
47.00	3.98	-1.00	-1.00	-1.00	-1.00	3.98
48.00	3.98	-1.00	-1.00	-1.00	-1.00	3.99
49.00	3.98	-1.00	-1.00	-1.00	-1.00	3.97
50.00	3.94	-1.00	-1.00	-1.00	-1.00	3.93
51.00	4.92	-1.00	-1.00	-1.00	-1.00	5.02
52.00	5.03	-1.00	-1.00	-1.00	-1.00	4.92
53.00	4.95	-1.00	-1.00	-1.00	-1.00	5.02
54.00	4.93	-1.00	-1.00	-1.00	-1.00	5.02
55.00	4.90	-1.00	-1.00	-1.00	-1.00	4.95
56.00	5.10	-1.00	-1.00	-1.00	-1.00	5.00
57.00	4.92	-1.00	-1.00	-1.00	-1.00	4.99
58.00	5.04	-1.00	-1.00	-1.00	-1.00	4.96
59.00	5.00	-1.00	-1.00	-1.00	-1.00	4.89
60.00	4.91	-1.00	-1.00	-1.00	-1.00	5.11
61.00	6.08	-1.00	-1.00	-1.00	-1.00	5.91
62.00	5.79	-1.00	-1.00	-1.00	-1.00	6.09
63.00	6.09	-1.00	-1.00	-1.00	-1.00	5.97
64.00	6.04	-1.00	-1.00	-1.00	-1.00	5.85
65.00	6.04	-1.00	-1.00	-1.00	-1.00	5.92
66.00	5.98	-1.00	-1.00	-1.00	-1.00	5.99
67.00	5.89	-1.00	-1.00	-1.00	-1.00	6.19
68.00	5.79	-1.00	-1.00	-1.00	-1.00	5.97
69.00	6.11	-1.00	-1.00	-1.00	-1.00	6.06
70.00	6.14	-1.00	-1.00	-1.00	-1.00	5.94
71.00	6.23	-1.00	-1.00	-1.00	-1.00	7.07
72.00	7.50	-1.00	-1.00	-1.00	-1.00	6.68
73.00	6.97	-1.00	-1.00	-1.00	-1.00	7.22
74.00	7.01	-1.00	-1.00	-1.00	-1.00	7.04
75.00	7.28	-1.00	-1.00	-1.00	-1.00	6.77
76.00	6.58	-1.00	-1.00	-1.00	-1.00	7.24
77.00	7.41	-1.00	-1.00	-1.00	-1.00	6.72
78.00	6.48	-1.00	-1.00	-1.00	-1.00	7.15
79.00	7.47	-1.00	-1.00	-1.00	-1.00	6.84
80.00	6.89	-1.00	-1.00	-1.00	-1.00	7.34
81.00	8.04	-1.00	-1.00	-1.00	-1.00	7.30
82.00	7.96	-1.00	-1.00	-1.00	-1.00	8.18
