Dst	Src	HeMcs	Duration(Ns)	Num	Power
1 	  2	  4	  60000	  6	210
2 	  1	  4	  60000	  15	210
1 	  2	  4	  490000	  2	210
1 	  2	  4	  260000	  479	210
1 	  2	  4	  540000	  448	210
1 	  2	  4	  740000	  68	210
2 	  4	  4	  60000	  32	210
3 	  4	  4	  60000	  6	210
4 	  3	  4	  60000	  14	210
3 	  4	  4	  490000	  2	210
3 	  4	  4	  1180000	  9	210
3 	  4	  4	  260000	  429	210
3 	  4	  4	  540000	  360	210
3 	  4	  4	  470000	  6	210
3 	  4	  4	  740000	  17	210
1 	  2	  4	  1220000	  8	210
1 	  2	  4	  1930000	  5	210
3 	  4	  4	  1860000	  1	210
3 	  4	  4	  1660000	  3	210
1 	  2	  4	  2140000	  10	210
1 	  2	  4	  1660000	  2	210
3 	  4	  4	  1430000	  5	210
3 	  4	  4	  1380000	  3	210
1 	  2	  4	  220000	  174	210
3 	  4	  4	  2070000	  3	210
1 	  2	  4	  2440000	  21	210
1 	  2	  4	  580000	  2	210
3 	  4	  4	  900000	  2	210
1 	  2	  4	  680000	  3	210
1 	  2	  4	  1380000	  5	210
3 	  4	  4	  2250000	  4	210
3 	  4	  4	  330000	  91	210
3 	  4	  4	  220000	  73	210
3 	  4	  4	  2500000	  1	210
1 	  2	  4	  1430000	  8	210
3 	  4	  4	  630000	  2	210
1 	  2	  4	  1860000	  15	210
3 	  4	  4	  1270000	  1	210
1 	  2	  4	  2550000	  5	210
3 	  4	  4	  1980000	  1	210
1 	  2	  4	  630000	  2	210
1 	  2	  4	  1270000	  1	210
1 	  2	  4	  1980000	  2	210
3 	  4	  4	  2140000	  2	210
1 	  2	  4	  2090000	  1	210
3 	  4	  4	  170000	  156	210
1 	  2	  4	  170000	  144	210
1 	  2	  4	  330000	  101	210
1 	  2	  4	  200000	  4	210
1 	  2	  4	  280000	  45	210
3 	  4	  4	  2020000	  1	210
3 	  4	  4	  2300000	  8	210
3 	  4	  4	  1540000	  1	210
3 	  4	  4	  280000	  34	210
3 	  4	  4	  200000	  10	210
3 	  4	  4	  360000	  46	210
1 	  2	  4	  150000	  2	210
1 	  2	  4	  2500000	  2	210
3 	  4	  4	  310000	  15	210
3 	  4	  4	  1240000	  2	210
3 	  4	  4	  420000	  1	210
3 	  4	  4	  1130000	  1	210
3 	  4	  4	  790000	  2	210
3 	  4	  4	  1500000	  1	210
3 	  4	  4	  2180000	  1	210
1 	  2	  4	  970000	  2	210
1 	  2	  4	  2360000	  2	210
3 	  1	  4	  60000	  32	210
3 	  4	  4	  230000	  1	210
3 	  4	  4	  2360000	  1	210
3 	  4	  4	  970000	  1	210
2 	  1	  4	  70000	  2	210
1 	  2	  4	  760000	  2	210
1 	  3	  4	  60000	  30	210

 TotalHe Number= 3000
