Dst	Src	HeMcs	RxSnr	Num
3 	  2	  4	  56.2471	  1
2 	  3	  4	  56.2471	  11132
2 	  1	  4	  56.2471	  1
1 	  2	  4	  56.2471	  11799
6 	  5	  4	  56.2471	  1
5 	  6	  4	  56.2471	  12923
5 	  4	  4	  56.2471	  1
4 	  5	  4	  56.2471	  12281
4 	  5	  4	  53.457	  2334
2 	  3	  4	  53.2961	  1987
2 	  3	  4	  53.2392	  1978
1 	  2	  4	  53.457	  1236
4 	  5	  4	  53.2961	  1572
5 	  6	  4	  53.2961	  1516
1 	  2	  4	  53.2392	  138
1 	  2	  4	  53.2961	  1913
5 	  6	  4	  53.2392	  1846
2 	  3	  4	  51.517	  48
4 	  5	  4	  53.2392	  125
4 	  5	  4	  51.6623	  14
1 	  2	  4	  51.6623	  47
5 	  6	  4	  51.517	  45

 TotalRx Number= 75000
