Dst	Src	HeMcs	Txlevel	Num	isObss
9 	  8	  4	  10	  5499	  0
8 	  9	  4	  10	  8812	  0
8 	  7	  4	  10	  6729	  0
7 	  8	  4	  10	  6664	  0
6 	  5	  4	  10	  4541	  0
5 	  6	  4	  10	  5867	  0
5 	  4	  4	  10	  5272	  0
4 	  5	  4	  10	  5151	  0
3 	  2	  4	  10	  4325	  0
2 	  3	  4	  10	  6002	  0
2 	  1	  4	  10	  6781	  0
1 	  2	  4	  10	  6392	  0
8 	  9	  1	  10	  609	  1
3 	  2	  4	  4	  82	  1
1 	  2	  1	  4	  121	  1
2 	  3	  1	  10	  89	  1
7 	  8	  1	  4	  41	  1
9 	  8	  4	  4	  22	  1

 TotalTx Number= 73000

 TotalReset Number= 4381
