Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.340s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
11.00	-1.00	-1.00	0.00	-1.00	-1.00	0.71
12.00	-1.00	-1.00	0.72	-1.00	-1.00	1.00
13.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
14.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
15.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
16.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
17.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
18.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
19.00	-1.00	-1.00	0.99	-1.00	-1.00	1.00
20.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
21.00	-1.00	-1.00	2.00	-1.00	-1.00	1.98
22.00	-1.00	-1.00	1.99	-1.00	-1.00	2.00
23.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
24.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
25.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
26.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
27.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
28.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
29.00	-1.00	-1.00	1.99	-1.00	-1.00	2.00
30.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
31.00	-1.00	-1.00	2.99	-1.00	-1.00	2.99
32.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
33.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
34.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
35.00	-1.00	-1.00	2.99	-1.00	-1.00	2.99
36.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
37.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
38.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
39.00	-1.00	-1.00	2.99	-1.00	-1.00	2.99
40.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
41.00	-1.00	-1.00	3.99	-1.00	-1.00	3.99
42.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
43.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
44.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
45.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
46.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
47.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
48.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
49.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
50.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
51.00	-1.00	-1.00	4.98	-1.00	-1.00	1.59
52.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
53.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
54.00	-1.00	-1.00	4.99	-1.00	-1.00	0.00
55.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
56.00	-1.00	-1.00	4.99	-1.00	-1.00	0.00
57.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
58.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
59.00	-1.00	-1.00	4.99	-1.00	-1.00	0.00
60.00	-1.00	-1.00	5.00	-1.00	-1.00	0.00
61.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
62.00	-1.00	-1.00	6.01	-1.00	-1.00	0.00
63.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
64.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
65.00	-1.00	-1.00	6.01	-1.00	-1.00	0.00
66.00	-1.00	-1.00	6.01	-1.00	-1.00	0.00
67.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
68.00	-1.00	-1.00	6.01	-1.00	-1.00	0.00
69.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
70.00	-1.00	-1.00	6.01	-1.00	-1.00	0.00
71.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
72.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
73.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
74.00	-1.00	-1.00	7.01	-1.00	-1.00	0.00
75.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
76.00	-1.00	-1.00	7.01	-1.00	-1.00	0.00
77.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
78.00	-1.00	-1.00	7.01	-1.00	-1.00	0.00
79.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
80.00	-1.00	-1.00	6.99	-1.00	-1.00	0.00
81.00	-1.00	-1.00	8.00	-1.00	-1.00	0.00
82.00	-1.00	-1.00	8.01	-1.00	-1.00	0.00
83.00	-1.00	-1.00	8.00	-1.00	-1.00	0.00
84.00	-1.00	-1.00	8.00	-1.00	-1.00	0.00
85.00	-1.00	-1.00	8.01	-1.00	-1.00	0.00
86.00	-1.00	-1.00	8.00	-1.00	-1.00	0.00
87.00	-1.00	-1.00	8.00	-1.00	-1.00	0.00
[01;31mInterrupted[0m 
