Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.446s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.942	0.165	0.930	0.659	0.177	0.907	0.012	0.000
62.000	1.001	0.400	0.200	0.718	0.389	0.106	0.118	0.106	0.000
63.000	1.001	1.072	0.436	0.730	0.412	0.082	0.106	0.177	0.000
64.000	1.001	1.178	0.224	1.390	0.259	0.377	0.754	0.012	0.000
65.000	1.001	0.659	0.353	0.954	0.118	0.012	1.013	0.283	0.000
66.000	1.001	0.353	0.000	0.871	0.612	0.000	0.224	0.224	0.000
67.000	1.001	0.459	0.000	1.166	0.283	0.035	0.966	0.330	0.000
68.000	1.001	0.059	0.000	0.636	0.153	0.059	0.071	0.000	0.353
69.000	1.001	1.178	0.118	0.860	0.141	0.459	0.459	0.000	0.024
70.000	1.001	1.013	0.000	1.213	0.954	0.000	0.294	0.000	0.000
71.000	1.001	0.353	0.000	1.154	0.236	0.000	0.789	0.000	0.000
72.000	1.001	0.742	0.000	0.871	0.318	0.530	0.848	0.000	0.000
73.000	0.989	0.765	0.000	1.025	0.871	0.412	0.836	0.000	0.000
74.000	1.001	0.966	0.094	1.013	0.130	0.024	0.471	0.141	0.012
75.000	1.001	0.742	0.035	0.860	0.518	0.530	0.671	0.000	0.000
76.000	1.001	0.777	0.035	0.424	0.789	0.377	0.130	0.000	0.047
77.000	1.001	0.765	0.000	1.472	0.141	0.000	0.683	0.895	0.000
78.000	1.001	0.518	0.224	0.589	0.377	0.071	0.106	0.153	0.012
79.000	1.001	0.530	0.059	1.284	0.047	0.577	1.342	0.000	0.000
80.000	1.001	1.083	0.377	0.860	0.035	0.024	0.495	0.212	0.000
81.000	1.001	0.718	0.271	0.730	0.754	0.094	0.271	0.047	0.000
82.000	1.001	1.130	0.000	1.708	1.142	0.000	0.683	0.530	0.000
83.000	1.001	0.848	0.059	0.447	0.942	0.000	0.153	0.082	0.000
84.000	1.001	1.095	0.212	0.330	0.495	0.165	0.000	0.000	0.082
85.000	0.989	0.836	0.130	0.518	0.012	0.106	0.000	0.000	0.059
86.000	1.001	1.130	0.035	1.201	0.495	0.094	0.082	0.188	0.000
87.000	1.001	0.824	0.071	0.636	0.506	0.400	0.447	0.000	0.742
88.000	1.001	1.072	0.118	1.025	0.035	0.047	0.871	0.035	0.000
89.000	1.001	0.742	0.047	1.060	0.012	0.200	0.012	0.000	0.024
90.000	1.001	1.154	0.553	0.919	0.954	0.365	0.342	0.318	0.047
91.000	1.001	0.624	0.471	0.283	0.377	0.236	0.188	0.471	0.000
92.000	1.001	1.201	0.224	0.459	0.624	0.012	0.000	0.000	0.000
93.000	1.001	0.683	0.707	0.612	0.106	0.000	0.000	0.047	0.118
94.000	1.001	1.366	0.212	1.531	0.883	0.000	0.071	0.436	0.000
95.000	1.001	0.707	0.530	0.930	0.094	0.047	0.765	0.000	0.059
96.000	1.001	1.166	0.236	0.777	0.059	0.094	0.153	0.024	0.071
97.000	0.989	0.930	0.342	1.001	0.071	0.259	0.118	0.130	0.000
98.000	1.001	0.612	0.000	0.047	0.742	0.000	0.012	0.506	0.000
99.000	1.001	1.531	0.000	0.966	1.107	0.000	0.059	0.188	0.118
100.000	1.001	0.436	0.000	0.506	0.459	0.000	0.000	0.471	0.000
101.000	1.001	1.048	0.000	0.989	0.224	0.283	0.035	0.012	0.024
102.000	1.001	1.307	0.000	0.919	0.436	0.000	0.518	0.836	0.000
103.000	1.001	0.754	0.165	0.836	0.024	0.000	0.188	0.012	0.000
104.000	1.001	1.060	0.436	0.506	0.589	0.236	0.200	0.200	0.082
105.000	1.001	0.871	0.730	0.141	0.412	0.365	0.000	0.094	0.000
106.000	1.001	1.331	0.318	0.271	0.777	0.565	0.000	0.000	0.000
107.000	1.001	1.025	0.659	0.506	0.094	0.094	0.000	0.000	0.082
108.000	1.001	0.989	0.000	0.883	0.106	0.047	0.000	0.035	0.012
109.000	1.001	0.966	0.000	1.130	0.000	0.000	0.000	0.000	0.000
110.000	0.989	0.247	0.718	1.189	0.542	0.000	0.871	0.024	0.094
111.000	1.001	0.636	0.471	0.671	0.141	0.130	0.118	0.247	0.000
112.000	1.001	0.707	0.035	0.954	1.236	0.165	0.424	0.224	0.059
113.000	1.001	0.565	0.000	0.907	0.000	0.000	0.400	0.707	0.000
114.000	1.001	1.613	0.671	0.000	0.683	0.000	0.012	0.330	0.000
115.000	1.001	0.589	0.966	0.930	0.200	0.306	0.436	0.000	0.000
116.000	1.001	1.107	0.200	0.824	0.871	0.236	0.130	0.071	0.236
117.000	1.001	0.824	0.012	1.460	0.518	0.271	0.330	0.106	0.542
118.000	1.001	0.047	0.000	0.177	0.047	0.495	0.907	0.165	0.000
119.000	1.001	1.119	0.153	0.024	0.141	0.200	0.000	0.259	0.000
120.000	1.001	1.060	0.188	0.000	0.412	0.259	0.000	0.000	0.000
