Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.421s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.930	0.553	0.012	0.895	0.294	0.000	0.035	0.177	0.000	0.012	0.294	0.012	0.024	0.577	0.989
62.000	1.001	0.895	0.718	0.200	0.742	0.177	0.118	0.071	0.071	0.000	0.318	0.942	0.000	0.153	0.883	1.001
63.000	1.001	0.919	0.447	0.000	0.895	1.142	0.106	0.330	0.071	0.000	0.424	1.284	0.000	0.165	0.989	1.001
64.000	1.001	0.977	0.141	0.012	1.060	0.059	0.000	0.271	0.883	0.118	0.707	0.907	0.000	0.024	0.742	1.001
65.000	1.001	0.801	0.000	0.000	0.871	0.483	0.130	0.659	0.671	0.000	0.412	1.025	0.000	0.000	0.813	1.001
66.000	1.001	0.813	0.754	0.024	0.671	0.165	0.306	0.118	0.259	0.000	0.271	0.589	0.000	0.000	0.813	1.001
67.000	1.001	0.942	0.141	0.094	1.401	1.048	0.024	0.506	0.907	0.024	0.306	1.378	0.012	0.024	0.919	1.001
68.000	1.001	0.860	0.259	0.000	0.930	0.271	0.024	0.659	0.153	0.000	0.483	0.954	0.035	0.200	1.001	1.001
69.000	1.001	1.060	0.000	0.000	0.930	0.942	0.000	0.353	0.000	0.624	0.353	0.989	0.000	0.624	0.942	1.001
70.000	1.001	0.907	0.212	0.000	0.895	0.648	0.212	0.224	0.071	0.000	0.000	0.530	0.000	0.330	0.624	1.001
71.000	1.001	0.683	0.412	0.012	1.072	1.095	0.247	0.118	0.483	0.012	0.436	0.671	0.000	0.683	0.930	1.001
72.000	1.001	0.801	0.259	0.000	0.801	0.400	0.024	0.436	0.518	0.094	0.306	0.612	0.000	0.000	0.188	1.001
73.000	0.989	1.319	0.518	0.024	0.883	0.577	0.012	0.412	0.118	0.000	0.000	1.001	0.000	0.024	1.107	0.989
74.000	1.001	0.907	0.059	0.306	1.001	0.930	0.024	0.695	0.141	0.141	0.012	1.119	0.000	0.318	0.707	1.001
75.000	1.001	1.048	0.412	0.012	0.966	0.271	0.000	0.177	0.342	0.012	0.377	0.801	0.000	0.130	0.801	1.001
76.000	1.001	0.966	0.813	0.035	0.813	0.071	0.035	0.530	0.118	0.012	0.648	1.130	0.059	0.659	0.447	1.001
77.000	1.001	1.001	0.247	0.130	0.530	0.177	0.000	0.801	0.141	0.000	0.000	0.930	0.200	0.789	0.813	1.001
78.000	1.001	0.954	0.930	0.012	0.977	0.024	0.306	0.530	0.141	0.012	0.871	1.036	0.000	0.212	0.718	1.001
79.000	1.001	0.389	0.094	0.024	1.130	0.024	0.000	0.224	0.200	0.153	0.389	0.695	0.424	0.813	1.095	1.001
80.000	1.001	0.000	0.000	0.012	0.553	0.106	0.012	0.436	0.082	0.000	0.165	0.518	0.353	0.330	0.648	1.001
81.000	1.001	0.000	0.000	0.059	1.048	0.024	0.012	0.553	0.895	0.000	0.200	0.495	0.047	0.000	1.284	1.001
82.000	1.001	1.531	0.059	0.012	0.224	0.000	0.000	0.542	0.483	0.000	0.106	1.095	0.247	0.436	1.036	1.001
83.000	1.001	0.989	0.000	0.000	1.189	0.695	0.000	0.071	0.294	0.012	0.977	0.824	0.188	0.659	0.954	1.001
84.000	1.001	0.966	0.035	0.000	1.130	0.506	0.035	0.624	0.353	0.000	0.365	0.306	0.059	0.188	0.801	1.001
85.000	0.989	1.095	0.059	0.000	1.048	0.518	0.283	0.330	0.247	0.000	0.059	0.518	0.000	0.342	1.142	0.989
86.000	1.001	0.636	0.188	0.024	0.966	1.048	0.000	0.141	0.601	0.082	0.530	1.319	0.118	0.118	1.001	1.001
87.000	1.001	1.025	0.553	0.082	0.553	0.212	0.000	0.930	0.177	0.094	0.342	1.189	0.012	1.001	0.683	1.001
88.000	1.001	1.083	0.035	0.118	1.130	0.718	0.047	0.012	0.212	0.436	0.212	0.200	0.106	0.071	1.130	1.001
89.000	1.001	0.966	0.612	0.000	1.119	0.000	0.353	0.177	0.765	0.000	1.072	1.013	0.000	0.082	0.907	1.001
90.000	1.001	0.342	0.636	0.047	0.695	0.671	0.000	0.565	0.400	0.000	0.118	1.036	0.365	0.471	1.001	1.001
91.000	1.001	1.401	0.294	0.035	0.730	0.047	0.000	0.389	0.000	0.071	0.553	0.966	0.071	0.447	0.742	1.001
92.000	1.001	0.895	0.636	0.000	0.989	0.342	0.012	0.130	0.883	0.000	0.000	0.589	0.012	0.754	1.119	1.001
93.000	1.001	0.954	0.813	0.071	0.966	0.035	0.000	0.024	0.447	0.000	0.966	0.259	0.000	0.377	1.001	1.001
