Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.456s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
61.000	0.989	0.777	0.188	0.000	0.000	0.989	0.518	0.000	0.000	0.000	0.071	0.012	0.000	0.000	0.236	0.000	0.000	0.000	0.259	0.683	0.000	0.035	0.424	0.883	0.989
62.000	1.001	1.130	0.742	0.000	0.000	0.659	0.589	0.047	0.000	0.000	0.059	0.012	0.000	0.024	0.177	0.000	0.000	0.071	0.259	0.542	0.000	0.000	0.247	0.671	1.001
63.000	1.001	0.601	0.000	0.000	0.000	1.083	0.695	0.000	0.000	0.000	0.024	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.259	0.683	0.000	0.000	0.212	0.954	1.001
64.000	1.001	1.072	0.000	0.000	0.000	0.942	0.436	0.000	0.012	0.012	0.683	0.188	0.000	0.000	0.035	0.000	0.000	0.059	0.188	1.013	0.000	0.000	0.012	1.248	1.001
65.000	1.001	0.801	0.848	0.636	0.000	0.318	0.471	0.000	0.000	0.000	0.000	0.000	0.000	0.271	0.012	0.000	0.000	0.094	0.883	0.342	0.000	0.000	0.059	0.589	1.001
66.000	1.001	0.389	0.000	0.000	0.000	1.390	0.683	0.224	0.106	0.000	0.907	0.000	0.000	0.000	0.024	0.400	0.000	0.695	0.542	1.401	0.012	0.024	0.082	0.989	1.001
67.000	1.001	0.966	0.318	0.000	0.000	0.930	0.730	0.000	0.000	0.000	0.459	0.000	0.000	0.000	0.330	0.047	0.000	0.047	0.624	0.636	0.000	0.024	0.247	0.636	1.001
68.000	1.001	1.060	0.024	0.000	0.000	0.624	0.236	0.082	0.000	0.000	0.024	0.000	0.000	0.000	0.130	0.000	0.012	0.024	0.224	0.977	0.035	0.000	0.000	0.754	1.001
69.000	1.001	0.813	0.707	0.000	0.000	0.977	0.059	0.000	0.000	0.153	0.765	0.000	0.000	0.035	0.247	0.000	0.000	0.071	0.518	0.777	0.000	0.000	0.000	0.836	1.001
70.000	1.001	0.624	0.553	0.012	0.000	0.754	0.612	0.000	0.000	0.000	0.294	0.000	0.000	0.000	0.000	0.259	0.000	0.000	0.342	0.471	0.000	0.000	0.000	0.954	1.001
71.000	1.001	0.542	0.130	0.000	0.000	0.730	0.047	0.000	0.000	0.082	0.035	0.000	0.000	0.012	0.047	0.000	0.000	0.000	0.118	0.200	0.000	0.000	0.294	0.471	1.001
72.000	1.001	0.742	0.389	0.000	0.000	0.695	0.389	0.000	0.000	0.000	0.754	0.000	0.000	0.035	0.012	0.000	0.000	0.000	0.612	1.189	0.000	0.000	0.730	0.730	1.001
73.000	0.989	1.331	0.141	0.118	0.024	1.107	0.306	0.000	0.000	0.118	0.636	0.106	0.000	0.000	0.283	0.000	0.000	0.059	0.306	0.306	0.000	0.000	0.789	0.966	0.989
74.000	1.001	1.095	0.212	0.000	0.000	0.860	0.860	0.000	0.000	0.000	0.483	0.059	0.000	0.000	0.259	0.000	0.071	0.342	0.483	1.130	0.000	0.000	0.000	1.072	1.001
75.000	1.001	0.954	0.836	0.318	0.000	0.789	0.553	0.024	0.000	0.000	0.188	0.000	0.000	0.000	0.707	0.000	0.000	0.000	0.483	0.801	0.000	0.000	0.836	0.412	1.001
76.000	1.001	0.942	0.518	0.177	0.047	0.424	0.047	0.012	0.000	0.000	0.271	0.000	0.000	0.000	0.130	0.000	0.000	0.000	0.330	0.977	0.000	0.000	0.106	0.977	1.001
77.000	1.001	0.553	0.071	0.071	0.000	1.130	0.294	0.071	0.012	0.318	0.436	0.106	0.000	0.000	0.141	0.000	0.000	0.012	0.094	0.919	0.000	0.000	1.295	0.860	1.001
78.000	1.001	1.154	0.342	0.094	0.000	0.683	0.848	0.082	0.000	0.000	0.024	0.000	0.000	0.024	0.542	0.000	0.000	0.200	0.483	1.130	0.000	0.000	0.024	0.930	1.001
79.000	1.001	0.977	0.071	0.012	0.000	0.977	1.154	0.000	0.000	0.000	0.518	0.236	0.000	0.059	0.542	0.000	0.024	0.000	0.648	0.954	0.000	0.000	1.260	0.789	1.001
80.000	1.001	0.000	0.000	0.000	0.000	1.001	0.565	0.035	0.000	0.000	0.777	0.000	0.000	0.000	0.153	0.012	0.000	0.247	0.400	1.119	0.000	0.000	0.082	0.789	1.001
81.000	1.001	0.412	0.389	0.000	0.000	0.836	0.612	0.000	0.000	0.000	1.142	0.718	0.000	0.000	0.188	0.035	0.000	0.000	0.977	0.848	0.012	0.071	0.471	0.813	1.001
82.000	1.001	0.860	0.212	0.000	0.000	0.707	0.259	0.000	0.000	0.047	0.283	0.047	0.000	0.059	0.954	0.000	0.000	0.000	0.424	1.072	0.000	0.012	0.130	0.907	1.001
83.000	1.001	0.471	0.801	0.000	0.000	0.789	0.353	0.000	0.000	0.000	0.565	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.094	0.000	0.035	0.577	1.378	1.001
84.000	1.001	0.777	0.636	0.000	0.000	1.213	0.530	0.071	0.000	0.400	0.353	0.000	0.000	0.059	0.153	0.153	0.047	0.059	0.412	1.166	0.000	0.141	0.353	0.742	1.001
85.000	0.989	0.730	0.624	0.000	0.000	0.765	0.212	0.047	0.000	0.059	0.271	0.000	0.000	0.047	0.024	0.188	0.000	0.000	0.636	0.412	0.024	0.000	0.106	0.754	0.989
86.000	1.001	0.954	0.718	0.000	0.000	0.412	0.306	0.000	0.000	0.059	0.035	0.012	0.000	0.000	1.036	0.000	0.000	0.000	0.247	0.942	0.000	0.000	0.212	0.977	1.001
87.000	1.001	0.930	0.447	0.000	0.000	1.213	0.353	0.000	0.000	0.153	0.612	0.106	0.000	0.000	0.130	0.000	0.000	0.000	0.177	0.495	0.141	0.024	1.048	1.354	1.001
88.000	1.001	1.142	0.742	0.071	0.000	0.907	0.153	0.000	0.000	0.000	0.695	0.000	0.000	0.636	0.071	0.106	0.000	0.000	0.412	0.895	0.000	0.012	0.082	0.553	1.001
89.000	1.001	0.919	0.977	0.212	0.000	1.036	0.836	0.059	0.012	0.035	0.365	0.035	0.000	0.000	0.000	0.047	0.000	0.000	0.353	1.142	0.000	0.000	0.624	1.166	1.001
90.000	1.001	0.989	0.436	0.000	0.000	0.930	0.730	0.000	0.000	0.000	0.047	0.000	0.000	0.035	0.318	0.000	0.000	0.000	0.000	0.707	0.000	0.012	0.718	0.636	1.001
91.000	1.001	0.801	0.294	0.000	0.000	0.907	0.318	0.000	0.000	0.082	0.636	0.259	0.000	0.000	0.236	0.188	0.000	0.000	0.306	0.954	0.000	0.000	0.589	0.447	1.001
92.000	1.001	1.107	0.059	0.012	0.000	1.001	1.178	0.259	0.059	0.000	0.094	0.236	0.000	0.000	0.459	0.012	0.024	0.153	0.212	0.224	0.000	0.035	0.130	0.483	1.001
93.000	1.001	0.648	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.813	0.000	0.000	0.000	0.047	0.094	0.000	0.000	0.589	1.119	0.000	0.094	0.553	0.659	1.001
94.000	1.001	0.942	0.059	0.000	0.000	1.260	0.966	0.024	0.000	0.118	0.801	0.118	0.000	0.000	0.071	0.000	0.000	0.000	0.306	0.836	0.000	0.000	0.754	0.718	1.001
95.000	1.001	1.154	0.024	0.047	0.000	1.036	0.530	0.000	0.000	0.047	0.624	0.024	0.000	0.000	0.141	0.035	0.000	0.047	0.436	0.942	0.035	0.000	0.000	0.801	1.001
96.000	1.001	0.447	0.424	0.000	0.000	0.895	0.447	0.000	0.000	0.047	0.895	0.259	0.000	0.153	0.365	0.000	0.035	0.000	0.224	1.036	0.000	0.047	0.389	1.095	1.001
97.000	0.989	0.871	0.365	0.294	0.000	0.730	0.318	0.000	0.000	0.000	0.365	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.471	0.989	0.000	0.000	0.259	0.271	0.989
98.000	1.001	0.848	0.012	0.000	0.000	1.142	0.695	0.153	0.000	0.000	0.106	0.012	0.000	0.212	0.000	0.082	0.000	0.024	1.001	0.919	0.000	0.000	0.059	0.930	1.001
99.000	1.001	0.648	0.024	0.012	0.000	0.612	0.330	0.000	0.000	0.000	0.094	0.695	0.047	0.000	0.530	0.000	0.000	0.000	0.071	1.072	0.000	0.000	0.224	0.177	1.001
100.000	1.001	1.107	0.601	0.000	0.000	1.013	0.518	0.130	0.000	0.000	0.318	0.000	0.000	0.000	0.518	0.000	0.000	0.012	0.071	0.330	0.000	0.165	0.259	1.437	1.001
101.000	1.001	0.765	0.035	0.000	0.000	1.036	0.212	0.071	0.000	0.000	0.718	0.059	0.000	0.000	0.412	0.082	0.000	0.035	1.048	1.319	0.000	0.000	0.247	0.754	1.001
102.000	1.001	1.272	0.306	0.000	0.000	0.883	0.000	0.047	0.000	0.000	0.259	0.212	0.000	0.000	0.624	0.000	0.000	0.047	0.106	0.801	0.000	0.177	1.048	0.966	1.001
103.000	1.001	1.119	0.459	0.000	0.000	1.060	0.412	0.000	0.000	0.000	0.577	0.118	0.000	0.165	0.000	0.024	0.000	0.153	0.506	1.142	0.094	0.000	0.153	1.107	1.001
104.000	1.001	0.483	0.283	0.000	0.000	0.789	0.353	0.000	0.000	0.000	0.412	0.012	0.000	0.118	0.000	0.000	0.000	0.224	0.636	0.966	0.000	0.000	0.071	0.895	1.001
105.000	1.001	0.883	0.318	0.000	0.000	1.025	0.930	0.259	0.000	0.000	0.495	0.636	0.000	0.012	0.000	0.000	0.000	0.000	0.495	0.895	0.000	0.000	0.365	0.542	1.001
