Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.447s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.000	0.000	0.071	0.047	0.671	0.094	0.624	0.989	0.130	0.130	0.989	0.942	0.000	0.730	0.000	0.000	0.059	0.000	0.306	0.553	0.059	0.106	0.695	0.059	0.389	0.989	0.636	0.224	0.989	0.871	0.000	0.342	0.000	0.012	0.342	0.047
62.000	0.412	0.636	0.000	0.000	0.624	0.377	0.860	1.001	0.271	0.318	1.001	1.001	0.012	0.612	0.047	0.012	0.671	0.471	0.082	0.789	0.130	0.071	0.883	0.000	0.765	1.001	0.518	0.000	1.001	0.942	0.000	0.106	0.000	0.012	0.389	0.318
63.000	0.200	0.671	0.094	0.377	1.248	0.224	0.542	1.001	0.353	0.612	1.001	0.565	0.024	0.224	0.000	0.000	0.506	0.294	0.000	0.907	0.059	0.000	0.860	0.695	1.036	1.001	0.271	0.813	1.001	0.236	0.024	0.577	0.094	0.306	0.130	0.000
64.000	0.000	1.013	0.342	0.247	0.813	0.000	0.342	1.001	0.212	0.224	1.001	0.200	0.024	0.483	0.000	0.412	0.824	0.000	0.271	0.024	0.000	0.000	0.342	0.035	0.777	1.001	0.624	0.377	1.001	1.331	0.000	0.000	0.106	0.459	0.977	0.130
65.000	0.000	0.742	0.400	0.106	0.553	0.495	0.071	1.001	0.553	0.871	1.001	0.447	0.000	0.577	0.106	0.024	0.365	0.047	0.000	0.094	0.035	0.024	0.495	0.059	0.059	1.001	0.082	1.107	1.001	0.966	0.000	0.612	0.236	0.000	0.730	0.342
66.000	0.000	0.612	0.589	0.165	1.189	0.224	0.000	1.001	0.671	0.271	1.001	0.212	0.024	0.895	0.024	0.000	1.036	0.024	0.000	0.707	0.283	0.236	1.201	0.000	0.400	1.001	0.177	0.683	1.001	0.718	0.000	0.683	0.200	0.000	0.153	0.177
67.000	0.000	0.907	0.000	0.094	0.754	0.718	0.283	1.001	0.294	1.083	1.001	0.824	0.200	0.589	0.059	0.000	0.165	0.059	0.247	0.671	0.012	0.000	0.966	0.518	1.036	1.001	0.071	0.447	1.001	0.848	0.000	0.671	0.518	0.141	0.436	0.071
68.000	0.000	0.648	0.247	0.071	0.895	0.200	0.848	1.001	0.954	0.389	1.001	0.353	0.130	0.130	0.165	0.000	0.801	0.000	0.024	0.212	0.000	0.000	0.212	0.000	0.530	1.001	0.459	0.353	1.001	0.659	0.000	0.989	0.259	0.035	0.330	0.000
69.000	0.000	0.954	0.459	0.047	0.601	0.000	0.624	1.001	0.518	0.236	1.001	0.188	0.000	0.165	0.047	0.000	0.742	0.000	0.000	1.213	0.000	0.000	0.601	0.047	0.589	1.001	0.659	0.389	1.001	0.483	0.000	0.718	0.188	0.000	0.483	0.247
70.000	0.000	0.883	0.471	0.059	0.883	0.200	0.565	1.001	0.895	0.353	1.001	1.130	0.035	0.919	0.024	0.000	0.377	0.082	0.012	0.412	0.000	0.130	0.459	0.024	0.883	1.001	0.035	0.342	1.001	0.518	0.294	0.683	0.035	0.000	0.683	0.130
71.000	0.000	0.659	0.012	0.000	1.119	0.106	0.659	1.001	0.895	0.389	1.001	0.012	0.141	0.836	0.200	0.000	0.424	0.047	0.271	0.506	0.212	0.000	0.059	0.353	0.589	1.001	0.000	0.542	1.001	1.178	0.153	0.389	0.000	0.318	0.954	0.024
72.000	0.000	0.553	0.000	0.424	0.200	0.000	0.883	1.001	0.624	0.283	1.001	0.495	0.000	0.059	0.000	0.200	0.071	0.141	0.483	0.200	0.000	0.153	0.495	0.188	1.236	1.001	0.212	0.247	1.001	0.424	0.059	0.436	0.130	0.153	0.200	0.530
73.000	0.177	0.871	0.165	0.024	0.895	0.471	0.824	0.989	0.247	0.542	0.989	0.730	0.059	0.495	0.024	0.177	0.236	0.024	0.306	0.506	0.000	0.012	0.024	0.565	0.813	0.989	0.636	1.107	0.989	0.848	0.224	1.083	0.224	0.024	1.025	0.377
74.000	0.153	0.047	0.000	0.082	0.471	0.012	0.530	1.001	0.459	0.059	1.001	0.412	0.294	1.448	0.082	0.000	0.047	0.000	0.012	0.000	0.106	0.000	0.271	0.000	0.742	1.001	1.060	0.071	1.001	0.436	0.071	1.060	0.082	0.024	0.094	0.318
75.000	0.306	1.284	0.000	0.012	0.283	0.012	0.612	1.001	0.836	0.271	1.001	0.989	0.000	0.024	0.106	0.506	1.178	0.294	0.141	0.530	0.000	0.024	0.294	0.271	0.506	1.001	0.082	0.212	1.001	0.412	0.412	0.495	0.000	0.000	0.671	0.094
76.000	0.236	0.754	0.118	0.012	0.483	0.000	0.565	1.001	0.718	0.024	1.001	0.153	0.012	0.577	0.000	0.165	0.188	0.024	0.648	0.848	0.330	0.000	0.754	0.106	0.659	1.001	0.801	0.047	1.001	1.166	0.024	0.000	0.000	0.153	0.977	0.082
77.000	0.082	0.659	0.082	0.636	0.730	0.259	0.224	1.001	0.000	0.059	1.001	0.330	0.012	0.730	0.000	0.000	0.165	0.012	0.094	0.377	0.035	0.024	0.813	0.177	0.330	1.001	0.212	1.178	1.001	0.824	0.071	1.342	0.118	0.012	0.259	0.118
78.000	0.000	0.271	0.047	0.000	0.047	0.224	0.801	1.001	0.365	0.236	1.001	0.777	0.000	0.459	0.000	0.000	0.224	0.000	0.165	0.306	0.012	0.000	0.589	0.271	0.860	1.001	0.589	0.212	1.001	0.813	0.130	0.165	0.153	0.212	0.424	0.059
79.000	0.247	0.212	0.106	0.024	0.977	0.024	0.412	1.001	0.495	0.365	1.001	0.471	0.141	1.354	0.059	0.012	0.483	0.342	0.377	0.459	0.000	0.153	0.648	0.000	0.389	1.001	0.424	0.047	1.001	0.000	0.000	0.612	0.141	0.024	0.577	0.165
80.000	0.012	0.860	0.294	0.106	0.553	0.082	0.919	1.001	0.471	0.801	1.001	0.518	0.059	0.659	0.000	0.000	0.012	0.012	0.035	0.612	0.000	0.200	0.589	0.000	0.871	1.001	0.459	0.141	1.001	1.013	0.141	0.671	0.259	0.000	0.000	0.000
81.000	0.294	0.495	0.247	0.024	0.530	0.130	0.930	1.001	0.035	0.636	1.001	0.919	0.000	0.000	0.000	0.000	0.106	0.000	0.059	0.318	0.365	0.318	0.459	0.024	0.047	1.001	0.400	0.024	1.001	0.141	0.165	0.754	0.400	0.000	0.848	0.024
82.000	0.188	1.072	0.177	0.259	0.365	0.130	0.118	1.001	0.212	0.236	1.001	0.954	0.188	0.577	0.094	0.000	0.000	0.000	0.071	0.483	0.024	0.000	0.294	0.024	0.236	1.001	0.200	0.283	1.001	0.165	0.024	0.530	0.224	0.000	0.377	0.377
83.000	0.648	0.942	0.389	0.259	1.178	0.106	0.059	1.001	0.106	0.177	1.001	0.353	0.118	0.671	0.000	0.024	0.447	0.000	0.000	0.871	0.082	0.000	0.542	0.012	0.000	1.001	0.601	0.506	1.001	0.247	0.000	1.307	0.342	0.024	0.765	0.094
84.000	0.365	0.471	0.059	0.153	0.483	0.141	0.836	1.001	0.471	0.824	1.001	0.977	0.000	0.612	0.153	0.012	0.447	0.188	0.000	0.506	0.000	0.000	0.188	0.177	0.271	1.001	0.177	0.294	1.001	0.259	0.047	0.542	0.000	0.024	0.200	0.024
85.000	0.000	0.860	0.330	0.118	0.365	0.012	0.141	0.989	0.271	0.483	0.989	0.565	0.000	0.612	0.000	0.082	0.553	0.141	0.165	0.624	0.000	0.200	0.000	0.000	0.447	0.989	0.365	0.400	0.989	0.765	0.118	0.247	0.118	0.071	0.389	0.071
86.000	0.141	0.459	0.224	0.247	0.777	0.259	0.695	1.001	0.919	0.754	1.001	0.765	0.000	0.447	0.047	0.000	0.141	0.000	0.106	0.165	0.000	0.130	0.695	0.000	0.483	1.001	0.659	0.518	1.001	0.612	0.212	0.742	0.447	0.165	1.095	0.000
87.000	0.165	0.412	0.000	0.047	0.353	0.000	0.636	1.001	0.730	0.000	1.001	1.048	0.035	0.012	0.000	0.153	0.271	0.047	0.589	0.000	0.059	0.153	0.271	0.082	1.119	1.001	0.742	1.166	1.001	0.259	0.012	0.271	0.400	0.094	0.459	0.342
88.000	0.188	0.695	0.130	0.118	1.048	0.000	0.989	1.001	0.930	0.565	1.001	0.648	0.130	0.000	0.130	0.047	0.695	0.071	0.035	0.000	0.000	0.000	0.636	0.000	0.871	1.001	0.436	0.801	1.001	0.000	0.506	0.200	0.012	0.000	0.012	0.024
89.000	0.141	1.048	0.153	0.247	0.895	0.247	0.530	1.001	0.000	0.506	1.001	0.424	0.012	0.436	0.365	0.000	0.318	0.071	0.188	0.000	0.118	0.000	0.495	0.188	0.683	1.001	0.294	0.636	1.001	0.353	0.200	0.318	0.177	0.247	0.977	0.094
90.000	0.565	0.565	0.047	0.024	0.824	0.400	1.295	1.001	0.659	0.082	1.001	0.765	0.000	0.612	0.024	0.000	0.188	0.000	0.377	0.000	0.000	0.212	0.895	0.059	0.400	1.001	0.400	0.259	1.001	0.283	0.130	0.000	0.000	0.024	0.412	0.000
91.000	0.495	0.601	0.353	0.000	0.695	0.130	0.730	1.001	1.036	0.483	1.001	0.589	0.024	0.577	0.082	0.024	0.000	0.059	0.094	0.106	0.000	0.000	0.777	0.047	0.930	1.001	0.754	0.777	1.001	1.001	0.118	0.471	0.000	0.059	0.236	0.000
92.000	0.283	0.801	0.024	0.012	0.495	0.012	0.542	1.001	0.141	0.506	1.001	0.165	0.024	0.047	0.012	0.000	0.542	0.212	0.106	0.106	0.059	0.082	0.871	0.212	0.907	1.001	0.683	0.365	1.001	0.294	0.000	0.389	0.177	0.000	0.342	0.035
93.000	0.130	0.848	0.059	0.035	0.082	0.236	0.777	1.001	1.072	0.777	1.001	0.671	0.153	0.624	0.024	0.024	0.530	0.059	0.259	0.212	0.000	0.000	0.212	0.118	0.306	1.001	0.000	0.000	1.001	0.530	0.271	0.471	0.153	0.000	0.412	0.024
94.000	0.342	0.483	0.247	0.141	0.765	0.188	0.553	1.001	0.813	0.671	1.001	0.330	0.000	0.330	0.153	0.047	0.707	0.012	0.000	0.365	0.224	0.000	0.565	0.224	1.036	1.001	0.836	0.000	1.001	0.106	0.153	0.624	0.047	0.047	0.601	0.082
95.000	0.153	0.836	0.224	0.130	0.259	0.212	0.495	1.001	0.012	0.601	1.001	0.777	0.047	0.236	0.047	0.071	0.730	0.000	0.082	0.000	0.094	0.165	0.707	0.024	0.824	1.001	0.506	0.306	1.001	0.082	0.224	0.671	0.000	0.024	0.824	0.294
96.000	0.000	0.801	0.071	0.024	1.543	0.059	0.000	1.001	0.000	0.330	1.001	0.377	0.071	0.518	0.000	0.035	0.565	0.000	0.153	0.730	0.000	0.118	0.754	0.024	0.848	1.001	0.742	0.400	1.001	0.342	0.000	0.377	0.118	0.118	0.601	0.000
97.000	0.047	0.824	0.283	0.130	0.353	0.000	0.271	0.989	0.777	0.530	0.989	0.648	0.000	0.895	0.342	0.012	0.000	0.318	0.035	0.471	0.071	0.000	0.636	0.483	0.765	0.989	0.730	0.000	0.989	0.389	0.000	0.047	0.200	0.024	0.318	0.353
98.000	0.212	0.530	0.024	0.035	0.624	0.047	0.707	1.001	0.989	0.353	1.001	0.601	0.000	0.200	0.012	0.236	1.189	0.024	0.012	0.601	0.000	0.283	0.247	0.071	1.013	1.001	0.283	1.319	1.001	0.377	0.330	0.247	0.000	0.177	0.553	0.118
99.000	0.259	1.083	0.024	0.200	0.400	0.177	0.577	1.001	0.059	1.107	1.001	0.106	0.000	0.801	0.059	0.059	0.447	0.071	0.024	0.483	0.059	0.024	0.012	0.047	0.000	1.001	0.188	0.024	1.001	0.082	0.059	1.107	0.000	0.000	0.271	0.318
100.000	0.000	0.577	0.236	0.094	0.271	0.294	0.165	1.001	0.919	0.283	1.001	1.072	0.000	0.424	0.000	0.012	0.153	0.118	0.082	0.424	0.200	0.024	0.447	0.035	1.413	1.001	0.883	0.966	1.001	0.765	0.035	0.200	0.000	0.118	0.636	0.259
101.000	0.118	0.518	0.318	0.035	0.330	0.389	0.012	1.001	0.907	0.659	1.001	0.471	0.000	0.389	0.224	0.094	0.495	0.165	0.000	0.553	0.094	0.000	0.330	0.130	0.895	1.001	0.365	0.377	1.001	0.283	0.012	0.342	0.342	0.024	0.495	0.024
102.000	0.495	0.624	0.000	0.118	0.247	0.671	0.742	1.001	0.259	0.012	1.001	1.178	0.000	0.224	0.012	0.000	0.565	0.035	0.000	0.695	0.236	0.130	0.954	0.047	0.506	1.001	0.659	0.412	1.001	0.683	0.141	1.001	0.012	0.141	0.035	0.071
103.000	0.094	0.730	0.071	0.118	0.389	0.024	0.130	1.001	1.236	0.695	1.001	0.518	0.000	0.106	0.000	0.141	0.989	0.106	0.165	0.483	0.141	0.000	0.342	0.094	0.424	1.001	0.801	0.365	1.001	0.247	0.000	0.506	0.047	0.200	0.824	0.141
