Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.413s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.000	0.000	0.000	0.601	0.553	0.412	0.000	0.989	0.883	0.989	0.024	0.000	0.330	0.742	0.000	0.000	0.860	0.836	0.966	0.989	0.000	0.000	0.989	0.801	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.824	0.789	0.000	0.000
62.000	0.000	0.000	0.000	0.542	0.259	0.236	0.000	1.001	0.813	1.001	0.071	0.000	0.895	0.907	0.000	0.000	1.083	0.813	0.777	1.001	0.000	0.000	1.001	0.871	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.742	1.048	0.000	0.000
63.000	0.000	0.000	0.000	0.659	0.612	0.471	0.000	1.001	0.966	1.001	1.166	0.000	1.083	0.977	0.000	0.000	0.636	0.730	1.048	1.001	0.000	0.000	1.001	0.789	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.930	0.919	0.000	0.000
64.000	0.000	0.000	0.000	0.495	0.389	0.294	0.000	1.001	1.001	1.001	0.871	0.000	0.848	0.977	0.000	0.000	1.095	1.036	0.989	1.001	0.000	0.000	1.001	1.072	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.848	0.789	0.000	0.000
65.000	0.000	0.000	0.000	1.013	0.436	0.353	0.000	1.001	0.919	1.001	0.989	0.000	1.025	1.072	0.000	0.000	0.907	0.742	0.848	1.001	0.000	0.000	1.001	0.907	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.836	0.836	0.012	0.000
66.000	0.000	0.000	0.000	0.883	0.000	0.000	0.000	1.001	0.907	1.001	0.765	0.000	0.883	0.919	0.000	0.000	0.883	1.072	0.813	1.001	0.000	0.000	1.001	1.013	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.389	0.930	1.119	0.000
67.000	0.000	0.000	0.000	0.224	0.082	0.000	0.000	1.001	1.119	1.001	0.836	0.000	0.895	0.942	0.000	0.000	0.942	0.695	1.154	1.001	0.000	0.000	1.001	0.813	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.506	0.989	0.377	0.000
68.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.765	1.001	1.013	0.000	0.671	1.048	0.000	0.000	0.895	0.624	0.871	1.001	0.000	0.000	1.001	0.848	0.483	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.848	0.813	0.000	0.000
69.000	0.000	0.000	0.000	0.695	0.000	0.000	0.000	1.001	0.789	1.001	0.695	0.000	0.907	0.730	0.259	0.000	0.895	0.601	0.589	1.001	0.000	0.000	1.001	0.883	0.483	0.000	0.000	1.001	0.000	0.000	0.012	0.082	0.130	0.589	0.071	0.000
70.000	0.000	0.000	0.000	0.883	0.000	0.000	0.000	1.001	0.930	1.001	1.083	0.000	0.506	0.612	0.695	0.000	0.695	0.259	0.907	1.001	0.000	0.000	1.001	0.801	0.318	0.000	0.000	1.001	0.000	0.000	0.000	0.236	0.177	0.659	0.400	0.000
