Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.419s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.000	0.330	0.212	0.000	0.000	0.000	0.000	0.989	0.294	0.447	0.989	0.000	0.000	0.377	0.130	0.200	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.318	0.989	0.082	0.765	0.989	0.000	0.165	0.495	0.000	0.059	0.612	0.000
62.000	0.177	0.695	0.400	0.000	0.000	0.000	0.000	1.001	0.577	0.671	1.001	0.000	0.000	0.294	0.247	0.389	0.000	0.000	0.024	0.353	0.130	0.000	0.000	0.000	0.283	1.001	0.118	0.530	1.001	0.000	0.294	0.424	0.047	0.118	0.648	0.000
63.000	0.518	0.789	0.094	0.000	0.000	0.000	0.000	1.001	0.730	0.671	1.001	0.000	0.000	0.024	0.141	0.495	0.000	0.000	0.165	0.306	0.165	0.000	0.000	0.000	0.177	1.001	0.177	0.177	1.001	0.000	0.177	0.601	0.000	0.130	0.930	0.000
64.000	0.400	0.424	0.506	0.000	0.000	0.000	0.000	1.001	0.000	0.789	1.001	0.000	0.000	0.659	0.000	0.377	0.000	0.000	0.000	0.153	0.000	0.000	0.000	0.000	0.565	1.001	0.047	0.848	1.001	0.000	0.553	0.754	0.047	0.754	0.683	0.000
65.000	0.565	0.718	0.412	0.000	0.000	0.000	0.000	1.001	0.589	1.001	1.001	0.000	0.000	0.012	0.294	0.518	0.000	0.000	0.000	0.130	0.000	0.000	0.000	0.000	0.707	1.001	0.024	0.412	1.001	0.000	0.400	0.342	0.000	0.236	0.895	0.000
66.000	0.424	0.742	0.530	0.000	0.000	0.000	0.000	1.001	0.400	0.542	1.001	0.000	0.000	0.071	0.106	0.471	0.000	0.000	0.200	0.306	0.118	0.000	0.000	0.000	0.283	1.001	0.000	0.400	1.001	0.000	0.259	0.671	0.000	0.424	0.565	0.000
67.000	0.389	0.718	0.059	0.000	0.000	0.000	0.000	1.001	0.283	0.648	1.001	0.000	0.000	0.294	0.141	0.424	0.000	0.000	0.071	0.165	0.000	0.000	0.000	0.000	0.506	1.001	0.035	0.695	1.001	0.000	0.306	0.683	0.035	0.283	0.813	0.000
68.000	0.518	0.553	0.130	0.000	0.000	0.000	0.000	1.001	0.271	0.919	1.001	0.000	0.000	0.577	0.012	0.483	0.000	0.000	0.188	0.259	0.118	0.000	0.000	0.000	0.530	1.001	0.047	0.530	1.001	0.000	0.412	0.471	0.012	0.553	0.989	0.000
69.000	0.436	0.565	0.236	0.000	0.000	0.000	0.000	1.001	0.459	0.883	1.001	0.000	0.000	0.824	0.071	0.777	0.000	0.000	0.024	0.035	0.071	0.000	0.000	0.000	0.530	1.001	0.318	0.436	1.001	0.000	0.259	0.518	0.188	0.130	0.471	0.000
70.000	0.271	0.683	0.565	0.000	0.000	0.000	0.000	1.001	0.153	0.436	1.001	0.000	0.000	0.671	0.000	0.318	0.000	0.000	0.024	0.035	0.024	0.000	0.000	0.000	0.553	1.001	0.200	0.754	1.001	0.000	0.283	0.671	0.000	0.306	1.119	0.000
