Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.440s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.919	0.789	0.977	0.966	0.000	0.895	0.000	0.000
62.000	1.001	1.036	1.036	1.013	1.013	0.000	1.013	0.000	0.000
63.000	1.001	1.001	1.083	1.001	1.001	0.000	0.966	0.000	0.000
64.000	1.001	0.954	0.919	0.977	0.954	0.000	0.966	0.000	0.000
65.000	1.001	0.989	1.013	1.013	1.013	0.000	1.036	0.000	0.000
66.000	1.001	1.036	1.060	0.966	0.977	0.000	0.989	0.000	0.000
67.000	1.001	0.871	0.824	0.989	0.977	0.000	0.966	0.318	0.000
68.000	1.001	1.107	1.025	0.989	1.013	0.000	0.824	0.342	0.000
69.000	1.001	0.989	0.883	1.013	0.895	0.000	1.095	0.377	0.000
70.000	1.001	0.907	1.013	0.813	0.895	0.000	0.789	0.459	0.000
71.000	1.001	0.789	0.836	0.954	0.495	0.707	0.836	0.071	0.000
72.000	1.001	0.977	0.659	0.942	0.542	0.495	1.001	0.000	0.000
73.000	0.989	0.718	0.895	0.871	0.671	0.919	0.589	0.000	0.000
74.000	1.001	1.107	1.107	1.025	0.389	1.060	0.977	0.000	0.000
75.000	1.001	1.060	0.989	1.060	1.460	0.389	1.060	0.000	0.000
76.000	1.001	0.907	0.942	1.013	1.013	0.000	1.013	0.000	0.000
77.000	1.001	1.036	0.247	1.001	1.001	0.000	1.013	0.000	0.000
78.000	1.001	0.989	0.000	0.989	1.001	0.000	0.989	0.000	0.000
79.000	1.001	1.025	0.907	1.001	0.977	0.130	1.001	0.000	0.000
80.000	1.001	0.942	0.919	0.989	1.013	0.000	0.989	0.000	0.000
81.000	1.001	1.048	1.107	0.954	0.895	0.342	0.848	0.000	0.000
82.000	1.001	1.001	1.001	1.025	1.025	0.000	1.083	0.000	0.000
83.000	1.001	1.001	0.930	1.001	1.001	0.000	1.013	0.000	0.000
84.000	1.001	0.977	1.001	1.001	1.001	0.000	0.977	0.000	0.000
85.000	0.989	1.025	1.048	1.001	1.001	0.000	0.977	0.000	0.000
86.000	1.001	0.942	0.777	0.966	0.813	0.118	0.989	0.118	0.000
87.000	1.001	1.025	0.954	1.001	0.919	0.553	0.777	0.035	0.000
88.000	1.001	0.824	0.895	0.942	0.542	1.083	0.742	0.047	0.000
89.000	1.001	1.119	1.025	0.824	0.330	1.048	0.860	0.000	0.000
90.000	1.001	0.789	0.813	1.048	0.659	0.813	1.095	0.024	0.000
91.000	1.001	1.001	0.754	0.883	1.366	0.671	0.919	0.094	0.000
92.000	1.001	1.060	0.954	0.977	0.624	1.025	0.977	0.000	0.000
93.000	1.001	0.718	0.895	1.072	0.212	0.895	1.083	0.000	0.000
94.000	1.001	0.883	0.942	0.942	0.824	0.895	0.930	0.000	0.000
95.000	1.001	1.130	1.154	1.001	1.025	0.789	0.895	0.000	0.000
96.000	1.001	1.001	1.001	0.989	1.001	0.000	1.119	0.000	0.000
97.000	0.989	1.060	1.060	0.813	1.025	0.000	0.789	0.000	0.000
98.000	1.001	1.013	1.001	1.166	0.848	0.000	1.130	0.000	0.000
99.000	1.001	1.001	0.942	1.036	1.048	0.000	1.025	0.000	0.000
100.000	1.001	0.966	0.966	1.001	0.930	0.000	1.036	0.000	0.000
101.000	1.001	1.001	1.048	1.001	1.719	0.000	0.989	0.000	0.000
102.000	1.001	1.025	1.001	0.977	0.977	0.000	0.977	0.000	0.000
103.000	1.001	1.001	0.966	1.013	1.001	0.000	0.942	0.000	0.000
104.000	1.001	1.001	1.072	1.001	1.013	0.000	1.001	0.000	0.000
105.000	1.001	0.801	0.542	0.954	0.636	0.353	0.977	0.000	0.000
106.000	1.001	0.871	0.742	1.048	1.272	0.789	0.966	0.000	0.000
107.000	1.001	1.166	1.107	0.977	0.989	1.119	0.283	0.000	0.000
108.000	1.001	1.001	1.095	1.025	1.013	1.095	0.000	0.000	0.000
109.000	1.001	0.871	0.765	0.989	0.707	0.718	0.518	0.000	0.000
110.000	0.989	0.883	0.789	0.883	0.671	0.824	0.801	0.000	0.000
111.000	1.001	0.789	0.742	0.601	0.589	0.742	0.648	0.024	0.000
112.000	1.001	0.659	0.424	1.390	1.036	0.306	1.378	0.000	0.024
113.000	1.001	1.130	1.025	0.930	0.754	0.836	0.836	0.012	0.012
114.000	1.001	1.013	1.142	0.836	0.059	0.848	0.860	0.000	0.000
115.000	1.001	0.977	0.954	1.142	0.035	0.518	1.166	0.000	0.000
116.000	1.001	1.013	1.001	1.001	0.000	0.000	0.989	0.000	0.000
117.000	1.001	1.013	0.553	1.001	1.578	0.141	0.989	0.000	0.000
118.000	1.001	0.989	0.000	0.989	1.001	0.000	1.013	0.000	0.000
119.000	1.001	1.001	0.000	1.001	1.001	0.000	1.001	0.000	0.000
120.000	1.001	1.001	0.000	1.001	1.001	0.000	1.001	0.000	0.000
