Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.447s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.860	0.824	0.813	0.165	0.977	0.259	0.836	0.989
62.000	1.001	1.060	0.012	1.107	0.483	0.989	0.742	1.083	1.001
63.000	1.001	0.966	0.977	0.483	0.624	0.942	0.365	0.907	1.001
64.000	1.001	1.013	0.577	0.553	1.425	0.977	0.000	0.836	1.001
65.000	1.001	1.001	0.000	0.730	0.424	1.001	0.412	1.189	1.001
66.000	1.001	0.977	0.365	1.201	0.730	0.930	0.518	0.907	1.001
67.000	1.001	0.919	0.330	0.977	0.589	0.624	0.577	0.989	1.001
68.000	1.001	1.013	1.001	0.836	1.083	1.036	0.047	0.954	1.001
69.000	1.001	0.871	0.177	0.789	0.824	0.824	1.154	1.095	1.001
70.000	1.001	0.989	0.518	0.966	0.836	0.954	0.000	1.013	1.001
71.000	1.001	1.107	0.671	0.188	0.765	1.001	0.765	0.989	1.001
72.000	1.001	0.942	0.565	1.001	0.836	0.907	0.000	1.001	1.001
73.000	0.989	1.060	0.071	1.036	0.577	0.966	1.437	0.977	0.989
74.000	1.001	1.001	0.860	0.871	0.601	1.107	0.342	0.954	1.001
75.000	1.001	0.848	0.483	0.989	0.612	0.907	0.895	0.754	1.001
76.000	1.001	1.036	0.459	0.954	0.707	0.954	0.094	0.977	1.001
77.000	1.001	1.048	0.813	0.306	0.636	0.683	0.471	0.954	1.001
78.000	1.001	0.789	0.000	1.401	0.365	0.212	0.648	0.860	1.001
79.000	1.001	1.213	0.000	0.389	0.695	1.201	0.294	0.683	1.001
80.000	1.001	1.001	0.059	1.260	0.506	0.789	0.659	0.989	1.001
81.000	1.001	1.001	0.353	0.789	0.424	0.000	0.330	0.942	1.001
82.000	1.001	0.989	0.754	1.519	0.283	0.389	0.000	1.001	1.001
83.000	1.001	0.907	0.553	0.200	0.082	0.848	0.283	0.883	1.001
84.000	1.001	0.954	0.342	0.860	0.612	0.954	0.047	1.001	1.001
85.000	0.989	0.930	0.000	0.212	0.483	0.966	0.389	1.001	0.989
86.000	1.001	1.001	0.730	0.907	0.789	0.966	0.177	1.001	1.001
87.000	1.001	1.001	0.601	1.684	0.518	0.813	0.000	0.907	1.001
88.000	1.001	0.777	0.130	0.765	0.789	0.871	0.294	0.919	1.001
89.000	1.001	0.801	0.000	0.400	0.141	0.000	0.742	1.001	1.001
90.000	1.001	0.930	0.000	1.578	0.035	0.742	0.506	0.966	1.001
91.000	1.001	0.824	0.000	0.165	0.471	1.295	0.648	0.954	1.001
92.000	1.001	1.001	0.636	0.683	0.224	0.000	0.012	1.001	1.001
93.000	1.001	0.907	0.000	1.201	0.000	1.166	0.200	0.989	1.001
94.000	1.001	0.954	0.695	0.836	0.365	0.000	0.848	1.001	1.001
95.000	1.001	0.506	0.000	0.283	0.648	0.389	0.035	0.860	1.001
96.000	1.001	0.977	0.306	1.213	0.447	0.942	0.294	1.001	1.001
97.000	0.989	0.789	0.612	0.707	0.059	0.565	0.153	1.001	0.989
98.000	1.001	0.954	0.000	0.000	0.400	0.212	0.553	0.954	1.001
99.000	1.001	0.907	0.495	1.613	0.188	0.082	0.601	1.001	1.001
100.000	1.001	0.848	0.506	0.294	0.024	0.977	0.059	0.895	1.001
101.000	1.001	1.001	0.553	0.377	0.059	1.095	0.047	1.001	1.001
102.000	1.001	0.565	0.294	0.966	1.201	0.294	0.400	1.001	1.001
103.000	1.001	1.001	0.342	0.294	0.306	1.001	0.742	1.001	1.001
104.000	1.001	0.989	0.000	1.213	0.518	0.871	0.954	0.954	1.001
105.000	1.001	0.919	0.000	0.730	0.659	0.577	0.577	0.919	1.001
106.000	1.001	0.977	0.012	1.460	0.400	0.495	0.589	1.001	1.001
107.000	1.001	0.236	0.730	0.024	0.059	0.342	0.000	0.801	1.001
108.000	1.001	1.696	0.930	0.000	0.200	0.789	0.707	0.989	1.001
109.000	1.001	0.777	0.436	0.871	0.212	0.365	0.377	0.989	0.989
110.000	0.989	1.001	0.177	0.236	0.177	1.189	0.094	1.001	1.001
111.000	1.001	0.989	0.035	0.118	0.424	0.565	0.930	1.001	1.001
112.000	1.001	0.883	0.989	0.954	0.777	1.001	0.483	0.977	1.001
113.000	1.001	0.801	0.424	0.848	0.236	0.553	0.436	0.860	1.001
114.000	1.001	0.907	0.565	1.437	0.400	0.989	0.000	0.966	1.001
115.000	1.001	1.001	0.153	0.141	0.000	0.836	0.118	1.001	1.001
116.000	1.001	0.989	0.035	1.072	0.436	1.201	0.000	1.001	1.001
117.000	1.001	0.907	0.224	1.036	0.718	1.060	0.907	0.883	1.001
118.000	1.001	0.989	0.377	0.801	0.506	0.577	0.636	0.989	1.001
119.000	1.001	1.001	0.601	1.625	0.059	1.083	0.118	1.001	1.001
120.000	1.001	0.659	0.506	0.294	0.306	0.612	0.294	0.683	1.001
