Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.399s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.954	0.059	0.000	0.495	0.271	0.000	0.000	0.318	0.000	0.577	0.071	0.094	0.283	0.601	0.989
62.000	1.001	0.907	0.071	0.012	0.930	0.283	0.000	0.212	0.306	0.000	0.000	0.848	0.012	0.082	0.518	1.001
63.000	1.001	0.895	0.000	0.000	0.459	0.342	0.000	0.000	0.000	0.000	0.000	0.989	0.000	0.259	0.648	1.001
64.000	1.001	0.942	0.000	0.000	0.424	0.118	0.000	0.306	0.224	0.000	0.059	0.871	0.024	0.224	0.730	1.001
65.000	1.001	0.813	0.283	0.000	0.930	0.165	0.000	0.695	0.000	0.000	0.648	1.142	0.012	0.459	0.824	1.001
66.000	1.001	1.189	0.683	0.012	1.154	0.718	0.000	0.389	0.542	0.000	0.012	1.025	0.000	0.236	1.025	1.001
67.000	1.001	0.789	0.059	0.047	0.765	0.365	0.000	0.259	0.871	0.153	0.754	0.695	0.000	0.671	1.213	1.001
68.000	1.001	0.907	0.565	0.059	0.966	0.389	0.165	0.024	0.365	0.353	0.553	0.942	0.000	0.659	0.824	1.001
69.000	1.001	0.930	0.224	0.000	1.001	0.294	0.012	0.695	0.247	0.471	0.895	1.036	0.000	0.071	0.636	1.001
70.000	1.001	0.718	0.000	0.000	1.013	0.789	0.106	0.012	0.224	0.012	0.742	0.954	0.106	0.389	0.671	1.001
71.000	1.001	0.977	0.000	0.047	0.377	0.294	0.000	0.436	0.283	0.094	0.506	1.036	0.000	0.212	0.601	1.001
72.000	1.001	0.883	0.000	0.047	1.036	0.483	0.094	0.141	0.353	0.306	0.789	0.636	0.224	0.059	0.777	1.001
73.000	0.989	0.919	0.000	0.082	1.048	0.742	0.071	0.801	0.730	0.247	0.247	1.154	0.000	0.106	0.907	0.989
74.000	1.001	0.895	0.000	0.000	0.836	0.518	0.188	0.000	0.365	0.141	1.060	0.683	0.000	0.212	0.895	1.001
