Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.430s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.954	0.648	0.930	0.860	0.306	0.000	0.000	0.000
62.000	1.001	1.036	1.130	1.001	0.966	1.025	0.000	0.000	0.000
63.000	1.001	0.942	0.883	0.895	0.954	0.977	0.000	0.000	0.000
64.000	1.001	1.048	1.072	1.072	1.119	0.919	0.000	0.000	0.000
65.000	1.001	1.001	0.942	0.989	1.001	0.754	0.000	0.000	0.000
66.000	1.001	0.989	0.789	1.025	0.942	1.095	0.000	0.000	0.000
67.000	1.001	1.013	0.636	1.013	0.754	0.542	0.000	0.000	0.000
68.000	1.001	1.001	1.107	0.930	0.530	1.072	0.000	0.000	0.000
69.000	1.001	1.001	0.919	0.942	1.413	0.636	0.000	0.000	0.000
70.000	1.001	1.001	1.048	1.001	1.013	0.000	0.000	0.000	0.000
71.000	1.001	0.954	0.954	1.036	1.036	0.000	0.000	0.589	0.000
72.000	1.001	0.942	0.506	1.001	1.001	0.000	0.000	0.883	0.000
73.000	0.989	0.966	0.942	0.907	0.930	0.695	0.000	0.848	0.000
74.000	1.001	0.989	0.966	0.966	0.966	0.707	0.000	0.966	0.000
75.000	1.001	1.001	0.895	1.036	1.036	1.248	0.000	0.601	0.000
76.000	1.001	1.001	1.036	1.001	1.001	0.871	0.000	0.707	0.000
77.000	1.001	1.001	0.977	0.836	0.824	0.153	0.000	0.718	0.000
78.000	1.001	0.730	0.695	1.166	1.178	1.107	0.000	0.000	0.236
79.000	1.001	1.189	1.142	0.777	0.589	0.342	0.000	0.000	0.342
80.000	1.001	0.966	0.966	1.048	1.130	0.389	0.000	0.000	0.377
81.000	1.001	0.977	1.048	1.060	0.000	0.000	0.000	0.000	0.000
82.000	1.001	1.025	1.048	0.966	0.000	0.000	0.000	0.000	0.000
83.000	1.001	1.001	0.930	1.001	0.930	0.000	0.000	0.000	0.000
84.000	1.001	1.001	1.072	0.942	1.001	0.000	0.000	0.000	0.000
85.000	0.989	0.977	0.742	0.883	0.930	0.542	0.000	0.000	0.000
86.000	1.001	1.025	0.330	1.142	0.424	0.247	0.000	0.000	0.000
87.000	1.001	1.001	0.000	1.001	0.000	0.000	0.000	0.000	0.000
88.000	1.001	1.001	0.000	1.001	0.000	0.000	0.000	0.000	0.000
89.000	1.001	0.989	0.000	1.001	0.000	0.000	0.000	0.000	0.000
90.000	1.001	1.013	0.000	1.001	0.000	0.000	0.000	0.000	0.000
91.000	1.001	1.001	0.436	0.836	0.553	0.424	0.000	0.436	0.000
92.000	1.001	0.907	0.989	1.083	0.907	0.919	0.000	0.035	0.000
93.000	1.001	1.083	0.942	1.025	1.072	1.013	0.000	1.142	0.000
94.000	1.001	1.001	1.060	0.989	0.966	1.048	0.000	0.683	0.000
95.000	1.001	0.989	0.942	0.848	1.036	0.601	0.000	0.459	0.000
96.000	1.001	1.013	1.095	1.060	0.459	1.366	0.000	0.000	0.000
97.000	0.989	1.001	1.001	1.001	1.401	0.459	0.000	0.000	0.000
98.000	1.001	0.989	0.919	0.977	1.048	1.342	0.000	0.000	0.000
99.000	1.001	1.001	1.048	0.930	0.942	0.871	0.000	0.000	0.000
100.000	1.001	0.930	0.966	1.060	1.013	0.942	0.000	0.000	0.000
101.000	1.001	1.013	0.966	0.954	0.942	1.130	0.000	0.000	0.000
102.000	1.001	0.954	0.966	0.954	0.989	0.966	0.000	0.000	0.000
103.000	1.001	1.048	1.025	1.107	1.083	1.001	0.000	0.000	0.000
104.000	1.001	1.013	1.036	1.001	1.013	0.789	0.000	0.000	0.000
105.000	1.001	0.977	0.718	0.977	0.695	0.730	0.000	0.000	0.094
106.000	1.001	1.013	0.612	1.013	1.166	0.389	0.000	0.000	0.412
107.000	1.001	1.001	1.166	0.919	0.919	0.659	0.000	0.000	0.012
108.000	1.001	0.989	0.919	1.083	1.083	1.425	0.000	0.000	0.000
109.000	1.001	1.013	0.977	1.001	0.789	0.506	0.000	0.000	0.000
110.000	0.989	1.001	0.954	0.930	0.695	0.954	0.000	0.000	0.000
111.000	1.001	1.001	0.813	1.060	1.260	0.848	0.000	0.000	0.000
112.000	1.001	0.942	1.060	0.977	0.754	1.072	0.000	0.000	0.000
113.000	1.001	1.060	1.083	1.025	0.707	1.036	0.000	0.000	0.000
114.000	1.001	0.966	0.754	0.966	1.166	0.765	0.000	0.000	0.000
115.000	1.001	0.930	1.013	1.001	0.801	1.036	0.000	0.000	0.000
116.000	1.001	1.072	1.048	1.001	0.177	1.083	0.000	0.000	0.000
117.000	1.001	1.036	1.013	0.848	0.966	0.930	0.000	0.000	0.212
118.000	1.001	0.977	0.671	1.072	0.436	0.471	0.000	0.000	0.518
119.000	1.001	0.966	1.130	0.930	0.754	0.730	0.000	0.000	0.471
120.000	1.001	0.930	0.883	0.989	0.718	0.636	0.000	0.000	0.342
