Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.579s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
61.000	0.989	0.695	0.035	0.966	0.377	0.035	0.824	0.024	0.012
62.000	1.001	0.801	0.294	1.013	0.130	0.271	1.001	0.000	0.271
63.000	1.001	0.907	0.259	0.954	1.142	0.436	0.765	0.377	0.506
64.000	1.001	0.954	1.236	0.977	0.530	0.082	0.836	0.377	0.035
65.000	1.001	1.036	0.954	0.930	0.259	0.177	0.801	0.200	0.024
66.000	1.001	0.966	0.636	0.989	0.483	0.424	0.824	0.000	0.542
67.000	1.001	1.036	0.601	0.589	1.331	0.271	0.730	0.813	0.283
68.000	1.001	0.730	0.895	1.001	0.447	0.224	1.001	0.436	0.059
69.000	1.001	0.966	0.471	0.930	0.565	0.353	0.742	0.118	0.436
70.000	1.001	0.801	1.130	1.119	0.447	0.153	1.025	0.271	0.012
71.000	1.001	0.966	0.907	0.824	0.530	0.353	0.789	0.000	0.353
72.000	1.001	1.013	0.942	1.048	0.389	0.130	1.107	0.000	0.200
73.000	0.989	1.036	0.860	1.119	0.342	0.259	1.036	0.000	0.188
74.000	1.001	0.919	0.954	0.742	0.624	0.294	0.754	0.094	0.094
75.000	1.001	0.871	0.883	1.236	1.048	0.400	1.130	0.000	0.342
76.000	1.001	0.777	0.695	0.966	0.483	0.165	0.636	0.212	0.059
77.000	1.001	0.707	0.518	0.836	0.530	0.459	0.765	0.271	0.436
78.000	1.001	1.119	1.025	0.848	0.895	0.082	0.695	0.648	0.082
79.000	1.001	0.801	0.506	1.001	0.577	0.353	1.095	0.000	0.259
80.000	1.001	0.718	0.836	0.860	0.612	0.059	0.777	0.212	0.059
81.000	1.001	1.236	1.036	1.013	0.801	0.459	0.930	0.342	0.424
82.000	1.001	1.036	0.848	0.907	0.777	0.212	0.659	0.930	0.212
83.000	1.001	0.730	0.718	0.683	0.530	0.495	0.695	0.024	0.212
84.000	1.001	1.095	1.001	1.248	0.871	0.259	1.201	0.353	0.000
85.000	0.989	1.001	0.930	1.036	0.530	0.118	0.907	0.106	0.106
86.000	1.001	0.930	0.836	0.919	0.624	0.012	0.930	0.047	0.000
87.000	1.001	0.989	0.589	1.001	1.095	0.153	0.871	0.518	0.236
88.000	1.001	0.942	1.095	0.942	0.742	0.106	0.989	0.283	0.106
89.000	1.001	1.013	0.601	0.883	0.624	0.141	0.695	0.130	0.153
90.000	1.001	0.930	0.824	0.930	0.436	0.247	0.883	0.024	0.283
91.000	1.001	0.977	0.871	0.907	0.259	0.141	0.813	0.400	0.141
92.000	1.001	0.836	0.907	0.860	0.495	0.047	0.777	0.188	0.000
93.000	1.001	1.107	1.083	0.848	0.330	0.035	0.954	0.165	0.071
94.000	1.001	0.907	0.718	0.895	0.447	0.047	0.883	0.612	0.000
95.000	1.001	1.083	0.871	1.072	0.907	0.306	0.966	0.365	0.118
96.000	1.001	0.989	0.895	0.930	0.683	0.648	0.342	0.047	0.624
97.000	0.989	0.907	0.919	0.966	0.259	0.000	1.331	0.141	0.000
98.000	1.001	1.072	1.166	0.553	0.836	0.565	0.624	0.141	0.294
99.000	1.001	0.848	0.777	1.072	1.130	0.342	0.695	0.177	0.259
100.000	1.001	0.777	0.601	1.001	0.495	0.294	0.942	0.118	0.318
101.000	1.001	0.765	0.919	0.883	0.483	0.236	1.072	0.188	0.236
102.000	1.001	0.966	0.506	0.860	0.601	0.365	0.648	0.247	0.271
103.000	1.001	0.930	1.319	0.954	0.671	0.259	0.883	0.542	0.071
104.000	1.001	0.966	0.742	1.001	0.247	0.212	1.142	0.000	0.200
105.000	1.001	1.013	0.495	0.989	0.495	0.318	0.836	0.718	0.224
106.000	1.001	0.895	0.801	0.836	0.871	0.989	0.412	0.224	0.612
107.000	1.001	0.860	0.860	0.801	0.589	0.035	0.777	0.000	0.177
108.000	1.001	1.001	0.659	0.919	0.989	0.471	0.777	0.165	0.200
109.000	1.001	0.989	0.801	0.612	0.624	0.695	0.589	0.530	0.636
110.000	0.989	0.942	1.095	1.013	0.589	0.000	0.777	0.542	0.000
111.000	1.001	1.036	0.860	0.577	0.683	0.212	0.659	0.306	0.212
112.000	1.001	0.977	0.813	1.390	0.671	0.165	1.178	0.236	0.236
113.000	1.001	0.907	1.060	0.966	0.659	0.059	1.048	0.283	0.059
114.000	1.001	0.836	0.707	0.930	0.459	0.130	1.001	0.094	0.130
115.000	1.001	1.083	0.589	0.577	1.130	0.754	0.212	0.436	0.824
116.000	1.001	0.930	0.777	1.048	0.612	0.342	0.919	0.035	0.259
117.000	1.001	0.977	0.553	1.060	0.659	0.389	0.966	0.530	0.283
118.000	1.001	0.601	0.930	0.624	0.530	0.000	0.071	0.424	0.000
119.000	1.001	0.895	0.871	1.166	0.082	0.165	0.966	0.000	0.024
120.000	1.001	0.495	0.506	0.777	0.283	0.365	0.989	0.236	0.353
