Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.800s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
61.000	0.989	0.483	0.035	0.000	0.848	0.047	0.000	0.765	0.659	0.000	0.247	0.919	0.471	0.212	0.730	0.989
62.000	1.001	0.671	0.094	0.106	0.730	0.471	0.000	0.754	0.860	0.200	0.871	0.871	0.813	0.707	0.871	1.001
63.000	1.001	0.683	0.059	0.035	0.742	0.612	0.000	0.777	0.471	0.153	0.000	0.801	0.389	0.765	0.930	1.001
64.000	1.001	1.036	0.259	0.212	0.330	0.659	0.000	0.742	0.412	0.071	0.624	0.718	0.471	0.942	0.930	1.001
65.000	1.001	0.612	0.542	0.024	1.025	0.318	0.000	1.095	0.659	0.000	0.730	1.189	0.589	0.824	0.977	1.001
66.000	1.001	0.695	0.353	0.330	0.436	0.624	0.000	0.860	0.141	0.294	0.306	0.742	0.188	0.789	0.824	1.001
67.000	1.001	0.930	0.860	0.930	0.612	0.071	0.000	0.000	0.424	0.024	0.777	0.907	0.330	0.930	1.048	1.001
68.000	1.001	0.542	0.353	0.389	0.224	0.659	0.000	1.119	0.447	0.059	0.883	1.119	0.153	0.624	0.695	1.001
69.000	1.001	0.848	0.824	0.542	1.178	0.424	0.000	0.895	0.695	0.000	0.330	0.836	0.553	0.919	0.966	1.001
70.000	1.001	0.777	0.306	0.294	0.801	0.659	0.000	0.589	0.624	0.012	0.707	0.824	0.577	0.789	0.895	1.001
71.000	1.001	1.048	0.624	0.648	0.954	0.153	0.000	1.013	0.601	0.000	0.789	0.966	0.624	0.765	0.789	1.001
72.000	1.001	0.777	0.495	0.459	0.424	0.754	0.000	0.506	0.236	0.000	0.801	0.813	0.188	0.871	0.836	1.001
73.000	0.989	0.824	0.777	0.601	1.248	0.330	0.000	0.624	0.624	0.024	0.919	0.801	0.530	0.883	0.895	0.989
74.000	1.001	0.495	0.365	0.659	0.648	0.247	0.000	1.025	0.389	0.141	0.871	0.954	0.165	0.789	0.824	1.001
75.000	1.001	0.636	0.459	0.389	0.447	0.495	0.000	0.589	0.000	0.130	0.518	0.754	0.000	0.259	0.966	1.001
76.000	1.001	0.718	0.683	0.412	0.730	0.259	0.000	0.495	0.601	0.071	0.765	0.895	0.447	0.977	1.048	1.001
77.000	1.001	1.013	0.518	0.236	0.860	0.824	0.000	0.601	0.707	0.071	0.506	0.683	0.506	0.495	0.883	1.001
78.000	1.001	0.907	1.013	0.930	0.871	0.565	0.000	1.095	0.353	0.000	0.871	1.142	0.400	0.612	0.789	1.001
79.000	1.001	0.506	0.294	0.294	1.013	0.377	0.000	0.553	0.836	0.106	0.765	0.824	0.577	0.883	0.860	1.001
80.000	1.001	1.142	0.636	0.471	0.930	0.707	0.000	0.836	0.777	0.000	0.377	0.789	0.447	0.612	0.848	1.001
81.000	1.001	0.565	0.365	0.200	0.695	0.224	0.000	1.201	0.212	0.165	0.930	1.178	0.271	0.553	0.860	1.001
82.000	1.001	0.718	0.400	0.200	1.048	0.506	0.000	0.730	0.836	0.330	0.730	0.754	0.601	0.659	0.801	1.001
83.000	1.001	0.718	0.848	0.259	0.954	0.848	0.000	0.848	0.919	0.047	0.919	1.036	0.530	0.742	1.025	1.001
84.000	1.001	0.671	0.177	0.236	0.919	0.318	0.000	0.860	0.412	0.306	0.730	0.848	0.400	1.025	0.895	1.001
85.000	0.989	0.471	0.330	0.365	0.718	0.094	0.000	0.777	0.848	0.000	0.565	0.801	0.919	0.518	0.789	0.989
86.000	1.001	0.765	0.695	0.389	0.907	0.518	0.000	0.966	0.813	0.035	0.707	0.954	0.471	0.824	0.659	1.001
87.000	1.001	0.777	0.330	0.118	0.883	0.542	0.000	0.518	0.601	0.012	0.648	0.659	0.153	0.871	0.754	1.001
88.000	1.001	0.695	0.106	0.153	0.542	0.836	0.000	0.954	0.177	0.424	0.883	1.225	0.294	0.789	0.954	1.001
89.000	1.001	1.025	0.742	0.389	0.530	1.013	0.000	0.718	0.506	0.059	0.483	0.754	0.342	1.048	0.954	1.001
90.000	1.001	0.919	0.377	0.247	1.154	0.377	0.000	0.813	0.860	0.071	0.989	0.966	0.907	0.789	0.977	1.001
91.000	1.001	0.718	0.565	0.306	0.377	0.118	0.000	0.224	0.271	0.318	0.777	0.789	0.177	0.695	0.848	1.001
92.000	1.001	0.589	0.424	0.459	1.001	0.648	0.000	0.412	0.577	0.000	0.942	0.848	0.636	0.742	0.919	1.001
93.000	1.001	0.907	0.153	0.177	0.659	0.483	0.000	0.777	0.271	0.436	0.789	0.930	0.377	0.683	0.848	1.001
