Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.445s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
61	111	110.2	109.6	110.2
62	96	96	96	96
63	104	104	104	104
64	96	96	96	96
65	104	104	104	104
66	96	96	96	96
67	104	104	104	104
68	96	96	96	96
69	104	104	104	104
70	96	96	96	96
71	104	104	104	104
72	96	96	96	96
73	104	104	104	104
74	96	96	96	96
75	104	104	104	104
76	96	96	96	96
77	104	104	104	104
78	96	96	96	96
79	104	104	104	104
80	96	96	96	96
81	104	104	104	104
82	96	96	96	96
83	104	104	104	104
84	96	96	96	96
85	104	104	104	104
86	96	96	96	96
87	104	104	104	104
88	96	96	96	96
89	104	104	104	104
90	96	96	96	96
91	104	104	104	104
92	96	96	96	96
93	104	104	104	104
94	96	96	96	96
95	104	104	104	104
96	96	96	96	96
97	104	104	104	104
98	96	96	96	96
99	104	104	104	104
100	96	96	96	96
101	104	104	104	104
102	96	96	96	96
103	104	104	104	104
104	96	96	96	96
105	104	104	104	104
106	96	96	96	96
107	104	104	104	104
108	96	96	96	96
109	104	104	104	104
110	96	96	96	96
111	104	104	104	104
112	96	96	96	96
113	104	104	104	104
114	96	96	96	96
115	104	104	104	104
116	96	96	96	96
117	104	104	104	104
118	96	96	96	96
119	104	104	104	104
120	96	96	96	96
121	104	104	104	104
122	96	96	96	96
123	104	104	104	104
124	96	96	96	96
125	104	104	104	104
126	96	96	96	96
127	104	104	104	104
128	96	96	96	96
129	104	104	104	104
130	96	96	96	96
131	104	104	104	104
132	96	96	96	96
133	104	104	104	104
134	96	96	96	96
135	104	104	104	104
136	96	96	96	96
137	104	104	104	104
138	96	96	96	96
139	104	104	104	104
140	96	96	96	96
141	104	104	104	104
142	96	96	96	96
143	104	104	104	104
144	96	96	96	96
145	104	104	104	104
146	96	96	96	96
147	104	104	104	104
148	96	96	96	96
149	104	104	104	104
150	96	96	96	96
151	104	104	104	104
152	96	96	96	96
153	104	104	104	104
154	96	96	96	96
155	104	104	104	104
156	96	96	96	96
157	104	104	104	104
158	96	96	96	96
159	104	104	104	104
160	96	96	96	96
161	104	104	104	104
162	96	96	96	96
163	104	104	104	104
164	96	96	96	96
165	104	104	104	104
166	96	96	96	96
167	104	104	104	104
168	96	96	96	96
169	104	104	104	104
170	96	96	96	96
171	104	104	104	104
172	96	96	96	96
173	104	104	104	104
174	96	96	96	96
175	104	104	104	104
176	96	96	96	96
177	104	104	104	104
178	96	96	96	96
179	104	104	104	104
180	96	96	96	96
181	104	104	104	104
182	96	96	96	96
183	104	104	104	104
184	96	96	96	96
185	104	104	104	104
186	96	96	96	96
187	104	104	104	104
188	96	96	96	96
189	104	104	104	104
190	96	96	96	96
191	104	104	104	104
192	96	96	96	96
193	104	104	104	104
194	96	96	96	96
195	104	104	104	104
196	96	96	96	96
197	104	104	104	104
198	96	96	96	96
199	104	104	104	104
200	96	96	96	96
201	104	104	104	104
202	96	96	96	96
203	104	104	104	104
204	96	96	96	96
205	104	104	104	104
206	96	96	96	96
207	104	104	104	104
208	96	96	96	96
209	104	104	104	104
210	96	96	96	96
211	104	104	104	104
212	96	96	96	96
213	104	104	104	104
214	96	96	96	96
215	104	104	104	104
216	96	96	96	96
217	104	104	104	104
218	96	96	96	96
219	104	104	104	104
220	96	96	96	96
221	104	104	104	104
222	96	96	96	96
223	104	104	104	104
224	96	96	96	96
225	104	104	104	104
226	96	96	96	96
227	104	104	104	104
228	96	96	96	96
229	104	104	104	104
230	96	96	96	96
231	104	104	104	104
232	96	96	96	96
233	104	104	104	104
234	96	96	96	96
235	104	104	104	104
236	96	96	96	96
237	104	104	104	104
238	96	96	96	96
239	104	104	104	104
240	96	96	96	96
Command ['/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--datarate=1e5', '-totalTime=240'] exited with code 1
