Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.718s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0
61	8
62	8
63	8
64	8
65	16
66	8
67	8
68	8
69	16
70	8
71	8
72	8
73	16
74	8
75	8
76	8
77	16
78	8
79	8
80	8
81	16
82	8
83	8
84	8
85	16
86	8
87	8
88	8
89	16
90	8
91	8
92	8
93	16
94	8
95	8
96	8
97	16
98	8
99	8
100	8
101	16
102	8
103	8
104	8
105	16
106	8
107	8
108	8
109	16
110	8
111	8
112	8
113	16
114	8
115	8
116	8
117	16
118	8
119	8
120	8
Command ['/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--datarate=1e4'] exited with code 1
