Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.330s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	0.00	-1.00	-1.00	2.61	-1.00	-1.00	3.94
12.00	-1.00	-1.00	4.43	-1.00	-1.00	4.23	-1.00	-1.00	2.51
13.00	-1.00	-1.00	1.85	-1.00	-1.00	1.80	-1.00	-1.00	5.02
14.00	-1.00	-1.00	2.35	-1.00	-1.00	4.00	-1.00	-1.00	3.94
15.00	-1.00	-1.00	0.58	-1.00	-1.00	3.82	-1.00	-1.00	0.17
16.00	-1.00	-1.00	2.90	-1.00	-1.00	4.58	-1.00	-1.00	3.59
17.00	-1.00	-1.00	3.59	-1.00	-1.00	0.06	-1.00	-1.00	3.53
18.00	-1.00	-1.00	1.64	-1.00	-1.00	2.90	-1.00	-1.00	1.33
19.00	-1.00	-1.00	1.66	-1.00	-1.00	3.36	-1.00	-1.00	2.78
20.00	-1.00	-1.00	4.12	-1.00	-1.00	2.61	-1.00	-1.00	4.71
21.00	-1.00	-1.00	4.61	-1.00	-1.00	3.01	-1.00	-1.00	0.91
22.00	-1.00	-1.00	1.28	-1.00	-1.00	5.33	-1.00	-1.00	3.36
23.00	-1.00	-1.00	0.78	-1.00	-1.00	2.09	-1.00	-1.00	5.12
24.00	-1.00	-1.00	0.90	-1.00	-1.00	4.87	-1.00	-1.00	5.66
25.00	-1.00	-1.00	1.10	-1.00	-1.00	2.03	-1.00	-1.00	4.34
26.00	-1.00	-1.00	3.82	-1.00	-1.00	3.07	-1.00	-1.00	4.29
27.00	-1.00	-1.00	4.23	-1.00	-1.00	2.03	-1.00	-1.00	3.76
28.00	-1.00	-1.00	3.80	-1.00	-1.00	1.33	-1.00	-1.00	5.04
29.00	-1.00	-1.00	4.57	-1.00	-1.00	1.04	-1.00	-1.00	4.26
30.00	-1.00	-1.00	4.20	-1.00	-1.00	2.14	-1.00	-1.00	5.18
31.00	-1.00	-1.00	1.39	-1.00	-1.00	3.36	-1.00	-1.00	2.55
32.00	-1.00	-1.00	4.05	-1.00	-1.00	2.14	-1.00	-1.00	3.07
33.00	-1.00	-1.00	1.80	-1.00	-1.00	1.10	-1.00	-1.00	2.72
34.00	-1.00	-1.00	2.04	-1.00	-1.00	3.01	-1.00	-1.00	4.07
35.00	-1.00	-1.00	1.79	-1.00	-1.00	1.68	-1.00	-1.00	4.15
36.00	-1.00	-1.00	4.22	-1.00	-1.00	0.64	-1.00	-1.00	2.46
37.00	-1.00	-1.00	2.75	-1.00	-1.00	2.48	-1.00	-1.00	4.58
38.00	-1.00	-1.00	2.99	-1.00	-1.00	2.03	-1.00	-1.00	2.17
39.00	-1.00	-1.00	3.94	-1.00	-1.00	4.52	-1.00	-1.00	3.76
10.1.1.3	2.88	15330.44
10.1.1.9	3.90	16356.49
10.1.1.6	2.97	17575.99
