Dst	Src	HeMcs	Txlevel	Num	isObss
12 	  11	  4	  10	  1098	  0
16 	  15	  4	  10	  850	  0
15 	  16	  4	  10	  1570	  0
11 	  12	  4	  10	  1752	  0
4 	  3	  4	  10	  1170	  0
3 	  4	  4	  10	  1947	  0
8 	  7	  4	  10	  1263	  0
7 	  8	  4	  10	  2303	  0
15 	  14	  4	  10	  993	  0
14 	  15	  4	  10	  1262	  0
3 	  2	  4	  10	  1181	  0
2 	  3	  4	  10	  1512	  0
11 	  10	  4	  10	  1185	  0
10 	  11	  4	  10	  1397	  0
14 	  13	  4	  10	  1371	  0
13 	  14	  4	  10	  1283	  0
10 	  9	  4	  10	  1524	  0
9 	  10	  4	  10	  1433	  0
2 	  1	  4	  10	  1511	  0
1 	  2	  4	  10	  1402	  0
7 	  6	  4	  10	  1334	  0
6 	  7	  4	  10	  1649	  0
6 	  5	  4	  10	  1807	  0
5 	  6	  4	  10	  1521	  0
9 	  10	  0	  2	  90	  1
3 	  4	  2	  10	  34	  1
1 	  2	  3	  6	  9	  1
1 	  2	  0	  2	  81	  1
9 	  10	  3	  6	  6	  1
2 	  3	  2	  10	  9	  1
1 	  2	  0	  7	  1	  1
11 	  10	  4	  6	  4	  1
11 	  10	  4	  7	  5	  1
12 	  11	  4	  10	  4	  1
5 	  6	  0	  2	  127	  1
11 	  12	  1	  10	  36	  1
5 	  6	  1	  4	  4	  1
13 	  14	  0	  2	  144	  1
15 	  16	  0	  7	  12	  1
7 	  8	  0	  7	  14	  1
6 	  7	  3	  6	  1	  1
7 	  8	  2	  10	  10	  1
15 	  14	  4	  7	  1	  1
15 	  16	  2	  10	  1	  1
5 	  6	  3	  6	  9	  1
1 	  2	  1	  4	  32	  1
7 	  8	  1	  10	  32	  1
3 	  2	  4	  4	  6	  1
13 	  14	  1	  4	  4	  1
15 	  16	  1	  10	  5	  1

 TotalReset Number= 14222
