Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.444s)
CreateVariables () DONE !!!
Creating 9 APs 24.00 and 24.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	1.85	-1.00	-1.00	1.34	-1.00	-1.00	1.39
12.00	-1.00	-1.00	1.91	-1.00	-1.00	1.85	-1.00	-1.00	1.91
13.00	-1.00	-1.00	1.97	-1.00	-1.00	0.76	-1.00	-1.00	2.03
14.00	-1.00	-1.00	2.26	-1.00	-1.00	1.96	-1.00	-1.00	1.56
15.00	-1.00	-1.00	2.26	-1.00	-1.00	0.46	-1.00	-1.00	2.14
16.00	-1.00	-1.00	1.85	-1.00	-1.00	1.33	-1.00	-1.00	0.41
17.00	-1.00	-1.00	1.27	-1.00	-1.00	0.81	-1.00	-1.00	1.51
18.00	-1.00	-1.00	0.41	-1.00	-1.00	0.06	-1.00	-1.00	0.29
19.00	-1.00	-1.00	1.27	-1.00	-1.00	1.51	-1.00	-1.00	1.91
20.00	-1.00	-1.00	0.46	-1.00	-1.00	0.82	-1.00	-1.00	1.27
21.00	-1.00	-1.00	1.16	-1.00	-1.00	1.68	-1.00	-1.00	1.04
22.00	-1.00	-1.00	0.75	-1.00	-1.00	2.09	-1.00	-1.00	2.32
23.00	-1.00	-1.00	0.87	-1.00	-1.00	1.97	-1.00	-1.00	1.68
24.00	-1.00	-1.00	1.74	-1.00	-1.00	1.62	-1.00	-1.00	1.27
25.00	-1.00	-1.00	1.85	-1.00	-1.00	1.22	-1.00	-1.00	1.62
26.00	-1.00	-1.00	1.80	-1.00	-1.00	1.51	-1.00	-1.00	0.46
27.00	-1.00	-1.00	0.29	-1.00	-1.00	1.68	-1.00	-1.00	2.32
28.00	-1.00	-1.00	2.14	-1.00	-1.00	1.68	-1.00	-1.00	1.10
29.00	-1.00	-1.00	1.33	-1.00	-1.00	0.24	-1.00	-1.00	2.72
30.00	-1.00	-1.00	2.32	-1.00	-1.00	2.54	-1.00	-1.00	1.68
31.00	-1.00	-1.00	0.46	-1.00	-1.00	2.14	-1.00	-1.00	1.62
32.00	-1.00	-1.00	2.72	-1.00	-1.00	0.93	-1.00	-1.00	2.03
33.00	-1.00	-1.00	0.35	-1.00	-1.00	1.04	-1.00	-1.00	0.64
34.00	-1.00	-1.00	1.39	-1.00	-1.00	1.80	-1.00	-1.00	1.39
35.00	-1.00	-1.00	1.62	-1.00	-1.00	0.64	-1.00	-1.00	0.81
36.00	-1.00	-1.00	0.64	-1.00	-1.00	0.64	-1.00	-1.00	1.16
37.00	-1.00	-1.00	1.62	-1.00	-1.00	1.91	-1.00	-1.00	1.45
38.00	-1.00	-1.00	1.51	-1.00	-1.00	0.23	-1.00	-1.00	1.96
39.00	-1.00	-1.00	1.10	-1.00	-1.00	1.80	-1.00	-1.00	1.51
10.1.1.6	1.47	2442.39
10.1.1.3	1.57	2452.15
10.1.1.9	1.63	2368.23
