Dst	Src	HeMcs	Txlevel	Num	isObss
9 	  8	  4	  10	  6065	  0
8 	  9	  4	  10	  9348	  0
8 	  7	  4	  10	  8086	  0
7 	  8	  4	  10	  7691	  0
6 	  5	  4	  10	  5804	  0
5 	  6	  4	  10	  7877	  0
3 	  2	  4	  10	  5191	  0
2 	  3	  4	  10	  7906	  0
5 	  4	  4	  10	  6909	  0
4 	  5	  4	  10	  6249	  0
2 	  1	  4	  10	  7202	  0
1 	  2	  4	  10	  6525	  0
2 	  3	  2	  10	  192	  1
7 	  8	  2	  6	  64	  1
1 	  2	  0	  7	  39	  1
8 	  9	  0	  7	  178	  1
9 	  8	  4	  6	  43	  1
1 	  2	  2	  6	  102	  1
8 	  9	  2	  10	  217	  1
2 	  3	  0	  7	  193	  1
3 	  2	  4	  6	  38	  1
7 	  8	  0	  7	  43	  1
3 	  2	  4	  7	  19	  1
9 	  8	  4	  7	  18	  1

 TotalReset Number= 12320
