Dst	Src	HeMcs	Txlevel	Num	isObss
16 	  15	  4	  10	  710	  0
15 	  16	  4	  10	  1173	  0
8 	  7	  4	  10	  666	  0
7 	  8	  4	  10	  1181	  0
7 	  6	  4	  10	  674	  0
6 	  7	  4	  10	  859	  0
12 	  11	  4	  10	  845	  0
4 	  3	  4	  10	  699	  0
11 	  12	  4	  10	  1373	  0
3 	  4	  4	  10	  1013	  0
15 	  14	  4	  10	  785	  0
14 	  15	  4	  10	  947	  0
14 	  13	  4	  10	  954	  0
3 	  2	  4	  10	  752	  0
2 	  3	  4	  10	  852	  0
13 	  14	  4	  10	  917	  0
11 	  10	  4	  10	  922	  0
10 	  11	  4	  10	  984	  0
2 	  1	  4	  10	  754	  0
1 	  2	  4	  10	  800	  0
10 	  9	  4	  10	  1132	  0
9 	  10	  4	  10	  981	  0
6 	  5	  4	  10	  909	  0
5 	  6	  4	  10	  987	  0
7 	  8	  0	  10	  10	  1
11 	  12	  0	  10	  34	  1
8 	  7	  4	  10	  4	  1
8 	  7	  4	  4	  4	  1
15 	  16	  0	  10	  18	  1
11 	  12	  1	  10	  11	  1
1 	  2	  1	  4	  9	  1
7 	  8	  1	  10	  22	  1
14 	  15	  1	  4	  1	  1
14 	  15	  1	  10	  1	  1
15 	  14	  4	  4	  5	  1
7 	  6	  4	  4	  5	  1
13 	  14	  1	  4	  1	  1
3 	  2	  4	  4	  5	  1

 TotalTx Number= 22000

 TotalReset Number= 3944
