Dst	Src	HeMcs	Txlevel	Num	isObss
16 	  15	  4	  10	  10	  0
15 	  16	  4	  10	  3325	  0
15 	  14	  4	  10	  9	  0
14 	  15	  4	  10	  1849	  0
14 	  13	  4	  10	  10	  0
13 	  14	  4	  10	  1699	  0
12 	  11	  4	  10	  10	  0
11 	  12	  4	  10	  2352	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  1542	  0
10 	  9	  4	  10	  9	  0
9 	  10	  4	  10	  1502	  0
4 	  3	  4	  10	  9	  0
3 	  4	  4	  10	  3077	  0
3 	  2	  4	  10	  10	  0
2 	  3	  4	  10	  1856	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  1569	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  2214	  0
15 	  16	  4	  7	  1	  1
7 	  6	  4	  10	  10	  0
6 	  7	  4	  10	  1634	  0
6 	  5	  4	  10	  9	  0
5 	  6	  4	  10	  1599	  0
11 	  12	  2	  10	  4	  1
11 	  12	  1	  10	  33	  1
7 	  8	  2	  10	  18	  1
13 	  14	  0	  2	  105	  1
9 	  10	  0	  2	  184	  1
1 	  2	  0	  2	  120	  1
13 	  14	  3	  6	  24	  1
6 	  7	  2	  10	  13	  1
13 	  14	  0	  7	  8	  1
13 	  14	  1	  4	  9	  1
15 	  16	  1	  10	  1	  1
5 	  6	  0	  2	  72	  1
15 	  16	  0	  7	  8	  1
14 	  15	  3	  6	  13	  1
5 	  6	  0	  7	  7	  1
7 	  8	  1	  10	  7	  1
15 	  16	  2	  10	  16	  1
6 	  7	  3	  6	  5	  1
9 	  10	  1	  4	  18	  1

 TotalReset Number= 14451
