Dst	Src	HeMcs	Txlevel	Num	isObss
8 	  7	  4	  9	  10	  0
7 	  8	  4	  9	  7185	  0
7 	  6	  4	  9	  10	  0
6 	  7	  4	  9	  4395	  0
6 	  5	  4	  9	  10	  0
5 	  6	  4	  9	  6759	  0
4 	  3	  4	  9	  9	  0
3 	  4	  4	  9	  13120	  0
3 	  2	  4	  9	  10	  0
2 	  3	  4	  9	  10316	  0
2 	  1	  4	  9	  9	  0
1 	  2	  4	  9	  7909	  0
16 	  15	  4	  9	  19	  0
15 	  16	  4	  9	  11241	  0
15 	  14	  4	  9	  9	  0
14 	  15	  4	  9	  10985	  0
14 	  13	  4	  9	  9	  0
13 	  14	  4	  9	  8837	  0
12 	  11	  4	  9	  10	  0
11 	  12	  4	  9	  7285	  0
11 	  10	  4	  9	  18	  0
10 	  11	  4	  9	  4458	  0
10 	  11	  4	  10	  34	  1
11 	  10	  4	  10	  2	  1
10 	  9	  4	  9	  10	  0
9 	  10	  4	  9	  6496	  0
7 	  8	  4	  10	  34	  1
15 	  16	  4	  10	  54	  1
2 	  3	  4	  10	  57	  1
11 	  12	  4	  10	  159	  1
3 	  4	  4	  10	  226	  1
14 	  15	  4	  10	  36	  1
6 	  7	  4	  10	  27	  1
1 	  2	  4	  10	  45	  1
9 	  10	  4	  10	  1	  1
15 	  16	  2	  10	  86	  1
5 	  6	  4	  10	  43	  1
13 	  14	  4	  10	  59	  1
3 	  4	  2	  10	  11	  1
9 	  10	  2	  10	  4	  1
1 	  2	  2	  10	  1	  1
2 	  3	  1	  10	  1	  1

 TotalTx Number= 100000

 TotalReset Number= 3784
