Dst	Src	HeMcs	Txlevel	Num	isObss
1 	  2	  4	  10	  40386	  0
2 	  1	  4	  10	  70542	  0
4 	  5	  4	  10	  31474	  0
5 	  4	  4	  10	  61464	  0
7 	  8	  4	  10	  40832	  0
8 	  7	  4	  10	  71694	  0
2 	  3	  4	  10	  43131	  0
3 	  2	  4	  10	  52180	  0
5 	  6	  4	  10	  36636	  0
6 	  5	  4	  10	  44425	  0
8 	  9	  4	  10	  43725	  0
9 	  8	  4	  10	  51851	  0
6 	  5	  4	  7	  504	  1
2 	  3	  1	  7	  17	  1
9 	  8	  4	  7	  719	  1
3 	  2	  4	  7	  766	  1
1 	  2	  1	  7	  500	  1
7 	  8	  1	  7	  594	  1
4 	  5	  1	  7	  541	  1
5 	  6	  1	  7	  4	  1
8 	  9	  1	  7	  14	  1

 TotalTx Number= 592000

 TotalReset Number= 50978
