Dst	Src	HeMcs	Txlevel	Num	isObss
4 	  3	  4	  10	  10	  0
3 	  4	  4	  10	  18861	  0
12 	  11	  4	  10	  10	  0
11 	  12	  4	  10	  23869	  0
11 	  10	  4	  10	  9	  0
10 	  11	  4	  10	  19864	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  15280	  0
10 	  9	  4	  10	  10	  0
9 	  10	  4	  10	  17669	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  13603	  0
16 	  15	  4	  10	  9	  0
15 	  16	  4	  10	  20296	  0
15 	  14	  4	  10	  9	  0
14 	  15	  4	  10	  16748	  0
14 	  13	  4	  10	  9	  0
13 	  14	  4	  10	  14699	  0
11 	  12	  1	  7	  658	  1
14 	  15	  1	  7	  192	  1
15 	  16	  1	  7	  980	  1
8 	  7	  4	  10	  10	  0
7 	  8	  4	  10	  21573	  0
7 	  6	  4	  10	  9	  0
6 	  7	  4	  10	  17987	  0
10 	  11	  1	  7	  174	  1
6 	  5	  4	  10	  53	  0
5 	  6	  4	  10	  15959	  0
13 	  14	  1	  7	  57	  1
3 	  4	  1	  7	  433	  1
6 	  7	  1	  7	  196	  1
7 	  8	  1	  7	  1463	  1
9 	  10	  1	  7	  66	  1
5 	  6	  1	  7	  83	  1
2 	  3	  1	  7	  91	  1
1 	  2	  1	  7	  41	  1

 TotalTx Number= 221000

 TotalReset Number= 40934
