Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.627s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	14.6	17.4	15.8	13.4
61	1280	1280	1272	1272
62	1720	1680	1104	624
63	2000	1904	760	472
64	2000	1784	792	552
65	2000	1504	840	800
66	1952	1272	920	976
67	1976	1208	1016	928
68	1976	1216	944	992
69	1976	1272	904	984
70	1896	1384	1000	856
71	1960	1392	872	904
72	1888	1296	1032	912
73	1968	1384	800	976
74	2000	1576	728	832
75	1992	1536	872	728
76	1976	1280	904	968
77	1896	1352	1024	856
78	1896	1112	1048	1072
79	1960	1472	784	920
80	2000	1424	840	864
81	1968	1384	960	816
82	1928	1416	904	888
83	1920	1488	840	872
84	1960	1304	952	912
85	1992	1392	944	800
86	1976	1424	888	848
87	1968	1280	944	944
88	1984	1376	824	936
89	2000	1352	960	816
90	1944	1288	936	952
91	1880	1328	928	992
92	1912	1384	920	920
93	1848	1232	1016	1032
94	1840	1368	960	968
95	1904	1328	960	944
96	1848	1416	984	880
97	1864	1232	992	1040
98	1880	1280	1000	968
99	1960	1416	872	888
100	1968	1376	808	976
101	1976	1296	944	912
102	2000	1536	848	744
103	2000	1448	824	856
104	2000	1312	1024	792
105	2000	1264	904	968
106	1960	1376	856	944
107	1952	1264	1016	888
108	1968	1408	816	936
109	1888	1104	1128	1008
110	1856	1304	912	1064
111	1864	1168	1056	1048
112	1904	1328	952	944
113	1928	1112	992	1088
114	1816	1368	1000	944
115	1920	1432	848	936
116	1952	1120	1080	968
117	1960	1232	984	952
118	1928	1128	992	1080
119	1904	1160	1080	984
120	1816	1160	1008	1136
avg	1924.13	1348.53	938.533	917.867
delay	495.878	495.452	494.164	494.774
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs0', '--datarate=2e6', '--RngRun=115'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
