Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.613s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	13.2	12.2	14.4	16.4
61	4872	4864	4864	4864
62	4872	4872	4872	4872
63	4888	4880	4872	4880
64	4856	4872	4880	4880
65	4896	4896	4880	4880
66	4880	4880	4888	4872
67	4880	4880	4880	4880
68	4872	4872	4880	4896
69	4896	4896	4880	4880
70	4864	4864	4872	4856
71	4856	4856	4864	4880
72	4896	4896	4880	4880
73	4880	4880	4888	4872
74	4872	4864	4872	4880
75	4880	4888	4872	4880
76	4880	4880	4880	4880
77	4880	4880	4896	4896
78	4888	4880	4880	4872
79	4888	4880	4872	4880
80	4856	4872	4880	4880
81	4896	4896	4880	4880
82	4880	4880	4888	4872
83	4880	4864	4864	4880
84	4856	4872	4880	4880
85	4880	4880	4880	4880
86	4880	4880	4872	4856
87	4872	4872	4880	4896
88	4880	4880	4880	4880
89	4888	4880	4880	4872
90	4872	4880	4872	4864
91	4872	4872	4880	4896
92	4880	4880	4872	4856
93	4880	4864	4864	4880
94	4872	4888	4896	4896
95	4880	4880	4880	4880
96	4880	4880	4880	4880
97	4888	4880	4880	4872
98	4864	4872	4872	4880
99	4880	4880	4864	4864
100	4880	4880	4888	4872
101	4880	4880	4880	4880
102	4872	4872	4880	4896
103	4880	4880	4864	4864
104	4880	4880	4896	4896
105	4888	4880	4880	4872
106	4888	4880	4872	4880
107	4872	4888	4896	4896
108	4880	4880	4880	4880
109	4880	4880	4872	4856
110	4896	4880	4880	4896
111	4872	4888	4880	4880
112	4880	4880	4880	4880
113	4872	4864	4880	4872
114	4888	4880	4872	4880
115	4856	4872	4880	4880
116	4880	4880	4880	4880
117	4888	4880	4880	4872
118	4864	4872	4872	4880
119	4880	4880	4864	4864
120	4880	4880	4888	4872
avg	4878.13	4878.13	4878	4877.87
delay	281.328	280.776	280.705	280.935
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs4', '--datarate=6e6', '--RngRun=98'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
