Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (10.504s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	11.4	15.6	15.6	14.2	14.8	12.8	0	0	14.4	0	16.4	0	14.8	0	14.8	15.2	16.8	0	14.2	0
61	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	88	88	0	88	0
62	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
63	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
64	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
65	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
66	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
67	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
68	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
69	104	104	104	104	104	104	0	0	104	0	104	0	96	0	96	96	104	0	96	0
70	96	96	96	96	96	96	0	0	96	0	96	0	104	0	104	104	96	0	104	0
71	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
72	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
73	104	104	104	104	104	104	0	0	104	0	104	0	96	0	96	96	96	0	96	0
74	96	96	96	96	96	96	0	0	96	0	96	0	104	0	104	104	104	0	104	0
75	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
76	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
77	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
78	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
79	104	104	104	104	104	104	0	0	104	0	104	0	104	0	96	96	96	0	96	0
80	96	96	96	96	96	96	0	0	96	0	96	0	96	0	104	104	104	0	104	0
81	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
82	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
83	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
84	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
85	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
86	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
87	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
88	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
89	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
90	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
91	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
92	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
93	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
94	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
95	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
96	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
97	104	104	104	104	104	104	0	0	104	0	104	0	104	0	96	96	96	0	96	0
98	96	96	96	96	96	96	0	0	96	0	96	0	96	0	104	104	104	0	104	0
99	104	104	104	104	104	104	0	0	104	0	104	0	104	0	104	96	96	0	96	0
100	96	96	96	96	96	96	0	0	96	0	96	0	96	0	96	104	104	0	104	0
101	104	104	104	104	104	104	0	0	104	0	104	0	96	0	96	96	96	0	96	0
