Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (9.168s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	12.2	17	14.6	11.8	15.6	13.4	0	0	14	0	13	0	16	0	13.4	13.2	14.8	0	15.6	0
61	192	192	192	192	128	72	0	0	0	0	64	0	16	0	96	48	8	0	112	0
62	200	200	200	200	176	88	0	0	0	0	96	0	16	0	88	40	0	0	136	0
63	200	200	200	200	120	96	0	0	0	0	120	0	0	0	72	24	8	0	152	0
64	200	200	200	200	168	128	0	0	0	0	104	0	0	0	88	96	16	0	128	0
65	200	200	200	200	160	104	0	0	0	0	96	0	8	0	96	32	0	0	144	0
66	192	200	200	200	176	120	0	0	0	0	80	0	16	0	144	104	0	0	120	0
67	200	200	192	200	160	112	0	0	0	0	120	0	16	0	96	56	8	0	152	0
68	184	200	200	200	168	128	0	0	0	0	128	0	16	0	64	40	0	0	120	0
69	200	200	200	200	160	96	0	0	0	0	112	0	8	0	72	40	16	0	152	0
70	200	200	200	200	184	152	0	0	0	0	104	0	8	0	88	64	16	0	128	0
71	200	200	200	200	184	112	0	0	0	0	112	0	8	0	96	40	0	0	128	0
72	200	200	200	200	192	136	0	0	0	0	112	0	16	0	104	56	16	0	136	0
73	200	200	200	200	160	104	0	0	0	0	112	0	24	0	104	72	8	0	128	0
74	200	200	200	200	168	112	0	0	0	0	112	0	0	0	112	64	8	0	144	0
75	200	192	200	200	144	96	0	0	0	0	96	0	8	0	104	72	0	0	136	0
76	200	200	200	200	176	120	0	0	0	0	88	0	0	0	128	72	8	0	152	0
77	200	200	200	200	176	112	0	0	0	0	112	0	0	0	88	64	8	0	160	0
78	192	200	200	200	192	136	0	0	0	0	72	0	0	0	96	56	0	0	128	0
79	192	200	200	200	184	96	0	0	0	0	64	0	24	0	88	48	0	0	128	0
80	200	200	192	200	168	128	0	0	8	0	128	0	24	0	96	56	8	0	160	0
81	200	200	200	200	184	120	0	0	0	0	64	0	24	0	112	64	8	0	136	0
82	200	200	192	200	152	120	0	0	0	0	128	0	16	0	80	32	8	0	144	0
83	200	200	200	200	168	120	0	0	8	0	104	0	24	0	72	40	24	0	136	0
84	200	200	200	200	152	112	0	0	8	0	136	0	8	0	104	56	8	0	168	0
85	200	200	200	200	176	120	0	0	0	0	88	0	24	0	48	24	0	0	144	0
86	200	200	200	200	192	136	0	0	0	0	152	0	16	0	72	64	16	0	144	0
87	200	200	200	200	168	112	0	0	0	0	96	0	0	0	112	80	8	0	128	0
88	200	200	200	200	192	152	0	0	0	0	96	0	8	0	72	64	8	0	136	0
89	192	200	200	200	136	88	0	0	0	0	96	0	0	0	72	48	0	0	96	0
