Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.840s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15.2	17.4	13.8	14.2
61	1280	1280	1280	1280
62	1720	1704	1152	576
63	2000	1888	720	528
64	2000	1424	864	856
65	2000	1608	776	768
66	1984	1176	1048	936
67	1984	1376	880	904
68	1968	1464	848	864
69	1864	1448	912	920
70	1856	1344	976	984
71	1768	1456	952	968
72	1784	1216	1088	1056
73	1792	1224	1152	976
74	1936	1264	888	1064
75	1912	1400	976	856
76	1936	1360	888	960
77	1928	1472	896	848
78	1920	1328	920	984
79	1928	1384	1000	824
80	1832	1280	944	1096
81	1784	1272	1096	1000
82	1888	1336	920	1000
83	1888	1232	1056	984
84	1880	1176	1008	1088
85	1792	1280	1072	992
86	1848	1104	1072	1112
87	1872	1200	1080	1000
88	1984	1104	1000	1048
89	1880	1320	1032	912
90	1928	1200	816	1192
91	1944	1376	1016	800
92	1968	1240	992	944
93	1920	1224	1000	1000
94	2000	1064	968	1112
95	1904	1224	1032	984
96	1928	1216	1048	952
97	1968	1368	824	984
98	1984	1344	912	896
99	1984	1496	840	832
100	1992	1384	864	920
101	1960	1400	856	928
102	1960	1472	960	760
103	1984	1424	800	936
104	1992	1384	944	832
105	1968	1320	912	944
106	2008	1448	856	840
107	1992	1536	888	720
108	2000	1320	864	960
109	1984	1472	816	872
110	1992	1520	824	800
111	1976	1432	912	816
112	1976	1296	912	960
113	1992	1248	960	944
114	2008	1304	920	920
115	1984	1608	768	792
116	1984	1456	880	832
117	2000	1464	936	744
118	1976	1176	952	1032
119	1984	1264	1000	904
120	1984	1296	920	944
avg	1923.87	1351.6	944.8	924.667
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs0', '--datarate=2e6', '--RngRun=20'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
