Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (7.800s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15	14.2	13.6	14.2
61	4864	4856	4856	4856
62	4880	4888	4872	4880
63	4864	4864	4880	4880
64	4880	4880	4880	4880
65	4888	4888	4872	4872
66	4880	4880	4880	4880
67	4880	4880	4880	4880
68	4880	4880	4880	4880
69	4872	4880	4896	4872
70	4880	4872	4872	4896
71	4880	4880	4880	4880
72	4880	4880	4880	4880
73	4880	4880	4880	4880
74	4888	4896	4896	4872
75	4880	4872	4872	4896
76	4880	4880	4864	4864
77	4880	4880	4888	4872
78	4872	4880	4888	4880
79	4880	4872	4856	4880
80	4880	4880	4896	4896
81	4880	4880	4880	4880
82	4872	4872	4872	4872
83	4880	4880	4880	4880
84	4880	4880	4880	4880
85	4880	4880	4880	4880
86	4888	4888	4872	4872
87	4864	4864	4880	4880
88	4880	4880	4880	4880
89	4880	4880	4880	4880
90	4888	4888	4872	4872
91	4880	4880	4880	4880
92	4880	4880	4880	4880
93	4880	4880	4888	4872
94	4888	4880	4888	4896
95	4880	4888	4872	4880
96	4880	4880	4880	4880
97	4880	4880	4880	4880
98	4872	4872	4872	4872
99	4880	4880	4896	4896
100	4880	4880	4864	4864
101	4864	4864	4880	4880
102	4888	4888	4872	4872
103	4880	4880	4880	4880
104	4880	4880	4880	4880
105	4880	4880	4896	4896
106	4880	4880	4880	4880
107	4872	4872	4872	4872
108	4880	4880	4864	4864
109	4880	4880	4896	4896
110	4872	4880	4880	4856
111	4896	4888	4872	4896
112	4880	4880	4880	4880
113	4880	4880	4880	4880
114	4872	4872	4872	4872
115	4880	4880	4880	4880
116	4864	4864	4880	4880
117	4896	4896	4880	4880
118	4880	4880	4896	4896
119	4888	4888	4872	4872
120	4880	4880	4896	4896
avg	4879.2	4879.2	4879.2	4879.33
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs4', '--datarate=10e6', '--RngRun=1'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
