Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.613s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	14	14.4	14.4	15
61	3536	3536	3528	3528
62	3536	3536	3536	3536
63	3544	3528	3536	3544
64	3536	3560	3560	3536
65	3544	3536	3528	3536
66	3520	3520	3528	3536
67	3552	3544	3536	3544
68	3536	3552	3544	3536
69	3544	3536	3552	3552
70	3552	3544	3536	3544
71	3552	3552	3560	3552
72	3544	3552	3536	3536
73	3544	3536	3552	3560
74	3528	3536	3544	3536
75	3560	3560	3536	3536
76	3536	3536	3552	3544
77	3536	3536	3544	3552
78	3560	3552	3536	3536
79	3536	3544	3536	3536
80	3536	3536	3552	3560
81	3536	3536	3544	3528
82	3536	3544	3536	3536
83	3552	3536	3536	3544
84	3544	3544	3536	3544
85	3536	3552	3544	3536
86	3544	3528	3536	3536
87	3536	3544	3552	3536
88	3536	3536	3544	3544
89	3536	3544	3536	3552
90	3560	3536	3536	3536
91	3536	3552	3536	3536
92	3536	3536	3560	3560
93	3560	3552	3536	3536
94	3536	3544	3552	3552
95	3536	3536	3544	3528
96	3536	3544	3528	3536
97	3544	3536	3536	3536
98	3536	3528	3528	3536
99	3536	3528	3536	3536
100	3536	3552	3536	3544
101	3536	3544	3552	3536
102	3544	3536	3528	3536
103	3536	3536	3552	3552
104	3576	3560	3560	3560
105	3520	3536	3536	3528
106	3544	3536	3536	3552
107	3528	3536	3544	3536
108	3560	3552	3536	3536
109	3536	3544	3552	3552
110	3552	3544	3536	3544
111	3536	3552	3560	3536
112	3560	3536	3536	3552
113	3520	3536	3536	3544
114	3552	3536	3544	3536
115	3544	3544	3536	3536
116	3536	3536	3536	3536
117	3536	3552	3544	3536
118	3536	3536	3544	3544
119	3536	3544	3544	3544
120	3560	3544	3536	3544
avg	3541.47	3541.33	3541.2	3541.2
delay	291.226	291.524	291.779	291.795
loss	0.110651	0.110621	0.110651	0.110561
Command ['/home/synrg/Documents/Jiaming/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs4', '--datarate=4e6', '--RngRun=109'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
