Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.640s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	16.4	13.6	14.6	15
61	4000	3992	3992	3992
62	4000	4008	4008	4008
63	4008	4000	4000	4000
64	3992	3992	3984	3984
65	3984	3992	4000	4000
66	4008	4008	4000	3984
67	3992	3984	3992	4008
68	3992	4000	4000	4000
69	4000	4000	4000	3992
70	4008	4008	3984	3992
71	3984	3984	4008	3984
72	4000	4000	3984	4008
73	4000	4000	4008	4000
74	4008	4000	3992	4000
75	4000	4008	4008	4008
76	4000	3992	4000	4000
77	3984	3992	3984	3984
78	4000	3984	4000	4000
79	4008	4024	4024	4008
80	4000	4000	3984	4000
81	3984	3984	4000	3992
82	3992	3984	3984	3992
83	4000	4008	4008	4000
84	4000	4000	4000	3992
85	4000	4000	3984	4000
86	4000	3984	4000	4000
87	3984	4000	4000	4000
88	3992	3992	3992	3968
89	3984	3984	3984	4008
90	4000	4000	3992	3984
91	4000	4000	4000	4000
92	4000	4000	4000	4000
93	4008	4008	4000	4008
94	4000	4000	4016	4008
95	4000	4000	4000	3992
96	4000	3984	3984	4000
97	3992	4000	3984	3984
98	3984	3992	4008	4000
99	4000	3984	3984	3992
100	4000	4016	4016	4008
101	4024	4024	4016	4016
102	3984	3984	3992	4000
103	4000	4000	4000	4000
104	4008	4008	3984	3984
105	3984	3984	4008	4000
106	4000	4000	4000	3992
107	4000	3992	3984	4000
108	4008	4008	4000	4000
109	3984	3968	3984	3984
110	3984	4008	3992	3984
111	3984	3984	4000	3984
112	4000	4000	3984	4008
113	3984	3984	4000	3984
114	4000	4000	4000	4016
115	4008	4008	3992	3984
116	4000	3992	4000	4008
117	3984	3992	4000	3984
118	4000	3992	3984	4000
119	3984	3992	3984	3984
120	3984	3984	3992	3984
avg	3996.53	3996.53	3996.4	3996.27
delay	1482.49	1483.11	1479.67	1480.55
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs6', '--datarate=8e6', '--RngRun=14'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
