Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.520s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	13	13.2	15.6	16.6	15	13.4	15.2	15	11.2	15.2	14.4	12.4	16.8	15.2	12.6	15.8	14.6	14	14.6	15.4
61	192	192	192	192	176	152	144	144	176	168	152	152	160	152	120	136	152	176	144	144
62	200	200	192	200	192	160	120	128	176	152	144	160	160	128	112	128	152	144	112	136
63	200	200	200	200	192	120	104	96	160	136	112	120	168	128	88	96	176	152	96	104
64	200	200	192	200	192	128	112	104	160	168	144	152	176	168	152	168	184	160	128	152
65	200	200	192	200	184	120	72	96	136	152	144	144	136	144	112	120	160	120	48	64
66	200	200	200	200	184	128	152	152	160	144	128	136	200	160	144	152	168	168	144	152
67	200	200	192	200	184	168	136	136	176	160	160	168	168	152	120	136	144	152	136	144
68	200	200	200	200	168	104	88	96	136	152	120	128	168	128	96	96	152	152	96	120
69	200	200	184	200	192	120	128	128	160	136	128	144	192	152	112	128	128	120	96	120
70	200	200	200	200	176	64	136	144	168	144	152	152	176	168	152	160	176	160	136	144
71	200	200	200	200	176	200	112	128	168	168	160	160	184	120	96	112	176	136	104	128
72	200	200	200	200	184	120	120	112	176	136	112	144	176	152	120	136	104	96	72	120
73	200	200	200	200	200	184	160	160	176	144	128	144	176	192	160	160	216	176	152	160
74	200	200	200	200	192	136	120	120	160	136	104	120	176	120	88	120	168	160	112	128
75	200	200	200	200	200	144	144	152	168	176	160	176	160	176	152	160	184	200	168	168
76	200	200	200	200	184	128	136	144	176	184	176	160	184	144	136	160	168	144	112	128
77	200	200	192	192	192	64	120	144	160	192	184	184	192	176	152	160	160	168	144	152
78	200	200	192	200	192	200	120	112	152	160	128	136	168	136	88	104	176	152	112	136
79	200	200	200	200	184	152	120	136	176	160	136	152	184	184	152	152	168	192	144	144
80	200	200	200	200	192	120	88	104	144	136	120	144	176	112	80	96	56	152	128	144
81	200	200	184	200	192	104	112	112	136	144	120	128	160	160	112	120	264	176	120	128
82	200	200	200	200	176	168	120	120	192	144	136	144	160	144	128	128	24	200	160	160
83	200	200	200	200	192	176	160	176	184	168	160	168	216	176	176	184	320	160	152	168
84	200	200	200	200	192	104	96	96	192	136	112	128	152	144	104	120	168	176	104	120
85	200	200	200	200	200	112	88	96	184	144	120	136	168	120	72	88	176	136	80	120
86	200	200	200	200	176	104	120	96	112	144	128	144	152	112	104	136	144	136	104	112
87	200	200	200	200	176	72	120	136	240	144	136	152	152	184	144	144	144	128	96	120
88	200	200	200	200	192	192	120	152	176	144	136	144	176	152	136	168	0	160	128	144
89	200	200	192	200	192	120	96	128	168	144	152	152	112	176	136	144	376	160	120	128
90	200	200	184	200	200	88	144	152	184	168	144	144	0	168	136	152	176	152	104	128
91	200	200	200	200	176	192	96	96	152	112	80	96	424	168	152	144	152	176	128	136
92	200	200	192	200	184	152	128	144	168	160	128	136	192	168	152	168	168	152	120	136
93	200	200	200	200	176	160	112	112	176	120	112	128	136	136	128	144	152	136	120	144
94	200	200	200	200	192	144	120	128	176	144	120	136	216	144	128	144	152	120	80	120
95	200	200	200	200	200	160	160	152	176	168	152	160	32	160	136	168	160	160	120	120
96	200	200	200	200	200	152	144	152	184	160	136	136	336	152	128	136	176	152	120	128
97	200	200	192	200	184	136	120	112	136	176	144	152	128	152	128	144	176	152	112	136
98	200	200	200	200	168	120	96	112	192	136	128	128	0	144	136	144	160	160	136	128
99	200	200	200	200	184	64	128	136	168	120	80	88	400	160	112	136	160	144	96	128
100	200	200	200	200	200	192	136	152	168	112	120	120	160	144	120	128	168	168	144	152
101	200	200	200	200	168	56	128	112	192	168	144	160	144	144	112	112	160	152	112	120
102	200	200	200	200	168	0	136	128	176	160	144	152	104	160	152	168	176	160	136	136
103	200	200	200	200	184	360	128	128	176	152	144	160	248	168	160	176	184	184	144	144
104	200	200	200	200	192	0	144	144	96	144	152	176	160	152	120	128	160	168	128	160
105	200	200	200	200	192	280	144	144	232	184	168	168	192	168	136	136	160	176	128	136
106	200	200	200	200	192	160	144	144	192	144	128	144	112	176	144	160	176	160	112	120
107	200	200	200	200	184	144	128	120	176	152	136	152	0	152	144	152	152	152	112	128
108	200	200	200	200	200	144	144	144	128	160	144	152	0	144	112	144	176	144	112	120
109	200	200	200	200	200	128	104	128	152	168	168	168	0	32	24	24	184	184	136	144
110	200	200	200	200	184	128	136	136	152	128	112	128	0	0	0	0	168	144	120	136
111	200	200	200	200	192	128	144	136	176	144	136	160	592	128	112	112	184	160	136	152
112	200	200	200	200	184	160	96	104	176	152	112	120	176	136	120	144	112	104	64	80
113	200	200	200	200	192	160	144	144	168	168	144	152	176	152	136	144	192	192	160	160
114	200	200	184	200	184	128	112	104	192	144	128	144	168	160	104	104	168	152	104	136
115	200	200	192	200	192	168	144	136	104	152	144	152	184	192	152	152	184	176	160	168
116	200	200	200	200	192	136	96	128	0	176	152	160	152	160	152	176	168	144	96	112
117	200	200	200	200	168	120	104	112	440	136	136	152	160	168	120	120	144	152	120	144
118	200	200	192	200	192	144	128	128	160	144	136	152	192	136	120	128	160	160	120	136
119	200	200	200	200	192	136	112	112	176	144	136	144	168	136	96	96	160	176	128	152
120	200	200	200	200	176	104	120	128	176	128	104	128	24	168	112	120	152	168	120	136
avg	199.867	199.867	197.333	199.733	186.933	136.8	123.067	127.6	169.467	150.667	135.067	145.333	165.067	148.133	122.133	133.6	165.067	156.533	119.6	134.4
delay	2.30954	4.90127	4.90135	4.9012	8.60913	122.618	18.9003	19.0909	69.9386	22.2265	20.8825	20.5752	334.631	31.5266	30.6834	30.1038	80.2868	32.2036	32.573	32.2113
loss	0	0	0.0100334	0.000667111	0.0539811	0.278481	0.340243	0.31789	0.135374	0.212544	0.284099	0.238827	0.140874	0.230076	0.347578	0.29087	0.147383	0.188666	0.359286	0.29064
Command ['/home/synrg/Documents/Jiaming/ns-3.30/build/scratch/simple-ofdma-adhoc', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=2e5', '--clNum=20', '--ratio=0.375', '--RngRun=25'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
