Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.839s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15.8	14.8	15.2	13.8
61	2240	2232	2232	2232
62	2272	2248	2248	2256
63	2256	2256	2256	2256
64	2248	2264	2264	2248
65	2256	2256	2256	2256
66	2248	2248	2248	2248
67	2256	2256	2256	2256
68	2264	2248	2248	2264
69	2240	2248	2256	2248
70	2264	2256	2248	2256
71	2248	2264	2264	2248
72	2256	2240	2240	2256
73	2248	2264	2264	2248
74	2256	2248	2240	2248
75	2248	2256	2264	2256
76	2256	2256	2256	2256
77	2248	2248	2248	2248
78	2256	2248	2256	2264
79	2264	2256	2248	2256
80	2248	2264	2264	2248
81	2256	2240	2240	2256
82	2248	2264	2264	2248
83	2256	2256	2256	2256
84	2248	2248	2248	2248
85	2256	2248	2256	2264
86	2264	2256	2248	2256
87	2256	2264	2256	2248
88	2248	2256	2264	2256
89	2256	2248	2256	2264
90	2264	2256	2248	2256
91	2248	2248	2248	2248
92	2256	2256	2256	2256
93	2248	2264	2264	2248
94	2256	2256	2256	2256
95	2248	2248	2248	2248
96	2256	2256	2256	2256
97	2248	2248	2248	2248
98	2256	2248	2256	2264
99	2264	2256	2248	2256
100	2248	2264	2264	2248
101	2256	2256	2256	2256
102	2256	2248	2256	2264
103	2248	2256	2248	2240
104	2264	2248	2248	2264
105	2256	2256	2256	2256
106	2248	2264	2264	2248
107	2256	2248	2240	2248
108	2248	2256	2264	2256
109	2248	2248	2248	2248
110	2256	2256	2256	2256
111	2248	2248	2248	2248
112	2256	2256	2256	2256
113	2264	2248	2248	2264
114	2256	2264	2256	2248
115	2248	2256	2264	2256
116	2256	2248	2240	2248
117	2248	2256	2264	2256
118	2256	2248	2256	2264
119	2264	2256	2248	2256
120	2248	2264	2264	2248
avg	2253.87	2253.6	2253.6	2253.47
delay	771.249	777.662	770.54	775.482
loss	0.431187	0.431951	0.431187	0.431669
Command ['/home/synrg/Documents/Jiaming/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs1', '--datarate=4e6', '--RngRun=33'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
