Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.345s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	13.8	15.4	10.4	15
61	832	0	1272	1240
62	2672	2504	2680	2672
63	3128	1128	3128	3136
64	2664	2656	2536	2648
65	3248	3264	720	3264
66	2632	2624	2624	2624
67	2624	2624	2648	2640
68	2632	2632	2624	2624
69	2624	2624	2624	2624
70	2624	2624	2608	2624
71	2624	2632	2632	2624
72	2632	2624	2624	2632
73	2640	2624	2648	2632
74	2608	2632	2616	2624
75	2632	2624	2624	2624
76	2624	2624	2624	2632
77	2896	1784	2904	2896
78	3408	272	3416	3408
79	2632	2624	2624	2624
80	2696	2392	2688	2704
81	3504	0	3496	3488
82	4128	2712	3512	144
83	3952	4200	1592	776
84	3800	3792	2664	264
85	4216	4216	0	2072
86	2848	2856	1952	2856
87	2696	2680	2432	2688
88	3304	3304	592	3320
89	2624	2632	2632	2616
90	2640	2640	2624	2632
91	2632	2624	2624	2624
92	2616	2632	2624	2632
93	2640	2624	2648	2624
94	2624	2624	2624	2624
95	2624	2632	2624	2632
96	2632	2624	2616	2624
97	2944	2952	1648	2968
98	3200	3192	1864	2264
99	856	4536	4072	1040
100	1632	1472	2312	5104
101	3592	1096	3592	2224
102	2624	2624	2640	2632
103	2984	1560	2968	2968
104	2624	2600	2624	2632
105	3384	3376	3400	352
106	2744	2744	2728	2296
107	2616	2616	2632	2608
108	2640	2624	2624	2640
109	2624	2624	2624	2632
110	2632	2640	2632	2624
111	2672	2672	2536	2664
112	2144	3584	1216	3592
113	1184	4672	0	4672
114	1280	3160	2944	3152
115	16	3496	3496	3504
116	1856	2896	2888	2896
117	2616	2624	2632	2624
118	2840	2440	2824	2392
119	3696	1312	3696	1808
120	4040	2424	4056	0
avg	2699.87	2604	2546.13	2540
delay	1949.8	1973.16	1912.36	1985.79
loss	0.529819	0.564468	0.566179	0.53224
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=12e6', '--RngRun=130'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
