Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.338s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	17	11.6	12.8	15.4
61	3848	0	0	3576
62	3864	0	2736	5656
63	2968	2880	3224	3216
64	3072	3072	3072	3072
65	3080	3072	3064	3072
66	3072	3080	3064	3072
67	3072	3072	3096	3080
68	3008	3104	3088	3088
69	3072	3072	3072	3072
70	3080	3080	3072	3088
71	3184	3176	2712	3184
72	1640	5088	480	5080
73	3432	5104	2024	1728
74	1720	4096	4088	2416
75	16	5048	5056	2168
76	3616	592	3616	4464
77	4192	1520	3400	3176
78	72	4360	7272	584
79	3728	3736	3728	1128
80	3072	3072	3072	3072
81	4944	1032	1376	4936
82	2688	2048	3784	3768
83	1576	3576	3560	3576
84	3072	3072	3072	3072
85	3088	3072	3088	3072
86	3072	3072	3072	3072
87	3152	3144	2880	3144
88	3072	3096	3072	3080
89	3072	3072	3072	3072
90	3632	2160	2872	3624
91	4264	2496	4272	1256
92	2800	3376	1408	4736
93	3104	4144	4144	896
94	2080	4056	4056	2096
95	3088	3072	3088	3072
96	1408	744	8296	1840
97	3216	4136	272	4664
98	2864	2288	5256	1312
99	5144	0	1224	4816
100	3664	3216	1736	3672
101	2608	4856	0	4856
102	3200	3200	2688	3200
103	3072	3072	3072	3072
104	3152	3152	3144	2840
105	3824	3816	3824	824
106	3072	3088	3072	3088
107	3600	3592	3608	1456
108	4096	4096	4096	0
109	3192	3200	3192	2736
110	3072	3072	3072	3072
111	3064	3072	3072	3080
112	3944	480	3936	3928
113	4560	3504	568	3656
114	1680	1920	5624	3064
115	4344	2096	4256	1592
116	2696	2408	3608	3608
117	856	1648	4880	4872
118	2448	3280	3272	3288
119	2856	3152	3160	3152
120	2648	2408	3616	3616
avg	3029.87	2903.47	3204.93	3046.13
delay	1016.8	1384.12	1118.47	1178.88
loss	0.361262	0.382529	0.35296	0.328225
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=10e6', '--RngRun=89'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
