Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
[1851/1912] Compiling scratch/simple-ofdma-adhoc3.cc
[1852/1912] Compiling scratch/mesh-loc-3.cc
[1853/1912] Compiling scratch/simple_wifi.cc
[1854/1912] Compiling scratch/mesh-loc-2.cc
[1855/1912] Compiling scratch/subdir/scratch-simulator-subdir.cc
[1856/1912] Compiling scratch/mesh-loc-2b.cc
[1865/1912] Compiling scratch/mesh-loc-jw.cc
[1866/1912] Linking build/scratch/subdir/subdir
[1867/1912] Linking build/scratch/simple_wifi
[1868/1912] Linking build/scratch/mesh-loc-3
[1869/1912] Linking build/scratch/mesh-loc-2
[1870/1912] Linking build/scratch/mesh-loc-2b
[1871/1912] Linking build/scratch/mesh-loc-jw
[1872/1912] Linking build/scratch/simple-ofdma-adhoc3
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.302s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	13.2	14	15.6	13.8	15	14.2	14.2	15.6	15.4	14.6	15.4	15.4	16.4	14	14.6	14.6	14.4	14.8	16.2	13.6
61	0	0	0	0	0	0	32	0	56	64	64	32	16	64	0	24	0	56	88	24
62	0	0	0	0	0	88	104	16	0	96	32	32	0	72	16	0	48	48	40	24
63	0	0	0	0	0	56	32	48	8	8	32	16	48	8	104	16	88	0	80	80
64	0	0	0	0	0	0	32	32	64	56	0	56	16	64	64	72	24	40	64	72
65	0	0	0	0	0	64	32	72	88	80	48	24	0	56	8	48	32	0	104	24
66	0	0	0	0	0	16	16	0	56	32	8	64	16	8	16	72	72	0	56	32
67	0	0	0	0	0	56	16	16	0	72	80	96	80	0	48	0	0	56	24	0
68	0	0	0	0	0	72	16	40	72	56	56	16	0	56	0	56	96	24	64	24
69	0	0	0	0	0	32	24	0	64	64	72	88	8	80	32	16	56	16	0	8
70	0	0	0	0	0	8	40	32	72	48	48	32	0	32	16	56	80	96	48	8
71	0	0	0	0	0	40	48	0	8	96	0	0	80	40	0	32	80	32	96	56
72	8	0	0	0	0	40	40	40	88	32	56	56	40	80	24	40	40	16	8	0
73	0	0	0	0	0	0	64	24	56	0	16	80	40	48	8	8	0	56	72	48
74	0	0	8	0	0	40	32	8	48	72	32	64	40	32	0	40	48	48	48	72
75	0	0	0	8	0	0	32	48	16	96	8	40	80	24	192	24	0	56	48	40
76	0	0	0	0	0	48	24	8	0	72	72	80	32	8	16	80	72	80	24	128
77	0	0	0	0	0	0	72	64	24	8	0	40	48	24	0	64	40	80	40	64
78	0	8	0	0	0	48	72	48	72	64	32	32	0	56	0	88	24	0	0	64
79	0	0	0	0	0	72	16	56	24	32	24	0	80	72	24	0	8	8	72	0
80	0	0	0	0	0	64	64	24	40	32	56	0	24	0	104	72	8	64	96	48
81	0	0	0	0	0	48	32	32	24	48	32	0	0	8	24	48	56	24	88	24
82	0	0	0	0	0	48	24	56	56	96	0	0	0	48	0	48	32	16	48	120
83	0	0	0	0	0	0	80	48	72	64	56	0	72	72	48	16	56	16	80	24
84	0	0	0	0	0	0	80	0	56	32	16	128	8	80	0	0	64	40	64	0
85	0	0	0	0	0	0	24	32	64	48	0	24	24	48	32	16	64	16	32	32
86	0	0	0	0	0	56	40	48	0	56	40	64	32	64	40	80	0	40	40	16
87	0	0	0	0	0	8	8	8	96	88	32	88	16	0	56	56	40	16	72	0
88	0	0	0	0	0	48	8	0	40	80	56	40	32	40	24	32	96	32	48	40
89	0	0	8	0	0	8	16	24	0	48	0	16	64	8	96	56	56	64	80	72
90	8	0	0	0	0	16	72	16	24	0	16	104	80	80	56	40	0	72	8	32
