Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.688s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	14.6	16.6	16	13.2	14	15.6	13.4	15.6	14.2	15.2	15.6	15.2	15.6	14.8	16	12.4	16.8	15.4	17	11.6
61	0	0	0	0	0	96	104	72	152	24	120	0	0	64	0	112	32	72	0	48
62	0	0	0	0	0	0	0	0	48	64	168	144	160	168	232	256	272	176	120	24
63	0	0	0	0	0	136	120	56	176	152	64	144	32	56	192	200	0	24	264	184
64	0	0	0	0	0	184	8	144	216	0	0	24	96	0	24	240	96	64	88	16
65	0	0	0	0	0	160	144	16	40	200	64	0	120	144	136	16	80	120	0	144
66	0	0	0	0	0	112	128	0	184	120	168	128	120	192	64	40	32	0	80	168
67	0	0	0	0	0	48	24	40	48	32	160	216	160	80	208	0	32	176	176	136
68	0	0	0	0	0	120	32	40	40	160	208	160	72	120	160	8	48	176	128	160
69	0	0	0	0	0	104	56	120	40	24	128	224	64	16	72	16	40	208	24	168
70	0	0	0	0	0	128	112	0	208	184	200	24	192	112	40	80	184	88	56	176
71	0	0	0	0	0	96	160	72	200	88	144	232	88	72	184	272	48	0	0	8
72	0	0	0	0	0	128	0	120	56	192	128	0	112	96	64	144	104	104	176	176
73	0	0	0	8	0	8	8	88	168	208	168	48	56	224	192	112	136	136	192	40
74	0	0	0	0	0	40	152	96	80	32	32	120	112	96	0	208	40	232	32	0
75	0	0	0	0	8	0	56	88	72	56	160	56	216	104	96	32	160	128	128	104
76	0	8	8	0	0	56	24	192	224	40	112	88	152	0	16	128	112	32	56	152
77	8	0	0	0	0	128	0	40	144	0	176	200	40	176	48	0	0	80	152	96
78	0	0	0	0	0	8	40	48	224	192	224	40	32	232	216	128	272	48	152	160
79	0	0	0	0	0	0	96	152	176	128	128	208	0	32	104	64	56	200	80	160
80	0	0	0	0	0	0	0	80	248	240	48	200	160	176	0	248	80	0	184	0
81	0	0	0	0	0	72	16	120	144	152	88	88	32	216	112	160	64	112	160	40
82	0	0	0	0	0	88	16	80	16	96	0	224	64	72	144	80	200	240	136	208
83	0	0	0	0	0	136	120	0	208	88	144	104	136	160	0	88	104	72	0	160
84	0	0	0	0	0	8	72	8	24	112	112	40	0	184	80	112	80	32	40	144
85	0	0	0	0	0	80	136	8	184	144	136	104	168	32	0	256	0	16	104	40
86	0	0	0	0	0	80	168	152	104	176	32	248	56	88	72	80	48	24	200	112
87	0	0	0	0	0	40	16	72	96	224	200	56	96	136	0	200	224	24	72	40
88	0	8	0	0	0	128	8	152	112	128	120	200	224	104	120	80	112	64	72	128
89	0	0	0	0	0	104	80	104	96	224	8	136	8	224	72	152	96	208	0	144
90	0	0	0	0	0	48	48	40	192	152	80	64	216	136	0	136	168	128	96	224
91	0	0	0	0	8	0	24	24	0	88	240	168	208	16	112	248	72	32	40	184
92	0	0	0	0	0	48	24	0	32	24	128	192	216	16	0	40	104	176	248	224
93	0	0	8	0	0	32	24	64	200	152	208	80	0	216	208	240	176	80	208	184
94	0	0	0	0	0	40	48	24	160	168	120	56	32	32	56	200	0	224	112	184
95	0	0	0	0	0	160	80	56	88	224	200	96	32	160	96	48	40	112	64	88
96	8	0	0	0	0	32	104	72	112	0	8	56	24	208	208	0	104	232	88	24
97	0	0	0	0	0	8	80	16	256	72	208	256	48	0	232	168	160	72	160	272
98	0	0	0	0	0	96	56	48	192	136	104	112	176	168	208	40	200	160	120	96
99	0	0	0	0	0	104	80	144	208	216	160	144	0	112	160	0	104	40	184	64
100	0	0	0	0	0	16	40	8	152	80	32	184	216	160	104	312	144	112	184	232
101	0	8	0	0	0	40	104	24	104	40	200	224	56	0	224	128	40	0	192	72
102	0	0	0	0	0	72	24	64	152	32	72	104	72	224	200	200	104	128	8	64
103	0	0	0	0	0	16	80	120	224	176	192	168	104	144	192	128	184	88	24	8
104	0	0	0	0	0	96	128	128	128	48	104	88	120	0	16	0	104	208	144	80
105	0	0	0	0	0	88	112	80	96	56	136	232	56	96	208	176	72	72	168	0
106	0	0	0	0	8	0	120	0	256	120	0	240	0	96	112	240	144	200	24	56
107	0	0	0	0	0	88	96	48	192	112	48	120	80	72	16	64	224	208	96	0
108	0	0	8	0	0	72	168	0	184	224	120	0	0	16	0	120	64	0	144	216
109	0	0	0	0	0	80	96	40	128	0	184	120	168	24	104	56	120	88	184	96
110	8	0	0	0	0	48	120	64	32	104	72	184	160	216	48	120	208	88	200	88
111	0	0	0	0	0	72	0	80	56	0	8	280	136	48	40	176	248	64	176	216
112	0	0	0	0	0	72	88	112	40	176	184	112	216	112	160	88	112	8	160	160
113	0	0	0	0	0	64	88	88	160	176	112	0	160	24	0	0	184	0	120	72
114	0	0	0	0	0	88	0	136	216	112	120	24	32	96	128	88	56	128	56	80
115	0	0	0	0	0	64	8	144	224	0	40	120	176	16	128	0	0	184	232	0
116	0	0	0	0	0	104	56	0	136	80	56	160	192	48	192	136	120	40	72	56
117	0	0	0	0	0	16	80	112	0	224	0	168	40	200	32	24	48	104	32	112
118	0	0	0	0	0	8	64	96	128	184	160	240	224	112	160	0	64	256	216	40
119	0	0	0	0	0	112	136	0	144	144	232	48	88	176	112	96	112	144	184	96
120	0	0	0	0	0	88	112	80	224	16	104	168	48	64	88	104	208	24	96	56
avg	0.4	0.4	0.4	0.133333	0.4	69.3333	69.7333	67.8667	135.733	113.6	117.867	127.733	101.067	106.4	103.2	114.8	107.333	104.267	115.067	108
