Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.681s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	11.6	14.4	13.4	13.4	15.6	13	15.4	15.8	13.4	15.6	13.6	14.2	13.6	16.8	17.6	14.6	16.4	13.6	15.2	17
61	0	0	0	0	0	0	152	296	0	328	352	152	40	0	120	48	488	0	416	0
62	0	0	0	0	0	360	320	0	472	472	208	0	0	304	600	344	304	200	232	168
63	0	0	0	0	0	208	392	368	496	272	24	440	416	360	240	40	312	120	16	440
64	0	0	0	0	0	232	256	504	448	56	184	80	280	312	424	344	192	440	72	552
65	0	0	0	0	0	312	184	536	232	184	360	552	0	0	464	536	0	216	368	400
66	0	0	0	0	0	400	200	592	424	8	0	104	160	520	584	504	424	0	0	272
67	0	0	0	0	0	0	64	608	240	40	392	240	640	640	416	136	296	296	312	336
68	0	0	0	0	0	504	80	512	304	104	0	64	392	80	400	504	472	480	336	0
69	0	0	0	0	0	320	600	144	240	256	344	80	56	240	184	600	488	152	376	256
70	0	0	0	0	0	104	344	272	448	192	160	592	0	312	408	32	8	0	312	264
71	0	0	0	0	0	8	440	432	40	296	56	88	336	432	432	352	320	392	432	440
72	0	0	0	0	0	608	320	0	440	480	64	232	200	176	368	512	0	472	160	424
73	0	0	0	0	0	248	384	280	136	496	216	104	0	280	480	664	496	0	360	336
74	0	0	0	0	0	560	224	376	464	40	432	440	408	184	32	304	0	248	520	0
75	0	0	0	0	0	512	0	256	544	16	552	232	560	528	176	152	472	0	552	48
76	0	0	0	0	0	384	168	320	336	200	304	544	424	144	24	0	408	496	272	408
77	0	0	0	0	8	256	248	560	136	232	328	296	216	32	760	272	48	24	712	312
78	8	0	0	0	0	56	456	568	568	88	112	416	512	96	152	568	128	184	368	0
79	0	0	0	0	0	480	256	456	160	296	0	472	352	0	344	24	344	424	192	368
80	0	0	0	0	0	48	0	40	88	344	440	32	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	160	0	48	88	0	0	0	0	0	0	0	0
82	0	0	0	0	0	0	0	0	376	112	512	240	0	0	0	0	0	0	0	0
83	0	0	0	0	0	0	0	0	0	512	544	144	0	0	0	0	0	0	0	0
84	0	0	0	0	0	0	0	0	280	56	0	248	0	0	0	0	0	0	0	0
85	0	0	0	0	0	0	0	0	0	168	32	0	0	0	0	0	0	0	0	0
86	0	0	0	0	0	0	0	0	376	272	0	176	0	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
avg	0.133333	0	0	0	0.133333	93.3333	84.8	118.667	123.467	92	94.4	100.933	83.2	77.3333	110.133	98.9333	86.6667	69.0667	100.133	83.7333
delay	269	0	0	0	496	256.664	230.264	203.081	256.731	280.062	289.208	264.646	253.252	189.402	179.878	197.974	197.852	254.506	218.238	237.618
loss	0.5	0	0	0	0.5	0.652087	0.659711	0.60689	0.511088	0.607285	0.602694	0.572558	0.596899	0.704383	0.596483	0.579365	0.665638	0.714443	0.619361	0.668427
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc3', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=6e5', '--clNum=20', '--ratio=0.375', '--RngRun=34'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
