Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.810s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15.4	12	14.4	15.2	12.2	12.8	16	14	17.2	13.6	11.4	12	17	14.8	15.2	14.6	14.6	14	11.4	16.8	11.2
61	0	0	0	0	0	0	0	0	0	0	32	0	152	384	256	360	232	0	8	352	760
62	0	0	0	0	0	0	0	0	0	0	32	352	392	392	120	864	368	72	208	272	616
63	0	0	0	0	0	0	0	0	0	0	400	0	536	696	200	432	0	208	128	0	744
64	0	0	0	0	0	0	0	0	0	0	360	304	368	376	64	712	352	272	392	40	424
65	0	0	0	0	0	0	0	0	0	0	512	528	528	80	400	336	184	0	0	456	464
66	0	0	0	0	0	0	0	0	0	0	192	456	304	264	280	200	400	440	608	168	8
67	0	0	0	0	0	0	0	0	0	0	216	544	576	328	184	184	208	112	408	112	720
68	0	0	0	0	0	0	0	0	0	0	648	632	144	464	0	0	56	288	608	448	352
69	0	0	0	0	0	0	0	0	0	0	144	432	24	72	280	696	776	8	232	392	568
70	0	0	0	0	0	0	0	0	0	0	80	120	0	792	672	624	408	0	208	608	80
71	0	0	0	0	0	0	0	0	0	0	496	72	448	272	536	408	264	368	264	0	440
72	0	0	0	0	0	0	0	0	0	0	0	600	336	208	192	608	576	0	56	280	544
73	0	0	0	0	0	0	0	0	0	0	728	704	280	136	632	312	472	336	0	72	16
74	0	0	0	0	0	0	0	0	0	0	56	160	608	568	384	0	392	168	592	160	400
75	0	0	0	0	0	0	0	0	0	0	160	168	72	496	216	184	544	680	408	376	200
76	0	0	0	0	0	0	0	0	0	0	216	32	248	112	448	560	232	544	216	608	384
77	0	0	0	0	0	0	0	0	0	0	48	112	216	656	56	176	864	608	208	704	24
78	0	0	0	0	0	0	0	0	0	0	896	880	24	200	280	96	488	16	240	256	104
79	0	0	0	0	0	0	0	0	0	0	400	312	24	640	0	288	640	416	288	144	320
80	0	0	0	0	0	0	0	0	0	0	320	528	96	528	192	552	408	480	240	192	0
81	0	0	0	0	0	0	0	0	0	0	200	240	384	640	0	672	32	256	496	280	336
82	0	0	0	0	0	0	0	0	0	0	240	488	280	88	56	336	32	328	736	168	792
83	0	0	0	0	0	0	0	0	0	0	224	96	320	216	472	48	496	216	528	32	0
84	0	0	0	0	0	0	0	0	0	0	432	48	424	448	464	392	24	400	552	0	408
85	0	0	0	0	0	0	0	0	0	0	576	840	72	264	352	320	0	400	424	0	464
86	0	0	0	0	0	0	0	0	0	0	408	736	40	520	728	0	296	440	0	328	144
87	0	0	0	0	0	0	0	0	0	0	384	224	376	72	368	520	824	112	432	456	0
88	0	0	0	0	0	0	0	0	0	0	496	160	360	48	552	560	200	304	464	224	96
89	0	0	0	0	0	0	0	0	0	0	712	96	0	240	736	0	56	48	736	688	168
90	0	0	0	0	0	0	0	0	0	0	232	80	264	424	448	104	712	96	216	320	568
91	0	0	0	0	0	0	0	0	0	0	488	504	0	0	48	664	712	696	136	0	0
92	0	0	0	0	0	0	0	0	0	0	696	224	328	584	0	64	152	504	224	368	112
93	0	0	0	0	0	0	0	0	0	0	328	8	424	240	576	208	360	800	0	0	424
94	0	0	0	0	0	0	0	0	0	0	216	520	48	464	224	608	584	0	528	136	320
95	0	0	0	0	0	0	0	0	0	0	432	288	392	368	416	248	288	0	272	152	256
96	0	0	0	0	0	0	0	0	0	0	440	544	384	448	376	232	128	256	136	400	88
97	0	0	0	0	0	0	0	0	0	0	200	232	112	576	656	424	0	608	64	296	576
98	0	0	0	0	0	0	0	0	0	0	568	672	0	144	320	216	408	88	576	128	408
99	0	0	0	0	0	0	0	0	0	0	520	384	304	792	704	112	536	64	0	320	96
100	0	0	0	0	0	0	0	0	0	0	80	456	456	80	304	216	280	152	608	504	752
101	0	0	0	0	0	0	0	0	0	0	112	40	208	32	608	200	552	0	536	720	504
102	0	0	0	0	0	0	0	0	0	0	312	120	624	184	56	504	640	720	96	88	184
