Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.647s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	13.6	15.2	13	13.4	15.2	15.4	0	15.6	14.4	17	15	0	0	16.6	13.8	15.8	18	0
61	0	0	0	0	0	0	0	296	440	0	128	0	0	488	184	472	768	0
62	0	0	0	0	0	0	0	208	496	496	624	0	0	760	920	328	784	0
63	0	0	0	0	0	0	0	104	600	488	0	0	0	360	128	472	16	0
64	0	0	0	0	0	0	0	296	824	640	656	0	0	296	1080	760	704	0
65	0	0	0	0	0	0	0	0	264	0	696	0	0	544	640	472	144	0
66	0	0	0	0	0	0	0	248	992	544	696	0	0	272	80	0	168	0
67	0	0	0	0	0	0	0	712	88	944	432	0	0	568	16	640	600	0
68	0	0	0	0	0	0	0	504	8	976	216	0	0	192	992	576	680	0
69	0	0	0	0	0	0	0	192	248	72	40	0	0	448	576	984	296	0
70	0	0	0	0	0	0	0	0	464	128	0	0	0	216	112	936	360	0
71	0	0	0	0	0	0	0	688	0	736	480	0	0	336	40	80	784	0
72	0	0	0	0	0	0	0	600	600	504	240	0	0	616	136	824	624	0
73	0	0	0	0	0	0	0	80	0	384	528	0	0	0	248	0	464	0
74	0	0	0	0	0	0	0	584	648	392	824	0	0	688	832	720	528	0
75	0	0	0	0	0	0	0	392	184	976	456	0	0	0	992	872	320	0
76	0	0	0	0	0	0	0	152	544	264	448	0	0	0	392	256	120	0
77	0	0	0	0	0	0	0	496	744	360	360	0	0	1016	752	1384	384	0
78	0	0	0	0	0	0	0	216	744	624	472	0	0	96	184	120	432	0
79	0	0	0	0	0	0	0	416	288	592	584	0	0	456	240	568	272	0
80	0	0	0	0	0	0	0	544	0	0	784	0	0	336	0	72	560	0
81	0	0	0	0	0	0	0	80	800	472	576	0	0	328	96	768	536	0
82	0	0	0	0	0	0	0	104	80	576	672	0	0	96	248	792	344	0
83	0	0	0	0	0	0	0	824	712	888	0	0	0	256	568	648	568	0
84	0	0	0	0	0	0	0	664	448	8	160	0	0	104	696	600	624	0
85	0	0	0	0	0	0	0	608	320	128	488	0	0	736	224	696	80	0
86	0	0	0	0	0	0	0	160	976	864	104	0	0	472	168	168	424	0
87	0	0	0	0	0	0	0	200	496	288	368	0	0	512	600	160	0	0
88	0	0	0	0	0	0	0	224	0	296	696	0	0	872	984	0	208	0
89	0	0	0	0	0	0	0	432	456	392	640	0	0	328	744	128	208	0
90	0	0	0	0	0	0	0	312	0	224	128	0	0	160	912	768	408	0
91	0	0	0	0	0	0	0	504	712	880	408	0	0	408	608	0	360	0
92	0	0	0	0	0	0	0	288	216	512	0	0	0	384	48	696	704	0
93	0	0	0	0	0	0	0	744	320	560	352	0	0	224	160	736	144	0
94	0	0	0	0	0	0	0	824	984	280	792	0	0	600	640	32	56	0
95	0	0	0	0	0	0	0	800	448	576	480	0	0	816	896	440	112	0
96	0	0	0	0	0	0	0	472	120	0	1088	0	0	56	920	216	232	0
97	0	0	0	0	0	0	0	696	216	616	600	0	0	472	120	24	200	0
98	0	0	0	0	0	0	0	0	264	104	280	0	0	488	0	88	544	0
99	0	0	0	0	0	0	0	272	552	688	0	0	0	112	232	168	784	0
100	0	0	0	0	0	0	0	880	392	160	504	0	0	0	384	304	264	0
101	0	0	0	0	0	0	0	680	816	680	704	0	0	624	488	912	768	0
102	0	0	0	0	0	0	0	624	552	432	248	0	0	72	928	712	168	0
103	0	0	0	0	0	0	0	224	656	512	240	0	0	496	928	24	488	0
104	0	0	0	0	0	0	0	0	72	352	720	0	0	888	216	728	304	0
105	0	0	0	0	0	0	0	288	632	360	0	0	0	312	0	512	288	0
106	0	0	0	0	0	0	0	104	840	480	192	0	0	264	184	1128	264	0
107	0	0	0	0	0	0	0	496	848	464	272	0	0	752	88	376	56	0
