Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.776s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	11.4	15.4	15.6	14.2	14.8	12.8	13.6	15	14.4	12.6	16.4	12.2	14.8	17	14.6	15.2	16.6	15.2	14.2	11.4
61	0	0	0	0	0	0	0	0	0	760	0	0	816	624	96	680	264	0	0	0
62	0	0	0	0	0	0	0	0	0	312	0	296	96	512	216	224	704	824	672	256
63	0	0	0	0	0	0	0	0	0	80	0	944	480	880	408	656	944	0	544	152
64	0	0	0	0	0	0	0	0	0	416	720	312	464	496	192	944	560	384	384	392
65	0	0	0	0	0	0	0	0	0	0	552	224	944	152	816	280	0	368	664	368
66	0	0	0	0	0	0	0	0	0	864	0	640	984	272	96	96	568	0	112	288
67	0	0	0	0	0	0	0	0	0	32	200	544	480	0	72	264	616	432	240	32
68	0	0	0	0	0	0	0	0	0	632	480	704	88	632	648	880	304	568	592	464
69	0	0	0	0	0	0	0	0	0	256	552	896	216	784	624	632	648	248	544	272
70	0	0	0	0	0	0	0	0	0	632	568	256	576	208	848	16	504	648	200	664
71	0	0	0	0	0	0	0	0	0	304	720	856	0	128	768	136	856	800	824	0
72	0	0	0	0	0	0	0	0	0	672	664	568	200	384	768	456	480	528	368	144
73	0	0	0	0	0	0	0	0	0	680	120	760	576	848	696	544	40	32	864	80
74	0	0	0	0	0	0	0	0	0	544	120	0	16	272	0	472	728	376	416	472
75	0	0	0	0	0	0	0	0	0	496	504	288	0	8	0	296	448	288	0	448
76	0	0	0	0	0	0	0	0	0	392	664	608	568	464	464	680	856	536	576	368
77	0	0	0	0	0	0	0	0	0	456	672	920	40	584	512	416	488	520	440	232
78	0	0	0	0	0	0	0	0	0	616	56	424	560	664	0	520	392	272	432	432
79	0	0	0	0	0	0	0	0	0	672	624	368	232	16	8	384	768	40	928	216
80	0	0	0	0	0	0	0	0	0	336	96	56	40	200	496	480	368	968	0	296
81	0	0	0	0	0	0	0	0	0	8	648	472	0	144	304	24	472	344	296	320
82	0	0	0	0	0	0	0	0	0	800	416	984	936	520	656	664	40	496	120	456
83	0	0	0	0	0	0	0	0	0	160	72	0	568	504	264	352	800	472	40	616
84	0	0	0	0	0	0	0	0	0	56	608	400	8	376	224	936	720	200	544	928
85	0	0	0	0	0	0	0	0	0	72	336	0	776	896	320	40	656	312	104	592
86	0	0	0	0	0	0	0	0	0	720	256	528	800	616	0	472	624	888	208	832
87	0	0	0	0	0	0	0	0	0	360	968	104	0	152	752	24	0	120	776	760
