Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.773s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	14.8	15.6	12.4	16.6	12	19	13.2	12	17.6	16.4	15.6	17	12	11.6
61	0	0	0	0	0	0	0	112	0	520	432	104	0	0
62	0	0	0	0	0	0	0	656	0	496	480	552	440	272
63	0	0	0	0	0	0	0	248	64	472	0	392	680	0
64	0	0	0	0	0	0	0	536	0	328	792	640	888	176
65	0	0	0	0	0	0	0	864	280	432	272	888	0	808
66	0	0	0	0	0	0	0	784	752	712	264	328	512	528
67	0	0	0	0	0	0	0	632	408	608	680	568	296	400
68	0	0	0	0	0	0	0	176	552	384	792	616	672	776
69	0	0	0	0	0	0	0	288	352	760	864	840	176	584
70	0	0	0	0	0	0	0	0	960	120	120	48	848	320
71	0	0	0	0	0	0	0	400	496	568	304	304	816	752
72	0	0	0	0	0	0	0	264	304	776	248	568	792	488
73	0	0	0	0	0	0	0	888	616	440	456	80	224	864
74	0	0	0	0	0	0	0	488	136	512	512	680	288	208
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	0	0	0	0	0	0	712	264	960	328	664	816	168
77	0	0	0	0	0	0	0	744	384	968	0	160	688	120
78	0	0	0	0	0	0	0	520	48	696	184	536	760	584
79	0	0	0	0	0	0	0	784	224	472	0	544	216	824
80	0	0	0	0	0	0	0	400	440	520	400	72	576	352
81	0	0	0	0	0	0	0	392	264	608	368	184	640	728
