Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.854s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	13.8	16.2	13.8	13.4	14	13.4	15.2	12	16	17.8
61	0	0	0	560	328	0	216	720	400	0
62	0	0	0	616	0	56	992	0	136	208
63	0	0	0	224	264	0	704	104	64	632
64	0	0	0	144	120	416	624	928	560	840
65	0	0	0	0	272	232	488	944	960	232
66	0	0	0	0	0	0	328	232	72	0
67	0	0	0	432	432	144	264	168	112	104
68	0	0	0	0	0	128	832	592	24	928
69	0	0	0	648	480	472	456	440	488	264
70	0	0	0	504	152	48	280	400	904	584
71	0	0	0	0	0	600	512	64	392	776
72	0	0	0	384	688	200	144	960	736	256
73	0	0	0	656	680	584	640	344	752	400
74	0	0	0	392	0	424	240	32	544	520
75	0	0	0	8	584	888	160	600	504	880
76	0	0	0	880	312	296	88	432	744	632
77	0	0	0	256	960	208	912	512	264	168
78	0	0	0	48	496	672	688	560	864	96
79	0	0	0	416	128	352	384	0	432	0
80	0	0	0	952	504	720	704	512	448	224
81	0	0	0	0	0	0	408	1080	680	448
82	0	0	0	344	880	368	32	512	368	0
83	0	0	0	0	576	304	928	24	488	576
84	0	0	0	800	320	824	112	680	528	384
85	0	0	0	800	176	632	816	496	848	400
86	0	0	0	376	1064	0	88	392	96	0
87	0	0	0	216	840	544	336	640	616	536
88	0	0	0	104	560	0	352	568	584	184
89	0	0	0	256	248	440	0	744	792	416
90	0	0	0	648	976	840	0	0	40	0
91	0	0	0	776	392	680	1512	688	88	160
92	0	0	0	864	0	56	160	768	416	488
93	0	0	0	192	856	0	640	784	208	680
94	0	0	0	0	584	936	296	432	728	592
95	0	0	0	392	672	0	688	368	672	184
96	0	0	0	864	816	432	360	704	712	136
97	0	0	0	192	368	472	368	456	272	488
98	0	0	0	88	336	448	200	0	280	152
99	0	0	0	136	1032	176	0	664	176	672
100	0	0	0	848	504	448	584	176	624	592
101	0	0	0	672	328	600	424	664	656	608
102	0	0	0	256	544	544	928	568	424	432
103	0	0	0	672	856	160	872	888	0	400
104	0	0	0	840	728	336	344	0	680	800
105	0	0	0	248	448	472	568	744	760	736
106	0	0	0	608	64	360	0	600	680	928
107	0	0	0	824	0	32	64	328	80	656
108	0	0	0	920	176	560	0	920	632	288
109	0	0	0	824	400	640	200	320	664	216
110	0	0	0	592	736	408	704	592	224	704
111	0	0	0	384	568	704	256	48	176	440
112	0	0	0	272	584	192	344	352	864	808
113	0	0	0	0	872	152	800	16	560	360
114	0	0	0	784	176	0	408	296	840	544
115	0	0	0	480	664	312	536	856	240	792
116	0	0	0	0	464	336	656	304	944	440
117	0	0	0	760	624	64	120	104	696	568
118	0	0	0	576	72	656	0	800	0	848
119	0	0	0	736	240	224	536	760	656	752
