Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.781s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15
60	12.4	11.8	14	13.6	12.6	14	14.6	13.4	15.2	13	13	15	15	12.2	13.6
61	0	0	0	0	432	72	176	152	224	632	120	424	0	176	432
62	0	0	0	0	312	168	648	24	256	24	344	472	88	168	640
63	0	0	0	0	352	568	792	664	352	616	360	8	152	296	0
64	0	0	0	0	8	584	448	160	440	544	568	0	952	944	680
65	0	0	0	0	880	480	800	272	296	456	248	816	496	200	392
66	0	0	0	0	776	864	528	128	544	56	848	904	96	328	80
67	0	0	0	0	56	968	56	608	680	0	208	544	168	920	448
68	0	0	0	0	64	184	760	720	1000	336	24	664	312	8	816
69	0	0	0	0	688	536	0	552	720	736	448	848	792	800	328
70	0	0	0	0	648	488	160	544	512	200	552	376	272	344	0
71	0	0	0	0	304	552	736	632	568	56	152	560	24	128	272
72	0	0	0	0	784	440	528	48	0	864	640	224	672	992	0
73	0	0	0	0	152	976	832	360	184	272	456	408	456	0	680
74	0	0	0	0	544	448	744	600	336	408	0	0	960	136	728
75	0	0	0	0	616	288	0	288	56	528	304	120	368	880	0
76	0	0	0	0	488	16	216	312	624	144	968	352	320	336	552
77	0	0	0	0	648	256	904	160	584	0	168	936	880	208	600
78	0	0	0	0	16	984	656	736	0	24	216	304	152	168	888
79	0	0	0	0	352	80	360	0	720	0	344	712	672	32	232
80	0	0	0	0	456	40	280	688	688	80	368	760	128	424	312
81	0	0	0	0	0	80	520	448	32	0	56	920	936	216	56
82	0	0	0	0	608	744	488	368	792	664	24	576	672	832	584
83	0	0	0	0	72	0	712	872	464	760	696	856	256	360	24
84	0	0	0	0	256	384	544	408	0	0	896	728	848	416	176
85	0	0	0	0	232	0	192	48	856	832	712	368	744	840	760
86	0	0	0	0	152	920	656	152	760	968	56	360	816	224	112
87	0	0	0	0	664	784	824	168	152	0	224	488	520	344	552
88	0	0	0	0	448	624	248	880	360	32	120	80	944	496	40
89	0	0	0	0	704	0	72	864	0	232	304	256	688	896	256
90	0	0	0	0	296	152	352	672	136	776	768	424	680	664	256
91	0	0	0	0	792	424	480	456	296	552	176	728	0	680	816
92	0	0	0	0	0	264	272	328	768	0	304	456	728	96	848
