Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.744s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	13.2	17	17.8	12	12.6	16.6	14	13.8	14.6	14.6	14.2	14.4
61	0	0	0	640	80	0	592	896	0	488	136	0
62	0	0	0	880	80	328	256	664	688	704	640	744
63	0	0	0	696	168	800	368	760	392	432	464	352
64	0	0	0	912	0	0	488	296	0	992	104	192
65	0	0	0	992	512	48	960	96	128	408	712	464
66	0	0	0	688	472	624	128	0	400	936	464	312
67	0	0	0	0	416	120	640	976	856	608	200	912
68	0	0	0	264	800	944	72	288	752	840	264	392
69	0	0	0	776	120	432	568	472	96	280	448	976
70	0	0	0	536	0	784	880	16	520	200	712	696
71	0	0	0	920	8	424	352	96	64	568	760	560
72	0	0	0	272	472	904	176	0	304	696	528	0
73	0	0	0	712	960	664	832	888	32	168	464	48
74	0	0	0	632	368	360	800	768	128	16	144	712
75	0	0	0	1000	904	920	144	320	176	344	680	1000
76	0	0	0	800	224	808	64	792	88	224	160	936
77	0	0	0	88	864	400	296	0	808	16	976	560
78	0	0	0	184	400	544	704	896	840	520	464	616
79	0	0	0	888	520	0	952	784	824	968	472	232
80	0	0	0	472	288	776	136	440	192	512	912	544
