Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.716s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9
60	15.2	14.6	13.2	13.4	13.8	13.6	14.8	10.8	14.8
61	0	0	0	0	976	168	888	928	0
62	0	0	0	0	304	872	552	816	400
63	0	0	0	0	0	272	1000	816	112
64	0	0	0	0	520	0	632	904	232
65	0	0	0	0	512	480	456	40	272
66	0	0	0	0	384	400	952	1000	568
67	0	0	0	0	0	912	440	224	472
68	0	0	0	0	160	848	328	816	568
69	0	0	0	0	792	640	560	176	240
70	0	0	0	0	1000	96	552	416	560
71	0	0	0	0	536	0	760	616	880
72	0	0	0	0	856	784	712	848	352
73	0	0	0	0	848	112	640	128	224
74	0	0	0	0	248	912	312	616	976
75	0	0	0	0	688	552	848	640	688
76	0	0	0	0	976	0	496	240	528
77	0	0	0	0	864	656	920	896	112
78	0	0	0	0	760	896	520	248	80
79	0	0	0	0	752	712	704	256	704
80	0	0	0	0	32	992	328	464	208
81	0	0	0	0	496	584	8	816	128
82	0	0	0	0	72	640	512	0	528
83	0	0	0	0	0	128	784	784	208
84	0	0	0	0	240	336	392	744	144
85	0	0	0	0	288	304	776	0	952
86	0	0	0	0	272	352	960	512	712
87	0	0	0	0	200	944	864	184	536
88	0	0	0	0	480	96	872	24	936
89	0	0	0	0	848	1000	336	928	992
90	0	0	0	0	624	600	152	784	488
91	0	0	0	0	352	952	0	920	576
92	0	0	0	0	720	472	648	464	0
