Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.671s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	19.2	14.4
61	626.4	476.96
62	478.4	497.92
63	471.84	473.44
64	472.48	473.12
65	502.64	510.32
66	477.6	462.56
67	483.84	482.08
68	472.4	511.76
69	492.32	472.48
70	484.4	491.28
71	466.24	498.08
72	472.72	515.92
73	509.6	465.52
74	479.36	496.08
75	509.68	488.8
76	500.8	547.84
77	466.4	461.04
78	496.96	458.96
79	500.32	464.32
80	493.2	442.48
81	535.2	548.48
82	439.2	470.4
83	488.8	477.44
84	472.16	465.6
85	464.24	472.8
86	468.96	500.48
87	509.92	532.16
88	504.8	450.48
89	614.32	462.08
90	565.44	508.24
91	488	567.76
92	513.6	578.56
93	503.52	467.28
94	465.52	484.64
95	447.44	490.88
96	477.6	502.8
97	471.2	461.04
98	475.12	501.68
99	518.8	492
100	456.32	481.68
101	469.04	491.6
102	499.92	506.56
103	506.16	507.44
104	497.76	426.88
105	458.4	465.28
106	489.76	470.88
107	477.76	461.76
108	487.2	477.04
109	485.6	478.56
110	468.32	467.04
111	472.8	463.76
112	581.12	555.36
113	435.92	492.48
114	492.48	505.2
115	438.08	530.72
116	513.6	477.76
117	490.24	550.4
118	471.84	492
119	487.84	459.68
120	537.36	433.92
avg	491.649	488.696
delay	363.43	1555.52
loss	0.0597384	0.618714
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=20e5', '--packetSize=1e2', '--tcp=0', '--RngRun=44'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
