Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.670s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	15.2	14.8
61	1012.8	1107.84
62	954.72	970.24
63	845.6	1112.16
64	1046.08	962.72
65	992.32	829.92
66	840.16	938.08
67	526.88	1173.6
68	1357.28	809.44
69	970.56	1012.32
70	892.16	1086.88
71	1210.56	757.44
72	1168.64	1044.8
73	1325.44	737.92
74	734.4	688.96
75	1000.48	1091.36
76	901.44	1056.96
77	1190.72	835.2
78	1124.64	920
79	987.04	1164
80	937.44	933.44
81	950.24	593.92
82	1245.76	1133.92
83	865.44	812.64
84	973.76	980.96
85	1082.08	1040.8
86	924.8	1069.12
87	1268.48	1091.68
88	983.68	935.36
89	938.72	1045.6
90	851.36	1155.04
91	944.64	1055.2
92	1123.04	813.76
93	1064.16	1079.04
94	775.52	1201.12
95	1077.44	672
96	1286.72	1145.6
97	994.88	1142.72
98	991.68	777.44
99	817.92	1150.24
100	941.28	1220.96
101	909.44	821.92
102	1133.44	989.28
103	888.48	865.92
104	914.88	1051.04
105	1024.32	1033.6
106	1010.24	1061.76
107	1028.96	1147.04
108	1030.08	1163.36
109	1241.92	1055.68
110	745.6	993.12
111	822.88	964
112	972.64	987.68
113	1100.64	1205.44
114	741.44	1207.36
115	1088.64	921.28
116	1208.32	1068.64
117	957.44	1178.4
118	1359.36	1240.8
119	1088.16	727.68
120	1037.12	690.4
(1,0)	(2,8783)	(3,0)	(4,1973)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1007.08	995.413
delay	0.445684	0.49328
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=20e5', '--packetSize=2e2', '--tcp=0', '--RngRun=43'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
