Waf: Entering directory `/home/jw27/ns-3.30-obss/build'
Waf: Leaving directory `/home/jw27/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.431s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	13.4	15.6	14.2	15.6
61	426.08	526.56	520.8	590.24
62	440.32	429.6	431.04	438.24
63	443.36	428.16	436.64	451.2
64	425.44	437.92	445.12	430.88
65	440.32	452.64	436.96	425.76
66	453.92	425.28	456.16	444.16
67	454.24	452.32	420	449.44
68	422.4	449.12	443.84	452
69	417.44	459.84	453.92	454.72
70	427.36	436.32	453.92	440.16
71	453.92	436.32	455.04	418.08
72	453.44	468.48	440.16	432.8
73	455.2	420	449.76	461.12
74	479.52	450.4	442.4	455.84
75	464.96	431.04	418.4	450.08
76	443.84	457.12	417.12	419.84
77	431.2	442.88	449.12	408.32
78	422.72	416.8	448.8	417.44
79	434.4	444.96	449.28	437.92
80	436	453.92	419.68	469.12
81	455.04	454.72	410.88	450.24
82	453.92	451.04	453.92	411.84
83	468.64	418.4	450.24	460.32
84	454.72	430.4	453.92	442.88
85	432.16	456.8	453.92	416.96
86	440.16	457.12	437.92	431.52
87	438.4	439.04	424.8	455.04
88	419.04	421.92	439.04	452.32
89	439.04	442.56	439.52	422.56
90	452.32	409.44	454.24	453.12
91	453.92	433.12	435.84	430.24
92	422.08	445.76	463.2	454.72
93	423.2	436	469.44	490.4
94	424.8	453.92	434.24	438.24
95	468.32	454.72	438.72	434.56
96	465.6	477.92	407.68	440.48
97	428.96	428.64	454.24	443.36
98	431.52	454.24	411.04	422.72
99	413.76	435.52	455.04	454.24
100	422.88	480.96	480.16	495.2
101	428.96	447.84	470.24	478.88
102	437.12	479.68	466.72	451.52
103	423.52	438.24	417.44	438.88
104	441.76	428.64	447.52	436.32
105	421.76	453.44	441.12	440.32
106	446.08	453.92	427.36	420.16
107	459.36	425.44	438.72	468.64
108	466.72	441.92	460.32	429.76
109	426.24	470.72	446.88	476
110	446.24	448.48	479.68	449.44
111	440.32	454.72	453.92	429.12
112	437.44	451.36	423.84	443.04
113	431.04	428.32	442.56	438.24
114	416.48	440.32	439.52	427.84
115	437.92	440.16	436.64	464.16
116	453.44	422.88	456.96	466.08
117	435.84	435.04	419.52	443.36
118	452.32	439.68	435.04	468.16
119	455.04	411.36	453.92	406.24
120	435.04	452.32	428.16	433.44
avg	440.453	444.44	444.037	445.965
delay	1006.98	1486.51	1304.74	484.716
loss	0.670275	0.811601	0.635321	0.256188
Command ['/home/jw27/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=30e5', '--packetSize=2e2', '--tcp=0', '--RngRun=1'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
