Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.686s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	13.8	14.8	17	13.4
61	431.2	425.12	576	538.24
62	469.44	502.24	573.28	428
63	454.72	586.08	373.76	498.08
64	619.36	399.52	495.36	448.32
65	452.16	398.88	483.2	283.68
66	484.16	528.64	430.08	510.4
67	356.16	540.8	531.68	397.28
68	668.16	418.4	596	460.8
69	528.48	475.52	298.56	535.04
70	399.84	395.68	484.64	333.6
71	445.76	470.08	555.36	464.48
72	481.92	478.72	442.24	533.44
73	577.6	604	443.2	540.8
74	555.04	532.32	514.4	381.76
75	520.8	588.48	538.24	512
76	645.92	517.12	500	353.12
77	494.72	540.32	389.28	395.04
78	464.96	580.16	493.6	427.68
79	459.52	563.68	415.2	592.8
80	471.2	299.2	618.56	596
81	476.96	543.2	363.68	534.56
82	393.28	496.64	582.24	534.56
83	514.08	512.8	592.8	420
84	309.6	568.96	603.04	505.44
85	530.88	551.68	468.16	460.96
86	532.48	718.72	552	454.72
87	474.56	533.28	339.2	472
88	616.32	480.8	564.16	416.96
89	459.68	581.12	389.92	482.08
90	476.48	518.08	479.2	567.84
91	589.76	512.48	537.6	428
92	389.92	514.88	436.8	477.44
93	473.92	493.76	403.04	502.88
94	488.8	602.88	312.8	461.92
95	433.28	478.72	575.04	331.84
96	434.88	578.08	421.12	572
97	499.2	535.68	495.2	470.24
98	514.56	413.12	495.36	516.8
99	486.72	485.28	756.96	563.2
100	510.72	536.16	559.84	531.52
101	424.64	598.24	564.64	330.56
102	524	383.36	386.88	523.52
103	581.92	487.04	506.88	505.6
104	691.36	548.64	427.68	452.64
105	567.04	625.12	557.44	635.84
106	463.36	551.2	548	493.28
107	532.32	552.64	511.52	521.76
108	478.56	547.52	663.04	456.64
109	680.48	385.12	515.2	601.6
110	395.68	598.24	470.72	578.72
111	530.4	515.2	478.72	514.24
112	490.24	460.32	537.44	601.28
113	586.08	415.2	654.88	440.8
114	495.68	482.08	456.8	413.6
115	464.32	568.96	350.08	545.28
116	471.2	414.24	341.44	374.4
117	544.64	566.4	490.08	491.52
118	428.32	453.92	480.64	431.68
119	522.72	537.12	380.96	535.36
120	454.4	459.04	431.04	355.36
(1,0)	(2,7986)	(3,0)	(4,178)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	498.576	510.848	490.581	478.987
delay	0.267441	0.268781	0.261303	0.266982
loss	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=10e5', '--packetSize=2e2', '--tcp=0', '--RngRun=8'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
