Waf: Entering directory `/home/jw27/ns-3.30-obss/build'
Waf: Leaving directory `/home/jw27/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.436s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	16.8	11.8	14.2	13.6
61	985.12	1115.68	865.12	1109.12
62	998.4	926.24	895.04	789.12
63	1203.52	918.08	876.16	1191.2
64	1125.6	749.92	1338.88	1039.04
65	987.04	1130.72	1250.08	909.44
66	1152.32	1117.44	1103.36	1017.28
67	1177.44	1237.28	1191.84	860.8
68	860	951.68	840	839.36
69	1197.12	862.72	1104.96	761.92
70	880.48	897.12	890.4	985.12
71	1289.76	1026.56	944.8	1162.72
72	985.92	691.68	1036.64	990.08
73	636.96	840.16	1236.32	987.68
74	747.04	792.8	846.4	1016.96
75	1070.4	1026.88	732.32	1276.32
76	1204.96	1036.32	864.8	887.04
77	896.32	1139.36	1072.32	922.88
78	955.68	1086.08	1330.4	1149.76
79	901.28	639.52	738.24	1234.88
80	1150.08	575.52	975.2	1025.92
81	842.08	1184.64	1242.72	893.44
82	1004.96	1136.16	1113.44	1083.04
83	1118.24	949.12	741.12	1154.08
84	1052.8	1052.48	1227.68	1247.52
85	840.16	940.16	741.6	1039.68
86	651.36	1076.96	1106.4	1031.04
87	898.56	992.64	1280.48	1064.32
88	1272.48	655.2	1014.4	1134.24
89	1135.2	1084.16	1026.08	997.92
90	951.52	1138.88	1050.56	916.64
91	1031.04	860.16	1304.96	1044.32
92	994.08	1285.28	1153.76	831.84
93	1246.4	887.2	1158.08	1086.24
94	853.28	1269.12	972	1242.4
95	1266.4	1094.08	788.96	711.68
96	1031.68	814.24	1310.08	965.12
97	860.64	657.92	1183.2	1086.24
98	1136.8	946.08	1118.88	719.52
99	1227.2	1156.64	1050.72	751.68
100	982.08	969.76	1088.48	1036.64
101	1364.48	1034.56	717.92	933.92
102	753.6	1149.28	1037.44	1308.8
103	1032	1125.6	957.76	856.64
104	1112.32	820	982.88	873.28
105	863.52	1154.72	1340.48	1202.24
106	1093.28	996.96	1009.44	898.08
107	891.52	1289.12	835.84	1188.96
108	814.56	1188.8	1037.6	1297.76
109	1065.12	700.32	952	974.72
110	838.24	952.16	1226.88	852.16
111	804.48	1022.08	1189.92	1087.04
112	954.4	1003.36	1175.52	877.12
113	934.08	967.52	1383.36	1011.04
114	1125.28	675.36	1115.52	892.16
115	964.48	821.12	1034.24	1212.16
116	869.44	975.04	958.4	1034.24
117	1028	1249.92	706.08	792.48
118	874.24	1097.92	991.52	1065.76
119	1134.56	1019.04	935.2	753.6
120	830.08	1085.6	1166.56	937.12
(1,0)	(2,13814)	(3,0)	(4,49980)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1002.5	987.352	1042.69	1004.06
delay	15.0328	14.4292	15.0406	13.495
loss	0	0	0	0
Command ['/home/jw27/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=20e5', '--packetSize=2e2', '--tcp=0', '--RngRun=4'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
