Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.406s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	13.6	13.2	15	16.2
61	551.84	372.8	711.2	247.52
62	404.16	460.64	495.2	493.6
63	443.52	443.52	455.04	454.72
64	452.64	427.04	445.92	454.24
65	453.92	471.52	460.32	438.56
66	469.92	467.52	434.56	457.6
67	443.52	454.24	454.24	455.2
68	453.28	448.8	459.04	442.08
69	452.64	453.92	454.56	443.2
70	443.52	455.04	458.56	453.92
71	465.12	432.48	469.92	467.04
72	453.92	423.52	455.36	469.12
73	453.44	435.84	462.72	450.72
74	453.92	461.12	455.04	443.36
75	469.92	463.84	434.72	442.08
76	446.4	453.92	447.04	453.44
77	428.32	462.24	461.6	431.84
78	447.84	462.4	454.72	451.52
79	446.88	453.92	491.52	470.88
80	442.24	472.16	468.8	474.24
81	450.88	456	481.76	495.2
82	447.04	453.92	450.88	452.32
83	460.32	463.84	442.4	455.04
84	468.32	458.88	421.28	476
85	495.2	465.92	431.04	441.6
86	475.52	472.32	417.28	455.04
87	443.04	460	468	480.16
88	468	448.16	470.56	474.08
89	452.32	447.2	454.72	451.2
90	455.04	455.04	452.64	445.28
91	457.76	441.76	455.52	453.92
92	452	484.64	464	451.04
93	488.64	477.76	457.76	453.76
94	463.52	451.68	456.64	446.24
95	472.48	477.44	449.92	468.64
96	454.72	459.52	421.92	457.92
97	451.84	433.92	444.16	455.36
98	433.92	453.92	454.24	445.92
99	484.64	471.84	484.32	435.68
100	435.36	462.4	454.24	448.16
101	464.8	448.8	446.08	454.24
102	454.08	453.92	454.24	439.36
103	444.64	455.04	453.92	450.72
104	455.52	452.32	454.72	455.36
105	449.12	454.24	454.24	453.92
106	444.8	470.72	482.72	443.2
107	438.56	465.12	456.16	463.04
108	460.16	436.96	473.28	453.12
109	446.24	461.92	442.4	470.08
110	464	434.08	421.44	470.08
111	466.72	416.8	470.88	459.84
112	454.24	422.72	453.12	452.8
113	453.92	470.24	454.24	446.72
114	454.72	437.92	453.92	451.04
115	441.44	471.2	454.24	481.6
116	490.72	426.56	473.6	468.32
117	481.6	479.2	480.8	412.48
118	464.32	446.72	451.36	451.04
119	443.84	448.64	436.8	455.04
120	466.72	448.16	446.4	453.92
avg	457.128	452.899	459.632	452.056
delay	519.433	1303.66	507.943	1920.32
loss	0.22731	0.78976	0.24199	0.8014
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs5', '--datarate=30e5', '--packetSize=2e2', '--tcp=0', '--RngRun=35'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
