Waf: Entering directory `/home/jw27/ns-3.30-obss/build'
Waf: Leaving directory `/home/jw27/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.422s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	16.8	11.8	14.2	13.6
61	493.6	558.08	434.4	556.16
62	497.6	462.72	445.28	392.16
63	604.96	462.08	441.12	595.2
64	561.12	372.32	667.2	521.12
65	492.96	565.28	624	454.08
66	590.4	580.16	583.52	541.28
67	573.28	596.64	565.12	396.64
68	434.24	500.8	437.44	424.64
69	594.56	406.4	534.08	376.8
70	450.4	462.08	448.64	494.08
71	635.68	501.12	468.96	579.2
72	493.6	346.4	522.88	496.16
73	320.8	421.76	620.96	496.96
74	370.72	395.84	421.76	507.84
75	545.92	522.4	374.24	640
76	590.4	505.6	417.6	438.88
77	461.6	584.96	541.92	461.44
78	467.52	528	660.8	576.8
79	447.52	319.52	368.16	615.36
80	574.88	288.96	487.36	513.12
81	434.24	597.28	640.32	457.76
82	493.28	562.88	541.12	534.08
83	556.64	475.2	367.04	573.44
84	525.28	523.84	614.4	623.84
85	420.8	471.04	372.64	520.16
86	346.4	552.96	552.64	530.88
87	431.04	484.8	647.84	522.24
88	633.6	328	500.32	561.92
89	580	544	531.04	511.2
90	480.8	567.04	516	467.84
91	508.48	437.12	651.68	500.96
92	519.52	670.4	606.24	420.64
93	592.16	408.32	541.12	539.52
94	446.88	651.04	493.12	625.76
95	609.92	529.44	386.08	348
96	518.88	407.84	654.4	484.32
97	433.12	327.2	593.76	547.36
98	566.72	472.64	565.92	364.64
99	614.4	583.2	520.32	366.08
100	491.52	484.16	545.6	522.88
101	682.08	524.32	363.36	463.36
102	408	601.76	536.8	680.48
103	482.4	528.16	453.28	404.8
104	553.12	406.08	490.4	432.8
105	437.76	579.84	675.84	603.84
106	545.44	510.08	514.08	469.28
107	442.56	631.68	402.72	572.48
108	406.88	594.4	519.36	647.68
109	536.16	351.2	482.08	495.84
110	415.52	475.68	608.64	417.6
111	403.84	513.28	596.64	547.36
112	482.24	503.84	591.68	435.52
113	489.28	479.84	711.04	516.32
114	539.36	342.56	536.64	440.32
115	490.4	429.6	528.48	628.32
116	421.12	461.92	462.4	488.48
117	512.64	625.92	354.24	397.44
118	447.2	559.04	499.2	538.88
119	562.56	499.04	465.92	370.4
120	412.48	548.64	580.16	470.56
avg	501.275	493.773	521.333	502.053
delay	5.7584	5.2209	5.62923	5.00758
loss	0	0	0	0
Command ['/home/jw27/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=10e5', '--packetSize=2e2', '--tcp=0', '--RngRun=4'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
