Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.647s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	12.8	14.4	14.2	14.8
61	209.68	362.24	295.36	199.36
62	238.24	236.8	245.6	244.32
63	250.4	258.64	241.6	250.4
64	244.8	240.4	244.32	236.8
65	240	237.12	248	247.6
66	240.8	243.36	236.8	236.8
67	240.32	236	236	243.52
68	250.4	251.04	251.2	245.6
69	236.8	248.4	243.04	242.8
70	248	236	241.68	247.6
71	236.8	244.32	244	236.8
72	243.52	236.56	236.4	241.28
73	251.2	251.04	251.2	241.44
74	236	247.6	241.12	248
75	245.36	236.8	244.8	248.8
76	233.6	243.68	242	241.6
77	251.04	255.6	249.28	253.12
78	256.48	225.68	253.12	246
79	250.4	248.24	254.56	247.6
80	244.48	236.64	243.52	225.12
81	247.84	236	243.2	240
82	238.8	262.8	255.6	245.6
83	222	238.08	240.48	252.4
84	257.44	236.8	239.84	236.8
85	231.44	240.4	259.84	243.52
86	236.64	262.48	227.68	260.4
87	264.72	235.84	236	238.8
88	219.2	248.8	270.72	253.28
89	236	258.08	236	242.4
90	263.2	236.8	239.2	245.6
91	243.68	236	263.76	229.44
92	236.64	248.24	240.16	251.84
93	236	240.64	236.8	243.04
94	254	239.84	236	248.4
95	237.2	246.4	259.2	236.8
96	243.68	236	243.52	235.84
97	236.64	225.6	240.8	258.88
98	258	250.72	236	232.4
99	236.8	236.8	253.2	248.8
100	243.68	247.6	222.24	232
101	236.8	236.8	249.04	250.72
102	243.84	257.92	236.64	240
103	255.2	236.8	238.4	248
104	243.68	246.24	239.68	245.6
105	240	250.4	261.6	236.8
106	258.8	236.8	236	248.24
107	236.64	240.32	236.64	243.68
108	244.88	246.96	236.48	232.4
109	236	232.24	256.8	251.2
110	257.6	236.8	249.6	236
111	241.2	250.4	236.8	251.84
112	238.4	244.48	234.24	240.48
113	241.92	247.6	253.12	251.2
114	236	251.04	237.04	255.68
115	245.2	236	242.24	236.64
116	243.52	240.88	233.44	236.8
117	248	251.6	250.4	259.6
118	230.56	253.92	256.08	231.2
119	229.04	251.6	236	236.08
120	245.6	247.6	242.4	244
avg	242.413	245.608	244.775	242.949
delay	1099.14	1020.45	1027.16	1045.99
loss	0.771866	0.560045	0.538233	0.763256
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs5', '--datarate=25e5', '--packetSize=1e2', '--tcp=0', '--RngRun=9'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
