Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.690s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	17.8	15
61	1415.2	1338.4
62	1438.4	1131.2
63	1013.6	1240.8
64	1128.8	1054.4
65	1432.8	1493.6
66	987.2	1440
67	1243.2	1416
68	1319.2	1061.6
69	1253.6	1544.8
70	1446.4	1410.4
71	1033.6	1484.8
72	986.4	1333.6
73	1267.2	1363.2
74	1179.2	1889.6
75	1264	1237.6
76	1299.2	1301.6
77	1334.4	1010.4
78	1229.6	1331.2
79	1464.8	1460.8
80	1449.6	1407.2
81	1104	1080.8
82	1308	1468.8
83	982.4	723.2
84	1310.4	1245.6
85	1280.8	764.8
86	1416	1132.8
87	1250.4	1172.8
88	1329.6	1424.8
89	1406.4	1178.4
90	1691.2	1396.8
91	1126.4	1189.6
92	1365.6	1432
93	1391.2	1485.6
94	1126.4	1467.2
95	1662.4	1132.8
96	1156.8	1255.2
97	896.8	1018.4
98	1255.2	1260.8
99	878.4	1720.8
100	1360	1266.4
101	1214.4	1424.8
102	1000	792
103	1487.2	1333.6
104	1176	1591.2
105	1034.4	859.2
106	1252	1265.6
107	1114.4	1173.6
108	872.8	1352
109	1220	1275.2
110	1531.2	1142.4
111	1358.4	1217.6
112	1212	870.4
113	1173.6	1442.4
114	1196.8	1245.6
115	1184	1377.6
116	1372	1348.8
117	1533.6	1328
118	1037.6	1415.2
119	1511.2	1226.4
120	1720	1015.2
(1,0)	(2,98)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1261.44	1274.43
delay	0.181619	0.268251
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=25e5', '--packetSize=10e2', '--tcp=0', '--RngRun=20'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
